file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_damaged-0_dirty-0_1,2stage,1,1,1,0,0,2.423,damaged=0;dirty=0;sym-UPC_E;modpx-8.00;img-ok
sw_damaged-0.05_dirty-0_1,2stage,1,1,1,0,0,4.171,damaged=0.05;dirty=0;sym-UPC_E;modpx-8.00;img-ok
sw_damaged-0.1_dirty-0_1,2stage,1,1,1,0,0,1.548,damaged=0.1;dirty=0;sym-UPC_E;modpx-8.00;img-ok
sw_damaged-0.15_dirty-0_1,2stage,1,1,1,0,0,1.395,damaged=0.15;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.2_dirty-0_1,2stage,1,1,1,0,0,2.907,damaged=0.2;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.25_dirty-0_1,2stage,1,1,1,0,0,1.604,damaged=0.25;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.3_dirty-0_1,2stage,1,1,1,0,0,1.601,damaged=0.3;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.35_dirty-0_1,2stage,1,1,1,0,0,1.610,damaged=0.35;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.4_dirty-0_1,2stage,1,1,1,0,0,2.410,damaged=0.4;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.45_dirty-0_1,2stage,1,1,1,0,0,2.165,damaged=0.45;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.5_dirty-0_1,2stage,1,1,1,0,0,1.904,damaged=0.5;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.55_dirty-0_1,2stage,1,1,1,0,0,1.995,damaged=0.55;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.6_dirty-0_1,2stage,1,1,1,0,0,10.329,damaged=0.6;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.65_dirty-0_1,2stage,1,1,1,0,0,5.507,damaged=0.65;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.7_dirty-0_1,2stage,1,1,1,0,0,3.347,damaged=0.7;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.75_dirty-0_1,2stage,1,1,1,0,0,4.008,damaged=0.75;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.8_dirty-0_1,2stage,1,1,1,0,0,4.287,damaged=0.8;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.85_dirty-0_1,2stage,1,1,1,0,0,3.277,damaged=0.85;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.9_dirty-0_1,2stage,1,1,1,0,0,278.656,damaged=0.9;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.95_dirty-0_1,2stage,1,1,1,0,0,270.852,damaged=0.95;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-1_dirty-0_1,2stage,1,1,1,0,0,171.894,damaged=1;dirty=0;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0_dirty-0.05_1,2stage,1,1,1,0,0,1.407,damaged=0;dirty=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_damaged-0.05_dirty-0.05_1,2stage,1,1,1,0,0,1.307,damaged=0.05;dirty=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_damaged-0.1_dirty-0.05_1,2stage,1,1,1,0,0,1.346,damaged=0.1;dirty=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_damaged-0.15_dirty-0.05_1,2stage,1,1,1,0,0,1.854,damaged=0.15;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.2_dirty-0.05_1,2stage,1,1,1,0,0,1.607,damaged=0.2;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.25_dirty-0.05_1,2stage,1,1,1,0,0,1.724,damaged=0.25;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.3_dirty-0.05_1,2stage,1,1,1,0,0,1.467,damaged=0.3;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.35_dirty-0.05_1,2stage,1,1,1,0,0,1.819,damaged=0.35;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.4_dirty-0.05_1,2stage,1,1,1,0,0,1.553,damaged=0.4;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.45_dirty-0.05_1,2stage,1,1,1,0,0,1.467,damaged=0.45;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.5_dirty-0.05_1,2stage,1,1,1,0,0,1.359,damaged=0.5;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.55_dirty-0.05_1,2stage,1,1,1,0,0,2.134,damaged=0.55;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.6_dirty-0.05_1,2stage,1,1,1,0,0,8.149,damaged=0.6;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.65_dirty-0.05_1,2stage,1,1,1,0,0,7.447,damaged=0.65;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.7_dirty-0.05_1,2stage,1,1,1,0,0,3.278,damaged=0.7;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.75_dirty-0.05_1,2stage,1,1,1,0,0,4.402,damaged=0.75;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.8_dirty-0.05_1,2stage,1,1,1,0,0,3.831,damaged=0.8;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.85_dirty-0.05_1,2stage,1,1,1,0,0,4.117,damaged=0.85;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.9_dirty-0.05_1,2stage,1,1,1,0,0,199.310,damaged=0.9;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.95_dirty-0.05_1,2stage,1,1,1,0,0,278.084,damaged=0.95;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-1_dirty-0.05_1,2stage,1,1,1,0,0,226.342,damaged=1;dirty=0.05;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0_dirty-0.1_1,2stage,1,1,1,0,0,1.992,damaged=0;dirty=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_damaged-0.05_dirty-0.1_1,2stage,1,1,1,0,0,1.460,damaged=0.05;dirty=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_damaged-0.1_dirty-0.1_1,2stage,1,1,1,0,0,1.798,damaged=0.1;dirty=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_damaged-0.15_dirty-0.1_1,2stage,1,1,1,0,0,1.485,damaged=0.15;dirty=0.1;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.2_dirty-0.1_1,2stage,1,1,1,0,0,1.600,damaged=0.2;dirty=0.1;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.25_dirty-0.1_1,2stage,1,1,1,0,0,1.668,damaged=0.25;dirty=0.1;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.3_dirty-0.1_1,2stage,1,1,1,0,0,2.273,damaged=0.3;dirty=0.1;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.35_dirty-0.1_1,2stage,1,1,1,0,0,5.669,damaged=0.35;dirty=0.1;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.4_dirty-0.1_1,2stage,1,1,1,0,0,1.781,damaged=0.4;dirty=0.1;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.45_dirty-0.1_1,2stage,1,1,1,0,0,1.542,damaged=0.45;dirty=0.1;sym-UPC_E;modpx-8.00;img-borderline
sw_damaged-0.5_dirty-0.1_1,2stage,1,1,1,0,0,2.289,damaged=0.5;dirty=0.1;sym-UPC_E;modpx-8.00;img-borderline
