file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,1.697,dpm=0;invert=0;printdefect=0;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,224.688,dpm=1;invert=0;printdefect=0;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,25.928,dpm=0;invert=1;printdefect=0;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,182.267,dpm=1;invert=1;printdefect=0;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,1.189,dpm=0;invert=0;printdefect=0.25;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,127.234,dpm=1;invert=0;printdefect=0.25;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,21.797,dpm=0;invert=1;printdefect=0.25;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,176.942,dpm=1;invert=1;printdefect=0.25;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,1.573,dpm=0;invert=0;printdefect=0.5;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,249.563,dpm=1;invert=0;printdefect=0.5;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,26.788,dpm=0;invert=1;printdefect=0.5;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,168.091,dpm=1;invert=1;printdefect=0.5;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,2.134,dpm=0;invert=0;printdefect=0.75;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,139.135,dpm=1;invert=0;printdefect=0.75;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,25.919,dpm=0;invert=1;printdefect=0.75;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,193.801,dpm=1;invert=1;printdefect=0.75;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,1.495,dpm=0;invert=0;printdefect=1;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,244.827,dpm=1;invert=0;printdefect=1;quietzone=0;sym-CODABAR;modpx-4.00;img-ok
