file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,11.002,dpm=0;invert=0;printdefect=0;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0_1,2stage,1,0,0,0,0,1544.351,dpm=1;invert=0;printdefect=0;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,159.972,dpm=0;invert=1;printdefect=0;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0_1,2stage,1,0,0,0,0,846.090,dpm=1;invert=1;printdefect=0;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,4.906,dpm=0;invert=0;printdefect=0.25;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,0,0,0,0,1101.842,dpm=1;invert=0;printdefect=0.25;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,103.587,dpm=0;invert=1;printdefect=0.25;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,0,0,0,0,1248.544,dpm=1;invert=1;printdefect=0.25;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,9.112,dpm=0;invert=0;printdefect=0.5;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,0,0,0,0,1729.744,dpm=1;invert=0;printdefect=0.5;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,85.804,dpm=0;invert=1;printdefect=0.5;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,0,0,0,0,812.296,dpm=1;invert=1;printdefect=0.5;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,5.013,dpm=0;invert=0;printdefect=0.75;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,0,0,0,0,1206.685,dpm=1;invert=0;printdefect=0.75;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,91.627,dpm=0;invert=1;printdefect=0.75;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,0,0,0,0,1134.676,dpm=1;invert=1;printdefect=0.75;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,8.487,dpm=0;invert=0;printdefect=1;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0_1,2stage,1,0,0,0,0,1755.347,dpm=1;invert=0;printdefect=1;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,88.087,dpm=0;invert=1;printdefect=1;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0_1,2stage,1,0,0,0,0,742.341,dpm=1;invert=1;printdefect=1;quietzone=0;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,5.318,dpm=0;invert=0;printdefect=0;quietzone=0.25;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,0,0,0,0,748.317,dpm=1;invert=0;printdefect=0;quietzone=0.25;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,133.658,dpm=0;invert=1;printdefect=0;quietzone=0.25;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0.25_1,2stage,1,0,0,0,0,1282.157,dpm=1;invert=1;printdefect=0;quietzone=0.25;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0.25_1,2stage,1,1,1,0,0,15.416,dpm=0;invert=0;printdefect=0.25;quietzone=0.25;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0.25_1,2stage,1,0,0,0,0,1444.248,dpm=1;invert=0;printdefect=0.25;quietzone=0.25;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0.25_1,2stage,1,1,1,0,0,120.926,dpm=0;invert=1;printdefect=0.25;quietzone=0.25;sym-CODE_93;modpx-6.27;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0.25_1,2stage,1,0,0,0,0,1052.549,dpm=1;invert=1;printdefect=0.25;quietzone=0.25;sym-CODE_93;modpx-6.27;img-ok
