file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,2.935,dpm=0;invert=0;printdefect=0;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,64.880,dpm=1;invert=0;printdefect=0;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,46.460,dpm=0;invert=1;printdefect=0;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,78.375,dpm=1;invert=1;printdefect=0;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,2.796,dpm=0;invert=0;printdefect=0.25;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,29.723,dpm=1;invert=0;printdefect=0.25;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,34.751,dpm=0;invert=1;printdefect=0.25;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,81.251,dpm=1;invert=1;printdefect=0.25;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,2.191,dpm=0;invert=0;printdefect=0.5;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,53.075,dpm=1;invert=0;printdefect=0.5;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,56.371,dpm=0;invert=1;printdefect=0.5;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,76.082,dpm=1;invert=1;printdefect=0.5;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,2.229,dpm=0;invert=0;printdefect=0.75;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,28.429,dpm=1;invert=0;printdefect=0.75;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,34.460,dpm=0;invert=1;printdefect=0.75;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,78.278,dpm=1;invert=1;printdefect=0.75;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,2.223,dpm=0;invert=0;printdefect=1;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,40.685,dpm=1;invert=0;printdefect=1;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,117.712,dpm=0;invert=1;printdefect=1;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,113.880,dpm=1;invert=1;printdefect=1;quietzone=0;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,2.476,dpm=0;invert=0;printdefect=0;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,31.494,dpm=1;invert=0;printdefect=0;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,57.123,dpm=0;invert=1;printdefect=0;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0.25_1,2stage,1,0,0,0,0,592.072,dpm=1;invert=1;printdefect=0;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0.25_1,2stage,1,1,1,0,0,6.922,dpm=0;invert=0;printdefect=0.25;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0.25_1,2stage,1,1,1,0,0,59.059,dpm=1;invert=0;printdefect=0.25;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0.25_1,2stage,1,1,1,0,0,77.854,dpm=0;invert=1;printdefect=0.25;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0.25_1,2stage,1,0,0,0,0,438.431,dpm=1;invert=1;printdefect=0.25;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0.25_1,2stage,1,1,1,0,0,2.350,dpm=0;invert=0;printdefect=0.5;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0.25_1,2stage,1,1,1,0,0,31.092,dpm=1;invert=0;printdefect=0.5;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0.25_1,2stage,1,1,1,0,0,51.320,dpm=0;invert=1;printdefect=0.5;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0.25_1,2stage,1,0,0,0,0,461.421,dpm=1;invert=1;printdefect=0.5;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0.25_1,2stage,1,1,1,0,0,7.059,dpm=0;invert=0;printdefect=0.75;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0.25_1,2stage,1,1,1,0,0,46.389,dpm=1;invert=0;printdefect=0.75;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0.25_1,2stage,1,1,1,0,0,120.179,dpm=0;invert=1;printdefect=0.75;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0.25_1,2stage,1,0,0,0,0,502.393,dpm=1;invert=1;printdefect=0.75;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0.25_1,2stage,1,1,1,0,0,2.655,dpm=0;invert=0;printdefect=1;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0.25_1,2stage,1,1,1,0,0,31.354,dpm=1;invert=0;printdefect=1;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0.25_1,2stage,1,1,1,0,0,64.561,dpm=0;invert=1;printdefect=1;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0.25_1,2stage,1,0,0,0,0,620.449,dpm=1;invert=1;printdefect=1;quietzone=0.25;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-0.5_1,2stage,1,1,1,0,0,5.117,dpm=0;invert=0;printdefect=0;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0.5_1,2stage,1,1,1,0,0,38.730,dpm=1;invert=0;printdefect=0;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0.5_1,2stage,1,1,1,0,0,61.692,dpm=0;invert=1;printdefect=0;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0.5_1,2stage,1,0,0,0,0,537.929,dpm=1;invert=1;printdefect=0;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0.5_1,2stage,1,1,1,0,0,2.551,dpm=0;invert=0;printdefect=0.25;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0.5_1,2stage,1,1,1,0,0,31.497,dpm=1;invert=0;printdefect=0.25;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0.5_1,2stage,1,1,1,0,0,59.755,dpm=0;invert=1;printdefect=0.25;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0.5_1,2stage,1,0,0,0,0,521.231,dpm=1;invert=1;printdefect=0.25;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0.5_1,2stage,1,1,1,0,0,2.529,dpm=0;invert=0;printdefect=0.5;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0.5_1,2stage,1,1,1,0,0,66.271,dpm=1;invert=0;printdefect=0.5;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0.5_1,2stage,1,1,1,0,0,78.182,dpm=0;invert=1;printdefect=0.5;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0.5_1,2stage,1,0,0,0,0,398.878,dpm=1;invert=1;printdefect=0.5;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0.5_1,2stage,1,1,1,0,0,2.385,dpm=0;invert=0;printdefect=0.75;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0.5_1,2stage,1,1,1,0,0,32.599,dpm=1;invert=0;printdefect=0.75;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0.5_1,2stage,1,1,1,0,0,47.091,dpm=0;invert=1;printdefect=0.75;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0.5_1,2stage,1,0,0,0,0,384.468,dpm=1;invert=1;printdefect=0.75;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0.5_1,2stage,1,1,1,0,0,3.476,dpm=0;invert=0;printdefect=1;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0.5_1,2stage,1,1,1,0,0,60.895,dpm=1;invert=0;printdefect=1;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0.5_1,2stage,1,1,1,0,0,143.310,dpm=0;invert=1;printdefect=1;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0.5_1,2stage,1,0,0,0,0,422.281,dpm=1;invert=1;printdefect=1;quietzone=0.5;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-0.75_1,2stage,1,1,1,0,0,2.537,dpm=0;invert=0;printdefect=0;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0.75_1,2stage,1,1,1,0,0,29.522,dpm=1;invert=0;printdefect=0;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0.75_1,2stage,1,1,1,0,0,68.571,dpm=0;invert=1;printdefect=0;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0.75_1,2stage,1,0,0,0,0,275.278,dpm=1;invert=1;printdefect=0;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0.75_1,2stage,1,1,1,0,0,2.279,dpm=0;invert=0;printdefect=0.25;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0.75_1,2stage,1,1,1,0,0,30.961,dpm=1;invert=0;printdefect=0.25;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0.75_1,2stage,1,1,1,0,0,52.834,dpm=0;invert=1;printdefect=0.25;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0.75_1,2stage,1,0,0,0,0,440.996,dpm=1;invert=1;printdefect=0.25;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0.75_1,2stage,1,1,1,0,0,6.898,dpm=0;invert=0;printdefect=0.5;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0.75_1,2stage,1,1,1,0,0,29.288,dpm=1;invert=0;printdefect=0.5;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0.75_1,2stage,1,1,1,0,0,52.362,dpm=0;invert=1;printdefect=0.5;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0.75_1,2stage,1,0,0,0,0,458.232,dpm=1;invert=1;printdefect=0.5;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0.75_1,2stage,1,1,1,0,0,2.201,dpm=0;invert=0;printdefect=0.75;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0.75_1,2stage,1,1,1,0,0,65.842,dpm=1;invert=0;printdefect=0.75;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0.75_1,2stage,1,1,1,0,0,96.465,dpm=0;invert=1;printdefect=0.75;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0.75_1,2stage,1,0,0,0,0,301.579,dpm=1;invert=1;printdefect=0.75;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0.75_1,2stage,1,1,1,0,0,2.889,dpm=0;invert=0;printdefect=1;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0.75_1,2stage,1,1,1,0,0,29.393,dpm=1;invert=0;printdefect=1;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0.75_1,2stage,1,1,1,0,0,75.765,dpm=0;invert=1;printdefect=1;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0.75_1,2stage,1,0,0,0,0,349.978,dpm=1;invert=1;printdefect=1;quietzone=0.75;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-1_1,2stage,1,1,1,0,0,2.479,dpm=0;invert=0;printdefect=0;quietzone=1;sym-DATA_BAR_EXPANDED;modpx-4.00;img-ok
