file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,1.322,dpm=0;invert=0;printdefect=0;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,1.436,dpm=1;invert=0;printdefect=0;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,63.131,dpm=0;invert=1;printdefect=0;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,61.925,dpm=1;invert=1;printdefect=0;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,1.546,dpm=0;invert=0;printdefect=0.25;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,1.681,dpm=1;invert=0;printdefect=0.25;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,30.534,dpm=0;invert=1;printdefect=0.25;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,51.215,dpm=1;invert=1;printdefect=0.25;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,1.368,dpm=0;invert=0;printdefect=0.5;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,1.340,dpm=1;invert=0;printdefect=0.5;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,49.151,dpm=0;invert=1;printdefect=0.5;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,100.326,dpm=1;invert=1;printdefect=0.5;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,1.131,dpm=0;invert=0;printdefect=0.75;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,1.510,dpm=1;invert=0;printdefect=0.75;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,25.985,dpm=0;invert=1;printdefect=0.75;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,53.229,dpm=1;invert=1;printdefect=0.75;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,1.750,dpm=0;invert=0;printdefect=1;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,1.867,dpm=1;invert=0;printdefect=1;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,51.616,dpm=0;invert=1;printdefect=1;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,106.723,dpm=1;invert=1;printdefect=1;quietzone=0;sym-DATA_BAR;modpx-4.00;img-ok
