file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,9.908,dpm=0;invert=0;printdefect=0;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,138.214,dpm=1;invert=0;printdefect=0;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,6.935,dpm=0;invert=1;printdefect=0;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,6.797,dpm=1;invert=1;printdefect=0;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,7.133,dpm=0;invert=0;printdefect=0.25;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,89.328,dpm=1;invert=0;printdefect=0.25;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,85.552,dpm=0;invert=1;printdefect=0.25;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,5.468,dpm=1;invert=1;printdefect=0.25;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,7.072,dpm=0;invert=0;printdefect=0.5;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,174.114,dpm=1;invert=0;printdefect=0.5;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,101.033,dpm=0;invert=1;printdefect=0.5;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,5.601,dpm=1;invert=1;printdefect=0.5;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,4.972,dpm=0;invert=0;printdefect=0.75;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,85.187,dpm=1;invert=0;printdefect=0.75;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,84.736,dpm=0;invert=1;printdefect=0.75;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,5.474,dpm=1;invert=1;printdefect=0.75;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,14.402,dpm=0;invert=0;printdefect=1;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,176.785,dpm=1;invert=0;printdefect=1;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,88.475,dpm=0;invert=1;printdefect=1;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,5.603,dpm=1;invert=1;printdefect=1;quietzone=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,36.945,dpm=0;invert=0;printdefect=0;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,110.464,dpm=1;invert=0;printdefect=0;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,5.731,dpm=0;invert=1;printdefect=0;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,33.567,dpm=1;invert=1;printdefect=0;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0.25_1,2stage,1,1,1,0,0,143.367,dpm=0;invert=0;printdefect=0.25;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0.25_1,2stage,1,1,1,0,0,139.050,dpm=1;invert=0;printdefect=0.25;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0.25_1,2stage,1,1,1,0,0,100.105,dpm=0;invert=1;printdefect=0.25;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0.25_1,2stage,1,1,1,0,0,5.655,dpm=1;invert=1;printdefect=0.25;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0.25_1,2stage,1,1,1,0,0,93.497,dpm=0;invert=0;printdefect=0.5;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0.25_1,2stage,1,1,1,0,0,106.676,dpm=1;invert=0;printdefect=0.5;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0.25_1,2stage,1,1,1,0,0,81.435,dpm=0;invert=1;printdefect=0.5;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0.25_1,2stage,1,1,1,0,0,5.821,dpm=1;invert=1;printdefect=0.5;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0.25_1,2stage,1,1,1,0,0,165.522,dpm=0;invert=0;printdefect=0.75;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0.25_1,2stage,1,1,1,0,0,136.862,dpm=1;invert=0;printdefect=0.75;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0.25_1,2stage,1,1,1,0,0,78.673,dpm=0;invert=1;printdefect=0.75;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0.25_1,2stage,1,1,1,0,0,5.684,dpm=1;invert=1;printdefect=0.75;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0.25_1,2stage,1,1,1,0,0,98.270,dpm=0;invert=0;printdefect=1;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0.25_1,2stage,1,1,1,0,0,97.473,dpm=1;invert=0;printdefect=1;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0.25_1,2stage,1,1,1,0,0,80.991,dpm=0;invert=1;printdefect=1;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0.25_1,2stage,1,1,1,0,0,32.054,dpm=1;invert=1;printdefect=1;quietzone=0.25;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-0.5_1,2stage,1,1,1,0,0,6.786,dpm=0;invert=0;printdefect=0;quietzone=0.5;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0.5_1,2stage,1,1,1,0,0,5.513,dpm=1;invert=0;printdefect=0;quietzone=0.5;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0.5_1,2stage,1,1,1,0,0,14.893,dpm=0;invert=1;printdefect=0;quietzone=0.5;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0.5_1,2stage,1,1,1,0,0,72.482,dpm=1;invert=1;printdefect=0;quietzone=0.5;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0.5_1,2stage,1,1,1,0,0,94.519,dpm=0;invert=0;printdefect=0.25;quietzone=0.5;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0.5_1,2stage,1,1,1,0,0,92.641,dpm=1;invert=0;printdefect=0.25;quietzone=0.5;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0.5_1,2stage,1,1,1,0,0,76.837,dpm=0;invert=1;printdefect=0.25;quietzone=0.5;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0.5_1,2stage,1,1,1,0,0,33.578,dpm=1;invert=1;printdefect=0.25;quietzone=0.5;sym-DATA_MATRIX;modpx-4.00;img-ok
