file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,1.604,dpm=0;invert=0;printdefect=0;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,6.093,dpm=1;invert=0;printdefect=0;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,32.758,dpm=0;invert=1;printdefect=0;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0_1,2stage,1,0,0,0,0,261.451,dpm=1;invert=1;printdefect=0;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,1.139,dpm=0;invert=0;printdefect=0.25;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,1.017,dpm=1;invert=0;printdefect=0.25;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,16.662,dpm=0;invert=1;printdefect=0.25;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,0,0,0,0,251.399,dpm=1;invert=1;printdefect=0.25;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,1.419,dpm=0;invert=0;printdefect=0.5;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,1.353,dpm=1;invert=0;printdefect=0.5;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,38.862,dpm=0;invert=1;printdefect=0.5;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,0,0,0,0,265.071,dpm=1;invert=1;printdefect=0.5;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,1.237,dpm=0;invert=0;printdefect=0.75;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,1.087,dpm=1;invert=0;printdefect=0.75;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,16.115,dpm=0;invert=1;printdefect=0.75;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,0,0,0,0,297.699,dpm=1;invert=1;printdefect=0.75;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,1.328,dpm=0;invert=0;printdefect=1;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,1.179,dpm=1;invert=0;printdefect=1;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,17.852,dpm=0;invert=1;printdefect=1;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0_1,2stage,1,0,0,0,0,256.240,dpm=1;invert=1;printdefect=1;quietzone=0;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,1.474,dpm=0;invert=0;printdefect=0;quietzone=0.25;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,1.408,dpm=1;invert=0;printdefect=0;quietzone=0.25;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,50.130,dpm=0;invert=1;printdefect=0;quietzone=0.25;sym-EAN_8;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0.25_1,2stage,1,0,0,0,0,432.273,dpm=1;invert=1;printdefect=0;quietzone=0.25;sym-EAN_8;modpx-8.00;img-ok
