file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,7.296,dpm=0;invert=0;printdefect=0;quietzone=0;sym-ITF;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,370.823,dpm=1;invert=0;printdefect=0;quietzone=0;sym-ITF;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,71.197,dpm=0;invert=1;printdefect=0;quietzone=0;sym-ITF;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,559.739,dpm=1;invert=1;printdefect=0;quietzone=0;sym-ITF;modpx-8.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,2.930,dpm=0;invert=0;printdefect=0.25;quietzone=0;sym-ITF;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,216.411,dpm=1;invert=0;printdefect=0.25;quietzone=0;sym-ITF;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,55.793,dpm=0;invert=1;printdefect=0.25;quietzone=0;sym-ITF;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,781.687,dpm=1;invert=1;printdefect=0.25;quietzone=0;sym-ITF;modpx-8.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,2.790,dpm=0;invert=0;printdefect=0.5;quietzone=0;sym-ITF;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,380.462,dpm=1;invert=0;printdefect=0.5;quietzone=0;sym-ITF;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,56.092,dpm=0;invert=1;printdefect=0.5;quietzone=0;sym-ITF;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,523.295,dpm=1;invert=1;printdefect=0.5;quietzone=0;sym-ITF;modpx-8.00;img-ok
