file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,12.256,dpm=0;invert=0;printdefect=0;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,23.471,dpm=1;invert=0;printdefect=0;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,24.568,dpm=0;invert=1;printdefect=0;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0_1,2stage,1,0,0,0,0,274.776,dpm=1;invert=1;printdefect=0;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,6.775,dpm=0;invert=0;printdefect=0.25;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,11.393,dpm=1;invert=0;printdefect=0.25;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,11.977,dpm=0;invert=1;printdefect=0.25;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,0,0,0,0,355.598,dpm=1;invert=1;printdefect=0.25;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,6.729,dpm=0;invert=0;printdefect=0.5;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,10.981,dpm=1;invert=0;printdefect=0.5;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,14.630,dpm=0;invert=1;printdefect=0.5;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,0,0,0,0,216.405,dpm=1;invert=1;printdefect=0.5;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,6.694,dpm=0;invert=0;printdefect=0.75;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,10.877,dpm=1;invert=0;printdefect=0.75;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,12.161,dpm=0;invert=1;printdefect=0.75;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,0,0,0,0,226.620,dpm=1;invert=1;printdefect=0.75;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,11.088,dpm=0;invert=0;printdefect=1;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,11.099,dpm=1;invert=0;printdefect=1;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,17.598,dpm=0;invert=1;printdefect=1;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0_1,2stage,1,0,0,0,0,221.773,dpm=1;invert=1;printdefect=1;quietzone=0;sym-PDF417;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,9.012,dpm=0;invert=0;printdefect=0;quietzone=0.25;sym-PDF417;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,11.918,dpm=1;invert=0;printdefect=0;quietzone=0.25;sym-PDF417;modpx-4.00;img-ok
