file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,10.527,dpm=0;invert=0;printdefect=0;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,7.256,dpm=1;invert=0;printdefect=0;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,16.331,dpm=0;invert=1;printdefect=0;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,16.061,dpm=1;invert=1;printdefect=0;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,8.435,dpm=0;invert=0;printdefect=0.25;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,7.284,dpm=1;invert=0;printdefect=0.25;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,11.062,dpm=0;invert=1;printdefect=0.25;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,23.716,dpm=1;invert=1;printdefect=0.25;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,14.960,dpm=0;invert=0;printdefect=0.5;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,15.738,dpm=1;invert=0;printdefect=0.5;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,18.454,dpm=0;invert=1;printdefect=0.5;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,25.738,dpm=1;invert=1;printdefect=0.5;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,6.768,dpm=0;invert=0;printdefect=0.75;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,7.032,dpm=1;invert=0;printdefect=0.75;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,10.031,dpm=0;invert=1;printdefect=0.75;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,25.872,dpm=1;invert=1;printdefect=0.75;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,12.134,dpm=0;invert=0;printdefect=1;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,10.145,dpm=1;invert=0;printdefect=1;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,22.812,dpm=0;invert=1;printdefect=1;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,26.314,dpm=1;invert=1;printdefect=1;quietzone=0;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,2.132,dpm=0;invert=0;printdefect=0;quietzone=0.25;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,16.614,dpm=1;invert=0;printdefect=0;quietzone=0.25;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,15.828,dpm=0;invert=1;printdefect=0;quietzone=0.25;sym-QR_CODE;modpx-8.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,16.778,dpm=1;invert=1;printdefect=0;quietzone=0.25;sym-QR_CODE;modpx-8.00;img-ok
