file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,1.764,dpm=0;invert=0;printdefect=0;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,25.145,dpm=1;invert=0;printdefect=0;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,30.062,dpm=0;invert=1;printdefect=0;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,51.671,dpm=1;invert=1;printdefect=0;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,1.620,dpm=0;invert=0;printdefect=0.25;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,9.306,dpm=1;invert=0;printdefect=0.25;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,12.633,dpm=0;invert=1;printdefect=0.25;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,0,0,0,0,191.141,dpm=1;invert=1;printdefect=0.25;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,2.146,dpm=0;invert=0;printdefect=0.5;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,18.135,dpm=1;invert=0;printdefect=0.5;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,37.361,dpm=0;invert=1;printdefect=0.5;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,0,0,0,0,157.897,dpm=1;invert=1;printdefect=0.5;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,1.831,dpm=0;invert=0;printdefect=0.75;quietzone=0;sym-UPC_A;modpx-4.00;img-ok
