file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,1.487,dpm=0;invert=0;printdefect=0;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,15.481,dpm=1;invert=0;printdefect=0;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,15.881,dpm=0;invert=1;printdefect=0;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,21.910,dpm=1;invert=1;printdefect=0;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,1.398,dpm=0;invert=0;printdefect=0.25;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,12.884,dpm=1;invert=0;printdefect=0.25;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,11.461,dpm=0;invert=1;printdefect=0.25;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,21.361,dpm=1;invert=1;printdefect=0.25;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,1.789,dpm=0;invert=0;printdefect=0.5;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,22.922,dpm=1;invert=0;printdefect=0.5;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,12.963,dpm=0;invert=1;printdefect=0.5;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,44.713,dpm=1;invert=1;printdefect=0.5;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,1.362,dpm=0;invert=0;printdefect=0.75;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,12.250,dpm=1;invert=0;printdefect=0.75;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,12.104,dpm=0;invert=1;printdefect=0.75;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0.75_quietzone-0_1,2stage,1,1,1,0,0,21.179,dpm=1;invert=1;printdefect=0.75;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,2.339,dpm=0;invert=0;printdefect=1;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,31.698,dpm=1;invert=0;printdefect=1;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,24.237,dpm=0;invert=1;printdefect=1;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-1_quietzone-0_1,2stage,1,1,1,0,0,43.141,dpm=1;invert=1;printdefect=1;quietzone=0;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,1.680,dpm=0;invert=0;printdefect=0;quietzone=0.25;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,28.783,dpm=1;invert=0;printdefect=0;quietzone=0.25;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,26.329,dpm=0;invert=1;printdefect=0;quietzone=0.25;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0.25_1,2stage,1,1,1,0,0,19.241,dpm=1;invert=1;printdefect=0;quietzone=0.25;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0.25_1,2stage,1,1,1,0,0,1.766,dpm=0;invert=0;printdefect=0.25;quietzone=0.25;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0.25_1,2stage,1,1,1,0,0,49.017,dpm=1;invert=0;printdefect=0.25;quietzone=0.25;sym-UPC_E;modpx-4.00;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0.25_1,2stage,1,1,1,0,0,27.052,dpm=0;invert=1;printdefect=0.25;quietzone=0.25;sym-UPC_E;modpx-4.00;img-ok
