file,path,expected,found,text_ok,misdecode,dup,ms,tags
c000000_2,2stage,2,2,2,0,0,13.088,mixed;mod-5px+;sym-CODE128;printdefect;mod-3px;sym-CODE39;rot-free;curved;overexposed;sym-CODE_128;sym-CODE_39;n2;img-ok
c000003_1,2stage,1,1,1,0,0,24.883,mixed;mod-3px;sym-CODE39;dirty;noise-strong;sym-CODE_39;n1;img-ok
c000004_1,2stage,1,1,1,0,0,1.741,mixed;clutter-warehouse;mod-5px+;sym-QR;lowcontrast;curved;overexposed;sym-QR_CODE;n1;img-ok
c000007_2,2stage,2,1,1,0,0,21.432,mixed;clutter-label;mod-3px;sym-QR;lowcontrast;rot-free;overexposed;sym-QR_CODE;n2;img-ok
c000008_5,2stage,5,1,1,0,0,1.921,mixed;mod-3px;sym-QR;rot-small;sym-CODE128;rot-free;mod-5px+;inverted;rot-ortho;perspective;quietzone;glare;sym-CODE_128;sym-QR_CODE;n5;img-ok
c000012_2,2stage,2,1,1,0,0,53.994,mixed;mod-5px+;sym-ITF;sym-CODE39;lowcontrast;rot-ortho;shadow;overexposed;noise;sym-CODE_39;n2;img-ok
c000014_2,2stage,2,1,1,0,0,8.425,mixed;clutter-warehouse;mod-5px+;sym-CODE128;rot-ortho;sym-EAN13;quietzone;shadow;noise;sym-CODE_128;sym-EAN_13;n2;img-ok
c000015_1,2stage,1,1,1,0,0,34.333,mixed;mod-3px;sym-CODE128;lowcontrast;rot-ortho;quietzone;shadow;sym-CODE_128;n1;img-ok
c000017_1,2stage,1,1,1,0,0,207.003,mixed;mod-5px+;sym-EAN13;lowcontrast;inverted;printdefect;underexposed;sym-EAN_13;n1;img-ok
c000018_3,2stage,3,1,1,0,0,2.039,mixed;mod-5px+;sym-QR;printdefect;rot-small;sym-ITF;damaged;mod-3px;sym-CODE39;inverted;shadow;sym-CODE_39;sym-QR_CODE;n3;img-ok
c000019_2,2stage,2,1,1,0,0,1.663,mixed;mod-3px;sym-QR;sym-ITF;perspective;glare;overexposed;sym-QR_CODE;n2;img-ok
c000020_3,2stage,3,2,2,0,0,1.337,mixed;clutter-warehouse;mod-5px+;sym-QR;mod-3px;damaged;overexposed;sym-QR_CODE;n3;img-ok
c000023_3,2stage,3,1,1,0,0,2.087,mixed;clutter-warehouse;mod-3px;sym-CODE128;lowcontrast;sym-QR;perspective;mod-5px+;rot-small;overexposed;sym-CODE_128;sym-QR_CODE;n3;img-ok
c000024_1,2stage,1,1,1,0,0,10.016,mixed;clutter-warehouse;mod-5px+;sym-QR;damaged;rot-ortho;quietzone;shadow;underexposed;sym-QR_CODE;n1;img-ok
c000025_7,2stage,7,1,1,0,0,10.296,mixed;clutter-falsepattern;mod-3px;sym-EAN13;mod-5px+;sym-QR;printdefect;rot-small;perspective;sym-CODE128;damaged;inverted;shadow;overexposed;noise;sym-CODE_128;sym-EAN_13;sym-QR_CODE;n7;img-ok
c000026_5,2stage,5,3,3,0,0,1.887,mixed;clutter-falsepattern;mod-3px;sym-CODE39;mod-5px+;sym-QR;perspective;sym-CODE128;underexposed;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n5;img-ok
c000027_4,2stage,4,1,1,0,0,2.125,mixed;clutter-warehouse;mod-5px+;sym-QR;inverted;damaged;rot-ortho;rot-small;mod-3px;sym-CODE128;quietzone;dirty;overexposed;sym-CODE_128;sym-QR_CODE;n4;img-ok
c000028_3,2stage,3,1,1,0,0,5.087,mixed;mod-5px+;sym-CODE128;rot-free;sym-ITF;printdefect;perspective;dirty;sym-CODE_128;n3;img-ok
c000029_3,2stage,3,2,2,0,0,2.261,mixed;mod-5px+;sym-ITF;lowcontrast;damaged;sym-QR;perspective;rot-free;glare;sym-QR_CODE;n3;img-ok
c000030_3,2stage,3,1,1,0,0,26.616,mixed;mod-3px;sym-ITF;lowcontrast;damaged;sym-CODE128;rot-free;perspective;mod-5px+;sym-QR;dpm;rot-small;dirty;overexposed;sym-CODE_128;sym-QR_CODE;n3;img-ok
c000031_10,2stage,10,1,1,0,0,1.700,mixed;mod-3px;sym-CODE128;rot-small;sym-CODE39;sym-EAN13;inverted;rot-free;lowcontrast;mod-5px+;sym-QR;dpm;sym-ITF;printdefect;quietzone;shadow;sym-CODE_128;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n10;img-ok
c000032_3,2stage,3,2,2,0,0,7.058,mixed;mod-5px+;sym-QR;dpm;damaged;mod-3px;sym-CODE39;shadow;sym-CODE_39;sym-QR_CODE;n3;img-ok
c000035_6,2stage,6,2,2,0,0,11.086,mixed;clutter-label;mod-3px;sym-CODE128;perspective;mod-5px+;sym-QR;sym-CODE39;lowcontrast;rot-free;rot-small;curved;glare;noise;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n6;img-ok
c000036_1,2stage,1,1,1,0,0,6.603,mixed;clutter-label;mod-5px+;sym-QR;quietzone;curved;noise;sym-QR_CODE;n1;img-ok
c000043_2,2stage,2,1,1,0,0,9.808,mixed;clutter-falsepattern;mod-3px;sym-CODE128;rot-small;sym-ITF;inverted;quietzone;underexposed;sym-CODE_128;n2;img-ok
c000044_8,2stage,8,2,2,0,0,6.367,mixed;clutter-label;mod-3px;sym-CODE39;sym-ITF;inverted;mod-5px+;sym-QR;lowcontrast;rot-ortho;perspective-strong;rot-small;sym-CODE128;printdefect;sym-EAN13;noise-strong;sym-CODE_128;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n8;img-ok
c000045_1,2stage,1,1,1,0,0,90.410,mixed;clutter-warehouse;mod-3px;sym-CODE39;rot-ortho;curved;sym-CODE_39;n1;img-ok
c000046_1,2stage,1,1,1,0,0,4.628,mixed;clutter-warehouse;mod-3px;sym-CODE128;damaged;glare;sym-CODE_128;n1;img-ok
c000049_2,2stage,2,1,1,0,0,7.598,mixed;clutter-label;mod-5px+;sym-QR;rot-ortho;rot-small;dirty;overexposed;noise;sym-QR_CODE;n2;img-ok
c000051_5,2stage,5,2,2,0,0,10.495,mixed;clutter-warehouse;mod-5px+;sym-CODE128;sym-QR;rot-ortho;mod-3px;sym-CODE39;lowcontrast;rot-small;perspective;dpm;rot-free;sym-ITF;noise;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n5;img-ok
c000052_4,2stage,4,1,1,0,0,1.869,mixed;mod-3px;sym-CODE128;printdefect;damaged;sym-ITF;lowcontrast;inverted;rot-free;dirty;sym-CODE_128;n4;img-ok
