file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_contrast-0.1_module-1_1,2stage,1,0,0,0,0,320.729,contrast=0.1;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.15_module-1_1,2stage,1,0,0,0,0,126.899,contrast=0.15;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.2_module-1_1,2stage,1,1,1,0,0,41.012,contrast=0.2;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.25_module-1_1,2stage,1,1,1,0,0,23.473,contrast=0.25;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.3_module-1_1,2stage,1,1,1,0,0,20.221,contrast=0.3;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.35_module-1_1,2stage,1,1,1,0,0,21.037,contrast=0.35;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.4_module-1_1,2stage,1,1,1,0,0,14.979,contrast=0.4;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.45_module-1_1,2stage,1,1,1,0,0,6.365,contrast=0.45;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.5_module-1_1,2stage,1,1,1,0,0,14.424,contrast=0.5;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.55_module-1_1,2stage,1,1,1,0,0,15.411,contrast=0.55;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.6_module-1_1,2stage,1,1,1,0,0,14.669,contrast=0.6;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.65_module-1_1,2stage,1,1,1,0,0,10.381,contrast=0.65;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.7_module-1_1,2stage,1,1,1,0,0,15.758,contrast=0.7;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.75_module-1_1,2stage,1,1,1,0,0,7.306,contrast=0.75;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.8_module-1_1,2stage,1,1,1,0,0,6.024,contrast=0.8;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.85_module-1_1,2stage,1,1,1,0,0,6.893,contrast=0.85;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.9_module-1_1,2stage,1,1,1,0,0,9.614,contrast=0.9;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.95_module-1_1,2stage,1,1,1,0,0,9.456,contrast=0.95;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-1_module-1_1,2stage,1,1,1,0,0,7.113,contrast=1;module=1;sym-CODABAR;modpx-1.00;img-impossible
sw_contrast-0.1_module-1.125_1,2stage,1,0,0,0,0,208.150,contrast=0.1;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.15_module-1.125_1,2stage,1,1,1,0,0,15.186,contrast=0.15;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.2_module-1.125_1,2stage,1,1,1,0,0,15.402,contrast=0.2;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.25_module-1.125_1,2stage,1,1,1,0,0,15.762,contrast=0.25;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.3_module-1.125_1,2stage,1,1,1,0,0,23.707,contrast=0.3;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.35_module-1.125_1,2stage,1,1,1,0,0,16.264,contrast=0.35;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.4_module-1.125_1,2stage,1,1,1,0,0,12.991,contrast=0.4;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.45_module-1.125_1,2stage,1,1,1,0,0,6.608,contrast=0.45;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.5_module-1.125_1,2stage,1,1,1,0,0,14.819,contrast=0.5;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.55_module-1.125_1,2stage,1,1,1,0,0,8.424,contrast=0.55;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.6_module-1.125_1,2stage,1,1,1,0,0,6.319,contrast=0.6;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.65_module-1.125_1,2stage,1,1,1,0,0,6.555,contrast=0.65;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.7_module-1.125_1,2stage,1,1,1,0,0,6.556,contrast=0.7;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.75_module-1.125_1,2stage,1,1,1,0,0,11.051,contrast=0.75;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.8_module-1.125_1,2stage,1,1,1,0,0,11.495,contrast=0.8;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.85_module-1.125_1,2stage,1,1,1,0,0,12.786,contrast=0.85;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.9_module-1.125_1,2stage,1,1,1,0,0,16.091,contrast=0.9;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-0.95_module-1.125_1,2stage,1,1,1,0,0,11.675,contrast=0.95;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
sw_contrast-1_module-1.125_1,2stage,1,1,1,0,0,7.476,contrast=1;module=1.125;sym-CODABAR;modpx-1.12;img-impossible
