file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_contrast-0.1_module-1_1,2stage,1,0,0,0,0,320.463,contrast=0.1;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.15_module-1_1,2stage,1,0,0,0,0,129.677,contrast=0.15;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.2_module-1_1,2stage,1,0,0,0,0,129.021,contrast=0.2;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.25_module-1_1,2stage,1,0,0,0,0,164.509,contrast=0.25;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.3_module-1_1,2stage,1,1,1,0,0,113.075,contrast=0.3;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.35_module-1_1,2stage,1,1,1,0,0,88.316,contrast=0.35;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.4_module-1_1,2stage,1,1,1,0,0,92.057,contrast=0.4;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.45_module-1_1,2stage,1,1,1,0,0,79.435,contrast=0.45;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.5_module-1_1,2stage,1,1,1,0,0,80.539,contrast=0.5;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.55_module-1_1,2stage,1,1,1,0,0,114.136,contrast=0.55;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.6_module-1_1,2stage,1,1,1,0,0,105.028,contrast=0.6;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.65_module-1_1,2stage,1,1,1,0,0,70.402,contrast=0.65;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.7_module-1_1,2stage,1,1,1,0,0,67.513,contrast=0.7;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.75_module-1_1,2stage,1,1,1,0,0,69.194,contrast=0.75;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.8_module-1_1,2stage,1,1,1,0,0,62.127,contrast=0.8;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.85_module-1_1,2stage,1,1,1,0,0,75.040,contrast=0.85;module=1;sym-CODE_39;modpx-1.00;img-impossible
sw_contrast-0.9_module-1_1,2stage,1,1,1,0,0,139.802,contrast=0.9;module=1;sym-CODE_39;modpx-1.00;img-impossible
