file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_contrast-0.1_module-1_1,2stage,1,1,1,0,0,47.244,contrast=0.1;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.15_module-1_1,2stage,1,1,1,0,0,19.332,contrast=0.15;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.2_module-1_1,2stage,1,1,1,0,0,15.241,contrast=0.2;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.25_module-1_1,2stage,1,1,1,0,0,12.704,contrast=0.25;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.3_module-1_1,2stage,1,1,1,0,0,19.381,contrast=0.3;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.35_module-1_1,2stage,1,1,1,0,0,16.798,contrast=0.35;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.4_module-1_1,2stage,1,1,1,0,0,9.334,contrast=0.4;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.45_module-1_1,2stage,1,1,1,0,0,12.010,contrast=0.45;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.5_module-1_1,2stage,1,1,1,0,0,22.620,contrast=0.5;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.55_module-1_1,2stage,1,1,1,0,0,14.453,contrast=0.55;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.6_module-1_1,2stage,1,1,1,0,0,15.831,contrast=0.6;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.65_module-1_1,2stage,1,1,1,0,0,11.594,contrast=0.65;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.7_module-1_1,2stage,1,1,1,0,0,9.542,contrast=0.7;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.75_module-1_1,2stage,1,1,1,0,0,7.635,contrast=0.75;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.8_module-1_1,2stage,1,1,1,0,0,6.346,contrast=0.8;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.85_module-1_1,2stage,1,1,1,0,0,6.694,contrast=0.85;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.9_module-1_1,2stage,1,1,1,0,0,11.093,contrast=0.9;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.95_module-1_1,2stage,1,1,1,0,0,10.875,contrast=0.95;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-1_module-1_1,2stage,1,1,1,0,0,15.318,contrast=1;module=1;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_contrast-0.1_module-1.125_1,2stage,1,1,1,0,0,85.065,contrast=0.1;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.15_module-1.125_1,2stage,1,1,1,0,0,20.375,contrast=0.15;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.2_module-1.125_1,2stage,1,1,1,0,0,15.405,contrast=0.2;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.25_module-1.125_1,2stage,1,1,1,0,0,5.401,contrast=0.25;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.3_module-1.125_1,2stage,1,1,1,0,0,5.572,contrast=0.3;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.35_module-1.125_1,2stage,1,1,1,0,0,29.850,contrast=0.35;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.4_module-1.125_1,2stage,1,1,1,0,0,10.248,contrast=0.4;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.45_module-1.125_1,2stage,1,1,1,0,0,5.858,contrast=0.45;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.5_module-1.125_1,2stage,1,1,1,0,0,10.621,contrast=0.5;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.55_module-1.125_1,2stage,1,1,1,0,0,8.196,contrast=0.55;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.6_module-1.125_1,2stage,1,1,1,0,0,5.760,contrast=0.6;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.65_module-1.125_1,2stage,1,1,1,0,0,5.600,contrast=0.65;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.7_module-1.125_1,2stage,1,1,1,0,0,5.554,contrast=0.7;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.75_module-1.125_1,2stage,1,1,1,0,0,6.265,contrast=0.75;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.8_module-1.125_1,2stage,1,1,1,0,0,6.511,contrast=0.8;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.85_module-1.125_1,2stage,1,1,1,0,0,6.926,contrast=0.85;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.9_module-1.125_1,2stage,1,1,1,0,0,6.335,contrast=0.9;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.95_module-1.125_1,2stage,1,1,1,0,0,6.489,contrast=0.95;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-1_module-1.125_1,2stage,1,1,1,0,0,5.692,contrast=1;module=1.125;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_contrast-0.1_module-1.25_1,2stage,1,1,1,0,0,22.253,contrast=0.1;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.15_module-1.25_1,2stage,1,1,1,0,0,16.641,contrast=0.15;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.2_module-1.25_1,2stage,1,1,1,0,0,28.535,contrast=0.2;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.25_module-1.25_1,2stage,1,1,1,0,0,14.551,contrast=0.25;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.3_module-1.25_1,2stage,1,1,1,0,0,10.272,contrast=0.3;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.35_module-1.25_1,2stage,1,1,1,0,0,6.436,contrast=0.35;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.4_module-1.25_1,2stage,1,1,1,0,0,7.861,contrast=0.4;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.45_module-1.25_1,2stage,1,1,1,0,0,6.519,contrast=0.45;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.5_module-1.25_1,2stage,1,1,1,0,0,6.979,contrast=0.5;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.55_module-1.25_1,2stage,1,1,1,0,0,6.189,contrast=0.55;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.6_module-1.25_1,2stage,1,1,1,0,0,14.806,contrast=0.6;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.65_module-1.25_1,2stage,1,1,1,0,0,10.199,contrast=0.65;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.7_module-1.25_1,2stage,1,1,1,0,0,1.367,contrast=0.7;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.75_module-1.25_1,2stage,1,1,1,0,0,1.241,contrast=0.75;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.8_module-1.25_1,2stage,1,1,1,0,0,1.618,contrast=0.8;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.85_module-1.25_1,2stage,1,1,1,0,0,1.395,contrast=0.85;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_contrast-0.9_module-1.25_1,2stage,1,1,1,0,0,1.281,contrast=0.9;module=1.25;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
