file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_contrast-0.1_module-1_1,2stage,1,0,0,0,0,176.746,contrast=0.1;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.15_module-1_1,2stage,1,0,0,0,0,148.002,contrast=0.15;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.2_module-1_1,2stage,1,1,1,0,0,42.669,contrast=0.2;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.25_module-1_1,2stage,1,1,1,0,0,16.851,contrast=0.25;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.3_module-1_1,2stage,1,1,1,0,0,20.139,contrast=0.3;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.35_module-1_1,2stage,1,1,1,0,0,16.748,contrast=0.35;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.4_module-1_1,2stage,1,1,1,0,0,6.610,contrast=0.4;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.45_module-1_1,2stage,1,1,1,0,0,6.053,contrast=0.45;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.5_module-1_1,2stage,1,1,1,0,0,6.885,contrast=0.5;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.55_module-1_1,2stage,1,1,1,0,0,9.934,contrast=0.55;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.6_module-1_1,2stage,1,1,1,0,0,5.767,contrast=0.6;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.65_module-1_1,2stage,1,1,1,0,0,9.671,contrast=0.65;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.7_module-1_1,2stage,1,1,1,0,0,7.225,contrast=0.7;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.75_module-1_1,2stage,1,1,1,0,0,6.401,contrast=0.75;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.8_module-1_1,2stage,1,1,1,0,0,6.660,contrast=0.8;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.85_module-1_1,2stage,1,1,1,0,0,8.111,contrast=0.85;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.9_module-1_1,2stage,1,1,1,0,0,10.904,contrast=0.9;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.95_module-1_1,2stage,1,1,1,0,0,12.511,contrast=0.95;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-1_module-1_1,2stage,1,1,1,0,0,10.265,contrast=1;module=1;sym-DATA_BAR;modpx-1.00;img-impossible
sw_contrast-0.1_module-1.125_1,2stage,1,1,1,0,0,92.773,contrast=0.1;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.15_module-1.125_1,2stage,1,1,1,0,0,26.100,contrast=0.15;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.2_module-1.125_1,2stage,1,1,1,0,0,18.195,contrast=0.2;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.25_module-1.125_1,2stage,1,1,1,0,0,18.733,contrast=0.25;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.3_module-1.125_1,2stage,1,1,1,0,0,39.465,contrast=0.3;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.35_module-1.125_1,2stage,1,1,1,0,0,40.139,contrast=0.35;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.4_module-1.125_1,2stage,1,1,1,0,0,15.312,contrast=0.4;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.45_module-1.125_1,2stage,1,1,1,0,0,11.646,contrast=0.45;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.5_module-1.125_1,2stage,1,1,1,0,0,15.914,contrast=0.5;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.55_module-1.125_1,2stage,1,1,1,0,0,7.112,contrast=0.55;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.6_module-1.125_1,2stage,1,1,1,0,0,7.059,contrast=0.6;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.65_module-1.125_1,2stage,1,1,1,0,0,6.725,contrast=0.65;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.7_module-1.125_1,2stage,1,1,1,0,0,6.488,contrast=0.7;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.75_module-1.125_1,2stage,1,1,1,0,0,9.224,contrast=0.75;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.8_module-1.125_1,2stage,1,1,1,0,0,7.642,contrast=0.8;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.85_module-1.125_1,2stage,1,1,1,0,0,15.264,contrast=0.85;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.9_module-1.125_1,2stage,1,1,1,0,0,14.391,contrast=0.9;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.95_module-1.125_1,2stage,1,1,1,0,0,7.125,contrast=0.95;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-1_module-1.125_1,2stage,1,1,1,0,0,6.297,contrast=1;module=1.125;sym-DATA_BAR;modpx-1.12;img-impossible
sw_contrast-0.1_module-1.25_1,2stage,1,1,1,0,0,107.438,contrast=0.1;module=1.25;sym-DATA_BAR;modpx-1.25;img-impossible
sw_contrast-0.15_module-1.25_1,2stage,1,1,1,0,0,27.769,contrast=0.15;module=1.25;sym-DATA_BAR;modpx-1.25;img-impossible
sw_contrast-0.2_module-1.25_1,2stage,1,1,1,0,0,15.753,contrast=0.2;module=1.25;sym-DATA_BAR;modpx-1.25;img-impossible
sw_contrast-0.25_module-1.25_1,2stage,1,1,1,0,0,48.702,contrast=0.25;module=1.25;sym-DATA_BAR;modpx-1.25;img-impossible
