file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_contrast-0.1_module-1_1,2stage,1,0,0,0,0,189.797,contrast=0.1;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.15_module-1_1,2stage,1,0,0,0,0,88.420,contrast=0.15;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.2_module-1_1,2stage,1,0,0,0,0,84.630,contrast=0.2;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.25_module-1_1,2stage,1,0,0,0,0,84.410,contrast=0.25;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.3_module-1_1,2stage,1,0,0,0,0,86.225,contrast=0.3;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.35_module-1_1,2stage,1,0,0,0,0,112.670,contrast=0.35;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.4_module-1_1,2stage,1,0,0,0,0,83.525,contrast=0.4;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.45_module-1_1,2stage,1,0,0,0,0,99.003,contrast=0.45;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.5_module-1_1,2stage,1,0,0,0,0,103.511,contrast=0.5;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.55_module-1_1,2stage,1,0,0,0,0,99.268,contrast=0.55;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.6_module-1_1,2stage,1,0,0,0,0,85.225,contrast=0.6;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.65_module-1_1,2stage,1,0,0,0,0,84.369,contrast=0.65;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.7_module-1_1,2stage,1,0,0,0,0,83.773,contrast=0.7;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.75_module-1_1,2stage,1,0,0,0,0,84.381,contrast=0.75;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.8_module-1_1,2stage,1,0,0,0,0,85.176,contrast=0.8;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.85_module-1_1,2stage,1,0,0,0,0,143.188,contrast=0.85;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.9_module-1_1,2stage,1,0,0,0,0,135.063,contrast=0.9;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.95_module-1_1,2stage,1,0,0,0,0,122.447,contrast=0.95;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-1_module-1_1,2stage,1,0,0,0,0,100.310,contrast=1;module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_contrast-0.1_module-1.125_1,2stage,1,0,0,0,0,89.795,contrast=0.1;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.15_module-1.125_1,2stage,1,0,0,0,0,101.399,contrast=0.15;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.2_module-1.125_1,2stage,1,0,0,0,0,83.008,contrast=0.2;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.25_module-1.125_1,2stage,1,0,0,0,0,86.657,contrast=0.25;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.3_module-1.125_1,2stage,1,0,0,0,0,191.389,contrast=0.3;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.35_module-1.125_1,2stage,1,0,0,0,0,160.765,contrast=0.35;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.4_module-1.125_1,2stage,1,0,0,0,0,105.346,contrast=0.4;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.45_module-1.125_1,2stage,1,0,0,0,0,96.584,contrast=0.45;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.5_module-1.125_1,2stage,1,0,0,0,0,86.670,contrast=0.5;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.55_module-1.125_1,2stage,1,0,0,0,0,79.243,contrast=0.55;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.6_module-1.125_1,2stage,1,0,0,0,0,89.790,contrast=0.6;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.65_module-1.125_1,2stage,1,0,0,0,0,83.221,contrast=0.65;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.7_module-1.125_1,2stage,1,0,0,0,0,135.342,contrast=0.7;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.75_module-1.125_1,2stage,1,0,0,0,0,136.801,contrast=0.75;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.8_module-1.125_1,2stage,1,0,0,0,0,128.295,contrast=0.8;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.85_module-1.125_1,2stage,1,0,0,0,0,92.400,contrast=0.85;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.9_module-1.125_1,2stage,1,0,0,0,0,84.925,contrast=0.9;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.95_module-1.125_1,2stage,1,0,0,0,0,96.134,contrast=0.95;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-1_module-1.125_1,2stage,1,0,0,0,0,78.171,contrast=1;module=1.125;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_contrast-0.1_module-1.25_1,2stage,1,0,0,0,0,84.416,contrast=0.1;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.15_module-1.25_1,2stage,1,0,0,0,0,90.964,contrast=0.15;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.2_module-1.25_1,2stage,1,0,0,0,0,167.361,contrast=0.2;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.25_module-1.25_1,2stage,1,0,0,0,0,124.131,contrast=0.25;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.3_module-1.25_1,2stage,1,0,0,0,0,89.892,contrast=0.3;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.35_module-1.25_1,2stage,1,0,0,0,0,84.294,contrast=0.35;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.4_module-1.25_1,2stage,1,0,0,0,0,84.530,contrast=0.4;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.45_module-1.25_1,2stage,1,0,0,0,0,83.915,contrast=0.45;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.5_module-1.25_1,2stage,1,0,0,0,0,83.122,contrast=0.5;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.55_module-1.25_1,2stage,1,0,0,0,0,91.584,contrast=0.55;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.6_module-1.25_1,2stage,1,0,0,0,0,155.458,contrast=0.6;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.65_module-1.25_1,2stage,1,0,0,0,0,89.511,contrast=0.65;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.7_module-1.25_1,2stage,1,0,0,0,0,83.503,contrast=0.7;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.75_module-1.25_1,2stage,1,0,0,0,0,86.500,contrast=0.75;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_contrast-0.8_module-1.25_1,2stage,1,0,0,0,0,100.153,contrast=0.8;module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
