file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_contrast-0.1_module-1_1,2stage,1,0,0,0,0,142.154,contrast=0.1;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.15_module-1_1,2stage,1,0,0,0,0,103.670,contrast=0.15;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.2_module-1_1,2stage,1,0,0,0,0,94.599,contrast=0.2;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.25_module-1_1,2stage,1,0,0,0,0,81.515,contrast=0.25;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.3_module-1_1,2stage,1,0,0,0,0,82.398,contrast=0.3;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.35_module-1_1,2stage,1,0,0,0,0,84.077,contrast=0.35;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.4_module-1_1,2stage,1,1,1,0,0,14.159,contrast=0.4;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.45_module-1_1,2stage,1,1,1,0,0,3.834,contrast=0.45;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.5_module-1_1,2stage,1,1,1,0,0,9.009,contrast=0.5;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.55_module-1_1,2stage,1,1,1,0,0,3.853,contrast=0.55;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.6_module-1_1,2stage,1,1,1,0,0,3.857,contrast=0.6;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.65_module-1_1,2stage,1,1,1,0,0,3.762,contrast=0.65;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.7_module-1_1,2stage,1,1,1,0,0,5.084,contrast=0.7;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.75_module-1_1,2stage,1,1,1,0,0,4.044,contrast=0.75;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.8_module-1_1,2stage,1,1,1,0,0,4.003,contrast=0.8;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.85_module-1_1,2stage,1,1,1,0,0,5.201,contrast=0.85;module=1;sym-EAN_13;modpx-1.00;img-impossible
sw_contrast-0.9_module-1_1,2stage,1,1,1,0,0,10.281,contrast=0.9;module=1;sym-EAN_13;modpx-1.00;img-impossible
