file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_contrast-0.1_module-1_1,2stage,1,0,0,0,0,182.099,contrast=0.1;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.15_module-1_1,2stage,1,0,0,0,0,98.007,contrast=0.15;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.2_module-1_1,2stage,1,0,0,0,0,82.769,contrast=0.2;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.25_module-1_1,2stage,1,0,0,0,0,87.242,contrast=0.25;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.3_module-1_1,2stage,1,0,0,0,0,84.467,contrast=0.3;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.35_module-1_1,2stage,1,0,0,0,0,75.586,contrast=0.35;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.4_module-1_1,2stage,1,1,1,0,0,74.942,contrast=0.4;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.45_module-1_1,2stage,1,1,1,0,0,6.125,contrast=0.45;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.5_module-1_1,2stage,1,1,1,0,0,7.325,contrast=0.5;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.55_module-1_1,2stage,1,1,1,0,0,6.810,contrast=0.55;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.6_module-1_1,2stage,1,1,1,0,0,9.504,contrast=0.6;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.65_module-1_1,2stage,1,1,1,0,0,9.505,contrast=0.65;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.7_module-1_1,2stage,1,1,1,0,0,10.219,contrast=0.7;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.75_module-1_1,2stage,1,1,1,0,0,6.703,contrast=0.75;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.8_module-1_1,2stage,1,1,1,0,0,5.375,contrast=0.8;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.85_module-1_1,2stage,1,1,1,0,0,6.149,contrast=0.85;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.9_module-1_1,2stage,1,1,1,0,0,10.515,contrast=0.9;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.95_module-1_1,2stage,1,1,1,0,0,5.968,contrast=0.95;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-1_module-1_1,2stage,1,1,1,0,0,5.652,contrast=1;module=1;sym-ITF;modpx-1.00;img-impossible
sw_contrast-0.1_module-1.125_1,2stage,1,0,0,0,0,115.500,contrast=0.1;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.15_module-1.125_1,2stage,1,0,0,0,0,93.451,contrast=0.15;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.2_module-1.125_1,2stage,1,0,0,0,0,70.823,contrast=0.2;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.25_module-1.125_1,2stage,1,1,1,0,0,527.793,contrast=0.25;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.3_module-1.125_1,2stage,1,1,1,0,0,21.477,contrast=0.3;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.35_module-1.125_1,2stage,1,1,1,0,0,33.475,contrast=0.35;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.4_module-1.125_1,2stage,1,1,1,0,0,9.708,contrast=0.4;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.45_module-1.125_1,2stage,1,1,1,0,0,6.139,contrast=0.45;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.5_module-1.125_1,2stage,1,1,1,0,0,9.911,contrast=0.5;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.55_module-1.125_1,2stage,1,1,1,0,0,5.918,contrast=0.55;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.6_module-1.125_1,2stage,1,1,1,0,0,6.516,contrast=0.6;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.65_module-1.125_1,2stage,1,1,1,0,0,5.723,contrast=0.65;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.7_module-1.125_1,2stage,1,1,1,0,0,10.146,contrast=0.7;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.75_module-1.125_1,2stage,1,1,1,0,0,8.961,contrast=0.75;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.8_module-1.125_1,2stage,1,1,1,0,0,10.636,contrast=0.8;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.85_module-1.125_1,2stage,1,1,1,0,0,10.017,contrast=0.85;module=1.125;sym-ITF;modpx-1.12;img-impossible
sw_contrast-0.9_module-1.125_1,2stage,1,1,1,0,0,6.380,contrast=0.9;module=1.125;sym-ITF;modpx-1.12;img-impossible
