file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_contrast-0.1_module-1_1,2stage,1,0,0,0,0,172.166,contrast=0.1;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.15_module-1_1,2stage,1,0,0,0,0,107.390,contrast=0.15;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.2_module-1_1,2stage,1,0,0,0,0,86.479,contrast=0.2;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.25_module-1_1,2stage,1,0,0,0,0,85.968,contrast=0.25;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.3_module-1_1,2stage,1,0,0,0,0,97.113,contrast=0.3;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.35_module-1_1,2stage,1,0,0,0,0,82.269,contrast=0.35;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.4_module-1_1,2stage,1,0,0,0,0,87.549,contrast=0.4;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.45_module-1_1,2stage,1,0,0,0,0,154.948,contrast=0.45;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.5_module-1_1,2stage,1,0,0,0,0,109.475,contrast=0.5;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.55_module-1_1,2stage,1,0,0,0,0,172.217,contrast=0.55;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.6_module-1_1,2stage,1,0,0,0,0,119.330,contrast=0.6;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.65_module-1_1,2stage,1,0,0,0,0,100.529,contrast=0.65;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.7_module-1_1,2stage,1,0,0,0,0,91.740,contrast=0.7;module=1;sym-PDF417;modpx-1.00;img-impossible
sw_contrast-0.75_module-1_1,2stage,1,0,0,0,0,91.858,contrast=0.75;module=1;sym-PDF417;modpx-1.00;img-impossible
