file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_contrast-0.1_module-1_1,2stage,1,0,0,0,0,155.935,contrast=0.1;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.15_module-1_1,2stage,1,0,0,0,0,106.992,contrast=0.15;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.2_module-1_1,2stage,1,0,0,0,0,87.794,contrast=0.2;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.25_module-1_1,2stage,1,0,0,0,0,82.946,contrast=0.25;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.3_module-1_1,2stage,1,0,0,0,0,82.611,contrast=0.3;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.35_module-1_1,2stage,1,0,0,0,0,88.664,contrast=0.35;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.4_module-1_1,2stage,1,0,0,0,0,86.403,contrast=0.4;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.45_module-1_1,2stage,1,0,0,0,0,143.960,contrast=0.45;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.5_module-1_1,2stage,1,0,0,0,0,134.745,contrast=0.5;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.55_module-1_1,2stage,1,0,0,0,0,109.952,contrast=0.55;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.6_module-1_1,2stage,1,0,0,0,0,95.759,contrast=0.6;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.65_module-1_1,2stage,1,0,0,0,0,89.664,contrast=0.65;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.7_module-1_1,2stage,1,0,0,0,0,108.918,contrast=0.7;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.75_module-1_1,2stage,1,0,0,0,0,96.439,contrast=0.75;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.8_module-1_1,2stage,1,0,0,0,0,85.544,contrast=0.8;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.85_module-1_1,2stage,1,0,0,0,0,104.512,contrast=0.85;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.9_module-1_1,2stage,1,0,0,0,0,124.111,contrast=0.9;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.95_module-1_1,2stage,1,0,0,0,0,127.011,contrast=0.95;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-1_module-1_1,2stage,1,0,0,0,0,92.590,contrast=1;module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_contrast-0.1_module-1.125_1,2stage,1,0,0,0,0,126.453,contrast=0.1;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.15_module-1.125_1,2stage,1,0,0,0,0,88.138,contrast=0.15;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.2_module-1.125_1,2stage,1,0,0,0,0,94.747,contrast=0.2;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.25_module-1.125_1,2stage,1,0,0,0,0,87.880,contrast=0.25;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.3_module-1.125_1,2stage,1,0,0,0,0,94.209,contrast=0.3;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.35_module-1.125_1,2stage,1,0,0,0,0,168.053,contrast=0.35;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.4_module-1.125_1,2stage,1,0,0,0,0,127.028,contrast=0.4;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.45_module-1.125_1,2stage,1,0,0,0,0,88.750,contrast=0.45;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.5_module-1.125_1,2stage,1,0,0,0,0,98.350,contrast=0.5;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.55_module-1.125_1,2stage,1,0,0,0,0,85.958,contrast=0.55;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.6_module-1.125_1,2stage,1,0,0,0,0,82.747,contrast=0.6;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.65_module-1.125_1,2stage,1,0,0,0,0,79.647,contrast=0.65;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.7_module-1.125_1,2stage,1,0,0,0,0,139.539,contrast=0.7;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.75_module-1.125_1,2stage,1,0,0,0,0,116.977,contrast=0.75;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.8_module-1.125_1,2stage,1,0,0,0,0,108.560,contrast=0.8;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.85_module-1.125_1,2stage,1,0,0,0,0,102.617,contrast=0.85;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.9_module-1.125_1,2stage,1,0,0,0,0,92.441,contrast=0.9;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.95_module-1.125_1,2stage,1,0,0,0,0,89.148,contrast=0.95;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-1_module-1.125_1,2stage,1,0,0,0,0,78.828,contrast=1;module=1.125;sym-QR_CODE;modpx-1.12;img-impossible
sw_contrast-0.1_module-1.25_1,2stage,1,0,0,0,0,87.999,contrast=0.1;module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_contrast-0.15_module-1.25_1,2stage,1,0,0,0,0,199.682,contrast=0.15;module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_contrast-0.2_module-1.25_1,2stage,1,0,0,0,0,168.720,contrast=0.2;module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_contrast-0.25_module-1.25_1,2stage,1,0,0,0,0,103.254,contrast=0.25;module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_contrast-0.3_module-1.25_1,2stage,1,0,0,0,0,89.236,contrast=0.3;module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_contrast-0.35_module-1.25_1,2stage,1,0,0,0,0,86.828,contrast=0.35;module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_contrast-0.4_module-1.25_1,2stage,1,0,0,0,0,87.419,contrast=0.4;module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_contrast-0.45_module-1.25_1,2stage,1,0,0,0,0,80.706,contrast=0.45;module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_contrast-0.5_module-1.25_1,2stage,1,0,0,0,0,108.592,contrast=0.5;module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_contrast-0.55_module-1.25_1,2stage,1,0,0,0,0,138.834,contrast=0.55;module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_contrast-0.6_module-1.25_1,2stage,1,0,0,0,0,126.136,contrast=0.6;module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_contrast-0.65_module-1.25_1,2stage,1,0,0,0,0,104.983,contrast=0.65;module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
