file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_contrast-0.1_module-1_1,2stage,1,0,0,0,0,113.431,contrast=0.1;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.15_module-1_1,2stage,1,0,0,0,0,92.955,contrast=0.15;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.2_module-1_1,2stage,1,0,0,0,0,95.546,contrast=0.2;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.25_module-1_1,2stage,1,0,0,0,0,91.749,contrast=0.25;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.3_module-1_1,2stage,1,0,0,0,0,82.329,contrast=0.3;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.35_module-1_1,2stage,1,1,1,0,0,44.359,contrast=0.35;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.4_module-1_1,2stage,1,1,1,0,0,15.430,contrast=0.4;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.45_module-1_1,2stage,1,1,1,0,0,4.012,contrast=0.45;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.5_module-1_1,2stage,1,1,1,0,0,5.167,contrast=0.5;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.55_module-1_1,2stage,1,1,1,0,0,7.936,contrast=0.55;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.6_module-1_1,2stage,1,1,1,0,0,3.778,contrast=0.6;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.65_module-1_1,2stage,1,1,1,0,0,7.824,contrast=0.65;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.7_module-1_1,2stage,1,1,1,0,0,4.988,contrast=0.7;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.75_module-1_1,2stage,1,1,1,0,0,3.918,contrast=0.75;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.8_module-1_1,2stage,1,1,1,0,0,3.860,contrast=0.8;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.85_module-1_1,2stage,1,1,1,0,0,4.024,contrast=0.85;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.9_module-1_1,2stage,1,1,1,0,0,5.091,contrast=0.9;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.95_module-1_1,2stage,1,1,1,0,0,3.937,contrast=0.95;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-1_module-1_1,2stage,1,1,1,0,0,14.483,contrast=1;module=1;sym-UPC_A;modpx-1.00;img-impossible
sw_contrast-0.1_module-1.125_1,2stage,1,0,0,0,0,165.515,contrast=0.1;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.15_module-1.125_1,2stage,1,0,0,0,0,98.679,contrast=0.15;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.2_module-1.125_1,2stage,1,0,0,0,0,80.959,contrast=0.2;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.25_module-1.125_1,2stage,1,0,0,0,0,86.877,contrast=0.25;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.3_module-1.125_1,2stage,1,0,0,0,0,97.902,contrast=0.3;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.35_module-1.125_1,2stage,1,0,0,0,0,165.691,contrast=0.35;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.4_module-1.125_1,2stage,1,0,0,0,0,126.621,contrast=0.4;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.45_module-1.125_1,2stage,1,0,0,0,0,82.196,contrast=0.45;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.5_module-1.125_1,2stage,1,0,0,0,0,84.949,contrast=0.5;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.55_module-1.125_1,2stage,1,0,0,0,0,82.971,contrast=0.55;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.6_module-1.125_1,2stage,1,0,0,0,0,89.169,contrast=0.6;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.65_module-1.125_1,2stage,1,0,0,0,0,85.959,contrast=0.65;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.7_module-1.125_1,2stage,1,0,0,0,0,146.363,contrast=0.7;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.75_module-1.125_1,2stage,1,0,0,0,0,103.010,contrast=0.75;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.8_module-1.125_1,2stage,1,0,0,0,0,106.367,contrast=0.8;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.85_module-1.125_1,2stage,1,0,0,0,0,87.886,contrast=0.85;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.9_module-1.125_1,2stage,1,0,0,0,0,77.602,contrast=0.9;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.95_module-1.125_1,2stage,1,0,0,0,0,1254.900,contrast=0.95;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-1_module-1.125_1,2stage,1,0,0,0,0,140.534,contrast=1;module=1.125;sym-UPC_A;modpx-1.12;img-impossible
sw_contrast-0.1_module-1.25_1,2stage,1,0,0,0,0,89.517,contrast=0.1;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.15_module-1.25_1,2stage,1,0,0,0,0,114.643,contrast=0.15;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.2_module-1.25_1,2stage,1,0,0,0,0,152.373,contrast=0.2;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.25_module-1.25_1,2stage,1,0,0,0,0,99.684,contrast=0.25;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.3_module-1.25_1,2stage,1,0,0,0,0,90.887,contrast=0.3;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.35_module-1.25_1,2stage,1,0,0,0,0,92.751,contrast=0.35;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.4_module-1.25_1,2stage,1,0,0,0,0,94.151,contrast=0.4;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.45_module-1.25_1,2stage,1,0,0,0,0,91.137,contrast=0.45;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.5_module-1.25_1,2stage,1,0,0,0,0,105.585,contrast=0.5;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.55_module-1.25_1,2stage,1,1,1,0,0,16.723,contrast=0.55;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.6_module-1.25_1,2stage,1,1,1,0,0,99.054,contrast=0.6;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.65_module-1.25_1,2stage,1,1,1,0,0,20.733,contrast=0.65;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.7_module-1.25_1,2stage,1,1,1,0,0,5.705,contrast=0.7;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.75_module-1.25_1,2stage,1,1,1,0,0,6.451,contrast=0.75;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.8_module-1.25_1,2stage,1,1,1,0,0,6.923,contrast=0.8;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.85_module-1.25_1,2stage,1,1,1,0,0,7.443,contrast=0.85;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.9_module-1.25_1,2stage,1,1,1,0,0,15.971,contrast=0.9;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-0.95_module-1.25_1,2stage,1,1,1,0,0,13.262,contrast=0.95;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
sw_contrast-1_module-1.25_1,2stage,1,1,1,0,0,15.824,contrast=1;module=1.25;sym-UPC_A;modpx-1.25;img-impossible
