file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_contrast-0.1_module-1_1,2stage,1,0,0,0,0,204.443,contrast=0.1;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.15_module-1_1,2stage,1,0,0,0,0,173.703,contrast=0.15;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.2_module-1_1,2stage,1,0,0,0,0,140.873,contrast=0.2;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.25_module-1_1,2stage,1,0,0,0,0,94.762,contrast=0.25;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.3_module-1_1,2stage,1,0,0,0,0,95.672,contrast=0.3;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.35_module-1_1,2stage,1,0,0,0,0,91.972,contrast=0.35;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.4_module-1_1,2stage,1,1,1,0,0,4.377,contrast=0.4;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.45_module-1_1,2stage,1,1,1,0,0,3.778,contrast=0.45;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.5_module-1_1,2stage,1,1,1,0,0,5.500,contrast=0.5;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.55_module-1_1,2stage,1,1,1,0,0,8.005,contrast=0.55;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.6_module-1_1,2stage,1,1,1,0,0,8.137,contrast=0.6;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.65_module-1_1,2stage,1,1,1,0,0,4.883,contrast=0.65;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.7_module-1_1,2stage,1,1,1,0,0,5.124,contrast=0.7;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.75_module-1_1,2stage,1,1,1,0,0,4.134,contrast=0.75;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.8_module-1_1,2stage,1,1,1,0,0,24.836,contrast=0.8;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.85_module-1_1,2stage,1,1,1,0,0,16.497,contrast=0.85;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.9_module-1_1,2stage,1,1,1,0,0,10.063,contrast=0.9;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.95_module-1_1,2stage,1,1,1,0,0,10.013,contrast=0.95;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-1_module-1_1,2stage,1,1,1,0,0,10.122,contrast=1;module=1;sym-UPC_E;modpx-1.00;img-impossible
sw_contrast-0.1_module-1.125_1,2stage,1,0,0,0,0,126.155,contrast=0.1;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
sw_contrast-0.15_module-1.125_1,2stage,1,0,0,0,0,92.570,contrast=0.15;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
sw_contrast-0.2_module-1.125_1,2stage,1,0,0,0,0,88.280,contrast=0.2;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
sw_contrast-0.25_module-1.125_1,2stage,1,0,0,0,0,86.264,contrast=0.25;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
sw_contrast-0.3_module-1.125_1,2stage,1,0,0,0,0,101.123,contrast=0.3;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
sw_contrast-0.35_module-1.125_1,2stage,1,0,0,0,0,142.404,contrast=0.35;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
sw_contrast-0.4_module-1.125_1,2stage,1,1,1,0,0,14.981,contrast=0.4;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
sw_contrast-0.45_module-1.125_1,2stage,1,1,1,0,0,3.810,contrast=0.45;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
sw_contrast-0.5_module-1.125_1,2stage,1,1,1,0,0,4.025,contrast=0.5;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
sw_contrast-0.55_module-1.125_1,2stage,1,1,1,0,0,4.198,contrast=0.55;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
sw_contrast-0.6_module-1.125_1,2stage,1,1,1,0,0,4.951,contrast=0.6;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
sw_contrast-0.65_module-1.125_1,2stage,1,1,1,0,0,11.335,contrast=0.65;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
sw_contrast-0.7_module-1.125_1,2stage,1,1,1,0,0,10.010,contrast=0.7;module=1.125;sym-UPC_E;modpx-1.12;img-impossible
