file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_noise-0_1,2stage,1,1,1,0,0,10.118,module=1;noise=0;sym-CODABAR;modpx-1.00;img-impossible
sw_module-1_noise-4_1,2stage,1,1,1,0,0,10.102,module=1;noise=4;sym-CODABAR;modpx-1.00;img-impossible
sw_module-1_noise-8_1,2stage,1,1,1,0,0,13.258,module=1;noise=8;sym-CODABAR;modpx-1.00;img-impossible
sw_module-1_noise-12_1,2stage,1,1,1,0,0,16.426,module=1;noise=12;sym-CODABAR;modpx-1.00;img-impossible
sw_module-1_noise-16_1,2stage,1,1,1,0,0,20.871,module=1;noise=16;sym-CODABAR;modpx-1.00;img-impossible
sw_module-1_noise-20_1,2stage,1,1,1,0,0,9.854,module=1;noise=20;sym-CODABAR;modpx-1.00;img-impossible
sw_module-1_noise-24_1,2stage,1,1,1,0,0,8.482,module=1;noise=24;sym-CODABAR;modpx-1.00;img-impossible
sw_module-1_noise-28_1,2stage,1,1,1,0,0,8.721,module=1;noise=28;sym-CODABAR;modpx-1.00;img-impossible
sw_module-1_noise-32_1,2stage,1,1,1,0,0,63.464,module=1;noise=32;sym-CODABAR;modpx-1.00;img-impossible
sw_module-1_noise-36_1,2stage,1,1,1,0,0,17.710,module=1;noise=36;sym-CODABAR;modpx-1.00;img-impossible
sw_module-1_noise-40_1,2stage,1,1,1,0,0,16.304,module=1;noise=40;sym-CODABAR;modpx-1.00;img-impossible
sw_module-1.125_noise-0_1,2stage,1,1,1,0,0,15.257,module=1.125;noise=0;sym-CODABAR;modpx-1.12;img-impossible
sw_module-1.125_noise-4_1,2stage,1,1,1,0,0,9.342,module=1.125;noise=4;sym-CODABAR;modpx-1.12;img-impossible
sw_module-1.125_noise-8_1,2stage,1,1,1,0,0,10.907,module=1.125;noise=8;sym-CODABAR;modpx-1.12;img-impossible
sw_module-1.125_noise-12_1,2stage,1,1,1,0,0,10.982,module=1.125;noise=12;sym-CODABAR;modpx-1.12;img-impossible
sw_module-1.125_noise-16_1,2stage,1,1,1,0,0,9.282,module=1.125;noise=16;sym-CODABAR;modpx-1.12;img-impossible
sw_module-1.125_noise-20_1,2stage,1,1,1,0,0,22.262,module=1.125;noise=20;sym-CODABAR;modpx-1.12;img-impossible
sw_module-1.125_noise-24_1,2stage,1,1,1,0,0,8.156,module=1.125;noise=24;sym-CODABAR;modpx-1.12;img-impossible
sw_module-1.125_noise-28_1,2stage,1,1,1,0,0,7.379,module=1.125;noise=28;sym-CODABAR;modpx-1.12;img-impossible
