file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_noise-0_1,2stage,1,1,1,0,0,10.288,module=1;noise=0;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1_noise-4_1,2stage,1,1,1,0,0,17.760,module=1;noise=4;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1_noise-8_1,2stage,1,1,1,0,0,18.636,module=1;noise=8;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1_noise-12_1,2stage,1,0,0,0,0,155.835,module=1;noise=12;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1_noise-16_1,2stage,1,0,0,0,0,66.982,module=1;noise=16;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1_noise-20_1,2stage,1,0,0,0,0,163.660,module=1;noise=20;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1_noise-24_1,2stage,1,0,0,0,0,187.739,module=1;noise=24;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1_noise-28_1,2stage,1,0,0,0,0,272.535,module=1;noise=28;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1_noise-32_1,2stage,1,0,0,0,0,250.995,module=1;noise=32;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1_noise-36_1,2stage,1,0,0,0,0,203.344,module=1;noise=36;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1_noise-40_1,2stage,1,0,0,0,0,237.764,module=1;noise=40;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1.125_noise-0_1,2stage,1,0,0,0,0,127.513,module=1.125;noise=0;sym-CODE_128;modpx-1.12;img-impossible
sw_module-1.125_noise-4_1,2stage,1,0,0,0,0,309.429,module=1.125;noise=4;sym-CODE_128;modpx-1.12;img-impossible
sw_module-1.125_noise-8_1,2stage,1,0,0,0,0,325.032,module=1.125;noise=8;sym-CODE_128;modpx-1.12;img-impossible
sw_module-1.125_noise-12_1,2stage,1,0,0,0,0,104.344,module=1.125;noise=12;sym-CODE_128;modpx-1.12;img-impossible
sw_module-1.125_noise-16_1,2stage,1,0,0,0,0,107.988,module=1.125;noise=16;sym-CODE_128;modpx-1.12;img-impossible
