file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_noise-0_1,2stage,1,1,1,0,0,11.489,module=1;noise=0;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_module-1_noise-4_1,2stage,1,1,1,0,0,16.847,module=1;noise=4;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_module-1_noise-8_1,2stage,1,1,1,0,0,18.970,module=1;noise=8;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_module-1_noise-12_1,2stage,1,1,1,0,0,31.005,module=1;noise=12;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_module-1_noise-16_1,2stage,1,1,1,0,0,18.143,module=1;noise=16;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_module-1_noise-20_1,2stage,1,1,1,0,0,11.208,module=1;noise=20;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_module-1_noise-24_1,2stage,1,1,1,0,0,11.637,module=1;noise=24;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_module-1_noise-28_1,2stage,1,1,1,0,0,9.345,module=1;noise=28;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_module-1_noise-32_1,2stage,1,1,1,0,0,18.663,module=1;noise=32;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_module-1_noise-36_1,2stage,1,1,1,0,0,32.861,module=1;noise=36;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_module-1_noise-40_1,2stage,1,1,1,0,0,122.689,module=1;noise=40;sym-DATA_BAR_EXPANDED;modpx-1.00;img-impossible
sw_module-1.125_noise-0_1,2stage,1,1,1,0,0,8.919,module=1.125;noise=0;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_module-1.125_noise-4_1,2stage,1,1,1,0,0,7.047,module=1.125;noise=4;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_module-1.125_noise-8_1,2stage,1,1,1,0,0,7.831,module=1.125;noise=8;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_module-1.125_noise-12_1,2stage,1,1,1,0,0,9.906,module=1.125;noise=12;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_module-1.125_noise-16_1,2stage,1,1,1,0,0,9.124,module=1.125;noise=16;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_module-1.125_noise-20_1,2stage,1,1,1,0,0,14.460,module=1.125;noise=20;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_module-1.125_noise-24_1,2stage,1,1,1,0,0,10.279,module=1.125;noise=24;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_module-1.125_noise-28_1,2stage,1,1,1,0,0,10.291,module=1.125;noise=28;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_module-1.125_noise-32_1,2stage,1,1,1,0,0,11.353,module=1.125;noise=32;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_module-1.125_noise-36_1,2stage,1,1,1,0,0,11.434,module=1.125;noise=36;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_module-1.125_noise-40_1,2stage,1,1,1,0,0,10.558,module=1.125;noise=40;sym-DATA_BAR_EXPANDED;modpx-1.12;img-impossible
sw_module-1.25_noise-0_1,2stage,1,1,1,0,0,1.498,module=1.25;noise=0;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_module-1.25_noise-4_1,2stage,1,1,1,0,0,1.230,module=1.25;noise=4;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_module-1.25_noise-8_1,2stage,1,1,1,0,0,1.503,module=1.25;noise=8;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_module-1.25_noise-12_1,2stage,1,1,1,0,0,10.254,module=1.25;noise=12;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_module-1.25_noise-16_1,2stage,1,1,1,0,0,8.832,module=1.25;noise=16;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_module-1.25_noise-20_1,2stage,1,1,1,0,0,4.595,module=1.25;noise=20;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_module-1.25_noise-24_1,2stage,1,1,1,0,0,6.161,module=1.25;noise=24;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_module-1.25_noise-28_1,2stage,1,1,1,0,0,5.587,module=1.25;noise=28;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_module-1.25_noise-32_1,2stage,1,1,1,0,0,5.089,module=1.25;noise=32;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_module-1.25_noise-36_1,2stage,1,1,1,0,0,4.572,module=1.25;noise=36;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_module-1.25_noise-40_1,2stage,1,1,1,0,0,9.595,module=1.25;noise=40;sym-DATA_BAR_EXPANDED;modpx-1.25;img-impossible
sw_module-1.375_noise-0_1,2stage,1,1,1,0,0,1.501,module=1.375;noise=0;sym-DATA_BAR_EXPANDED;modpx-1.38;img-borderline
sw_module-1.375_noise-4_1,2stage,1,1,1,0,0,1.075,module=1.375;noise=4;sym-DATA_BAR_EXPANDED;modpx-1.38;img-borderline
sw_module-1.375_noise-8_1,2stage,1,1,1,0,0,1.021,module=1.375;noise=8;sym-DATA_BAR_EXPANDED;modpx-1.38;img-borderline
sw_module-1.375_noise-12_1,2stage,1,1,1,0,0,5.907,module=1.375;noise=12;sym-DATA_BAR_EXPANDED;modpx-1.38;img-borderline
sw_module-1.375_noise-16_1,2stage,1,1,1,0,0,5.111,module=1.375;noise=16;sym-DATA_BAR_EXPANDED;modpx-1.38;img-borderline
sw_module-1.375_noise-20_1,2stage,1,1,1,0,0,4.673,module=1.375;noise=20;sym-DATA_BAR_EXPANDED;modpx-1.38;img-borderline
sw_module-1.375_noise-24_1,2stage,1,1,1,0,0,5.208,module=1.375;noise=24;sym-DATA_BAR_EXPANDED;modpx-1.38;img-borderline
sw_module-1.375_noise-28_1,2stage,1,1,1,0,0,5.707,module=1.375;noise=28;sym-DATA_BAR_EXPANDED;modpx-1.38;img-borderline
sw_module-1.375_noise-32_1,2stage,1,1,1,0,0,4.810,module=1.375;noise=32;sym-DATA_BAR_EXPANDED;modpx-1.38;img-borderline
sw_module-1.375_noise-36_1,2stage,1,1,1,0,0,4.837,module=1.375;noise=36;sym-DATA_BAR_EXPANDED;modpx-1.38;img-borderline
sw_module-1.375_noise-40_1,2stage,1,1,1,0,0,6.993,module=1.375;noise=40;sym-DATA_BAR_EXPANDED;modpx-1.38;img-borderline
sw_module-1.5_noise-0_1,2stage,1,1,1,0,0,1.823,module=1.5;noise=0;sym-DATA_BAR_EXPANDED;modpx-1.50;img-borderline
sw_module-1.5_noise-4_1,2stage,1,1,1,0,0,1.184,module=1.5;noise=4;sym-DATA_BAR_EXPANDED;modpx-1.50;img-borderline
sw_module-1.5_noise-8_1,2stage,1,1,1,0,0,1.257,module=1.5;noise=8;sym-DATA_BAR_EXPANDED;modpx-1.50;img-borderline
sw_module-1.5_noise-12_1,2stage,1,1,1,0,0,5.462,module=1.5;noise=12;sym-DATA_BAR_EXPANDED;modpx-1.50;img-borderline
sw_module-1.5_noise-16_1,2stage,1,1,1,0,0,7.702,module=1.5;noise=16;sym-DATA_BAR_EXPANDED;modpx-1.50;img-borderline
sw_module-1.5_noise-20_1,2stage,1,1,1,0,0,10.671,module=1.5;noise=20;sym-DATA_BAR_EXPANDED;modpx-1.50;img-borderline
sw_module-1.5_noise-24_1,2stage,1,1,1,0,0,7.309,module=1.5;noise=24;sym-DATA_BAR_EXPANDED;modpx-1.50;img-borderline
sw_module-1.5_noise-28_1,2stage,1,1,1,0,0,4.482,module=1.5;noise=28;sym-DATA_BAR_EXPANDED;modpx-1.50;img-borderline
sw_module-1.5_noise-32_1,2stage,1,1,1,0,0,6.005,module=1.5;noise=32;sym-DATA_BAR_EXPANDED;modpx-1.50;img-borderline
sw_module-1.5_noise-36_1,2stage,1,1,1,0,0,5.214,module=1.5;noise=36;sym-DATA_BAR_EXPANDED;modpx-1.50;img-borderline
sw_module-1.5_noise-40_1,2stage,1,1,1,0,0,4.886,module=1.5;noise=40;sym-DATA_BAR_EXPANDED;modpx-1.50;img-borderline
sw_module-1.625_noise-0_1,2stage,1,1,1,0,0,1.211,module=1.625;noise=0;sym-DATA_BAR_EXPANDED;modpx-1.62;img-borderline
sw_module-1.625_noise-4_1,2stage,1,1,1,0,0,1.636,module=1.625;noise=4;sym-DATA_BAR_EXPANDED;modpx-1.62;img-borderline
sw_module-1.625_noise-8_1,2stage,1,1,1,0,0,1.625,module=1.625;noise=8;sym-DATA_BAR_EXPANDED;modpx-1.62;img-borderline
sw_module-1.625_noise-12_1,2stage,1,1,1,0,0,6.063,module=1.625;noise=12;sym-DATA_BAR_EXPANDED;modpx-1.62;img-borderline
sw_module-1.625_noise-16_1,2stage,1,1,1,0,0,8.796,module=1.625;noise=16;sym-DATA_BAR_EXPANDED;modpx-1.62;img-borderline
sw_module-1.625_noise-20_1,2stage,1,1,1,0,0,9.979,module=1.625;noise=20;sym-DATA_BAR_EXPANDED;modpx-1.62;img-borderline
sw_module-1.625_noise-24_1,2stage,1,1,1,0,0,5.600,module=1.625;noise=24;sym-DATA_BAR_EXPANDED;modpx-1.62;img-borderline
sw_module-1.625_noise-28_1,2stage,1,1,1,0,0,5.338,module=1.625;noise=28;sym-DATA_BAR_EXPANDED;modpx-1.62;img-borderline
sw_module-1.625_noise-32_1,2stage,1,1,1,0,0,4.976,module=1.625;noise=32;sym-DATA_BAR_EXPANDED;modpx-1.62;img-borderline
sw_module-1.625_noise-36_1,2stage,1,1,1,0,0,6.589,module=1.625;noise=36;sym-DATA_BAR_EXPANDED;modpx-1.62;img-borderline
sw_module-1.625_noise-40_1,2stage,1,1,1,0,0,5.200,module=1.625;noise=40;sym-DATA_BAR_EXPANDED;modpx-1.62;img-borderline
sw_module-1.75_noise-0_1,2stage,1,1,1,0,0,1.253,module=1.75;noise=0;sym-DATA_BAR_EXPANDED;modpx-1.75;img-borderline
sw_module-1.75_noise-4_1,2stage,1,1,1,0,0,1.123,module=1.75;noise=4;sym-DATA_BAR_EXPANDED;modpx-1.75;img-borderline
sw_module-1.75_noise-8_1,2stage,1,1,1,0,0,1.966,module=1.75;noise=8;sym-DATA_BAR_EXPANDED;modpx-1.75;img-borderline
sw_module-1.75_noise-12_1,2stage,1,1,1,0,0,5.714,module=1.75;noise=12;sym-DATA_BAR_EXPANDED;modpx-1.75;img-borderline
sw_module-1.75_noise-16_1,2stage,1,1,1,0,0,4.644,module=1.75;noise=16;sym-DATA_BAR_EXPANDED;modpx-1.75;img-borderline
sw_module-1.75_noise-20_1,2stage,1,1,1,0,0,4.548,module=1.75;noise=20;sym-DATA_BAR_EXPANDED;modpx-1.75;img-borderline
sw_module-1.75_noise-24_1,2stage,1,1,1,0,0,16.896,module=1.75;noise=24;sym-DATA_BAR_EXPANDED;modpx-1.75;img-borderline
sw_module-1.75_noise-28_1,2stage,1,1,1,0,0,9.600,module=1.75;noise=28;sym-DATA_BAR_EXPANDED;modpx-1.75;img-borderline
sw_module-1.75_noise-32_1,2stage,1,1,1,0,0,4.741,module=1.75;noise=32;sym-DATA_BAR_EXPANDED;modpx-1.75;img-borderline
sw_module-1.75_noise-36_1,2stage,1,1,1,0,0,8.592,module=1.75;noise=36;sym-DATA_BAR_EXPANDED;modpx-1.75;img-borderline
sw_module-1.75_noise-40_1,2stage,1,1,1,0,0,6.706,module=1.75;noise=40;sym-DATA_BAR_EXPANDED;modpx-1.75;img-borderline
sw_module-1.875_noise-0_1,2stage,1,1,1,0,0,1.381,module=1.875;noise=0;sym-DATA_BAR_EXPANDED;modpx-1.88;img-borderline
sw_module-1.875_noise-4_1,2stage,1,1,1,0,0,1.175,module=1.875;noise=4;sym-DATA_BAR_EXPANDED;modpx-1.88;img-borderline
sw_module-1.875_noise-8_1,2stage,1,1,1,0,0,1.136,module=1.875;noise=8;sym-DATA_BAR_EXPANDED;modpx-1.88;img-borderline
sw_module-1.875_noise-12_1,2stage,1,1,1,0,0,7.827,module=1.875;noise=12;sym-DATA_BAR_EXPANDED;modpx-1.88;img-borderline
sw_module-1.875_noise-16_1,2stage,1,1,1,0,0,4.820,module=1.875;noise=16;sym-DATA_BAR_EXPANDED;modpx-1.88;img-borderline
sw_module-1.875_noise-20_1,2stage,1,1,1,0,0,4.604,module=1.875;noise=20;sym-DATA_BAR_EXPANDED;modpx-1.88;img-borderline
sw_module-1.875_noise-24_1,2stage,1,1,1,0,0,4.532,module=1.875;noise=24;sym-DATA_BAR_EXPANDED;modpx-1.88;img-borderline
sw_module-1.875_noise-28_1,2stage,1,1,1,0,0,11.171,module=1.875;noise=28;sym-DATA_BAR_EXPANDED;modpx-1.88;img-borderline
sw_module-1.875_noise-32_1,2stage,1,1,1,0,0,5.100,module=1.875;noise=32;sym-DATA_BAR_EXPANDED;modpx-1.88;img-borderline
sw_module-1.875_noise-36_1,2stage,1,1,1,0,0,5.110,module=1.875;noise=36;sym-DATA_BAR_EXPANDED;modpx-1.88;img-borderline
sw_module-1.875_noise-40_1,2stage,1,1,1,0,0,4.945,module=1.875;noise=40;sym-DATA_BAR_EXPANDED;modpx-1.88;img-borderline
sw_module-2_noise-0_1,2stage,1,1,1,0,0,2.083,module=2;noise=0;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_module-2_noise-4_1,2stage,1,1,1,0,0,1.356,module=2;noise=4;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_module-2_noise-8_1,2stage,1,1,1,0,0,1.196,module=2;noise=8;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_module-2_noise-12_1,2stage,1,1,1,0,0,9.811,module=2;noise=12;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_module-2_noise-16_1,2stage,1,1,1,0,0,6.427,module=2;noise=16;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_module-2_noise-20_1,2stage,1,1,1,0,0,5.325,module=2;noise=20;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_module-2_noise-24_1,2stage,1,1,1,0,0,5.152,module=2;noise=24;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_module-2_noise-28_1,2stage,1,1,1,0,0,4.718,module=2;noise=28;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_module-2_noise-32_1,2stage,1,1,1,0,0,10.575,module=2;noise=32;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_module-2_noise-36_1,2stage,1,1,1,0,0,5.369,module=2;noise=36;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_module-2_noise-40_1,2stage,1,1,1,0,0,6.140,module=2;noise=40;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_module-2.125_noise-0_1,2stage,1,1,1,0,0,1.557,module=2.125;noise=0;sym-DATA_BAR_EXPANDED;modpx-2.12;img-ok
sw_module-2.125_noise-4_1,2stage,1,1,1,0,0,1.534,module=2.125;noise=4;sym-DATA_BAR_EXPANDED;modpx-2.12;img-ok
sw_module-2.125_noise-8_1,2stage,1,1,1,0,0,1.579,module=2.125;noise=8;sym-DATA_BAR_EXPANDED;modpx-2.12;img-ok
sw_module-2.125_noise-12_1,2stage,1,1,1,0,0,6.206,module=2.125;noise=12;sym-DATA_BAR_EXPANDED;modpx-2.12;img-ok
sw_module-2.125_noise-16_1,2stage,1,1,1,0,0,4.653,module=2.125;noise=16;sym-DATA_BAR_EXPANDED;modpx-2.12;img-ok
sw_module-2.125_noise-20_1,2stage,1,1,1,0,0,10.204,module=2.125;noise=20;sym-DATA_BAR_EXPANDED;modpx-2.12;img-ok
sw_module-2.125_noise-24_1,2stage,1,1,1,0,0,9.281,module=2.125;noise=24;sym-DATA_BAR_EXPANDED;modpx-2.12;img-ok
sw_module-2.125_noise-28_1,2stage,1,1,1,0,0,5.119,module=2.125;noise=28;sym-DATA_BAR_EXPANDED;modpx-2.12;img-ok
sw_module-2.125_noise-32_1,2stage,1,1,1,0,0,9.471,module=2.125;noise=32;sym-DATA_BAR_EXPANDED;modpx-2.12;img-ok
sw_module-2.125_noise-36_1,2stage,1,1,1,0,0,6.605,module=2.125;noise=36;sym-DATA_BAR_EXPANDED;modpx-2.12;img-ok
sw_module-2.125_noise-40_1,2stage,1,1,1,0,0,5.112,module=2.125;noise=40;sym-DATA_BAR_EXPANDED;modpx-2.12;img-ok
sw_module-2.25_noise-0_1,2stage,1,1,1,0,0,1.283,module=2.25;noise=0;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_module-2.25_noise-4_1,2stage,1,1,1,0,0,1.311,module=2.25;noise=4;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_module-2.25_noise-8_1,2stage,1,1,1,0,0,1.558,module=2.25;noise=8;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_module-2.25_noise-12_1,2stage,1,1,1,0,0,9.886,module=2.25;noise=12;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_module-2.25_noise-16_1,2stage,1,1,1,0,0,4.899,module=2.25;noise=16;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_module-2.25_noise-20_1,2stage,1,1,1,0,0,4.745,module=2.25;noise=20;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_module-2.25_noise-24_1,2stage,1,1,1,0,0,6.031,module=2.25;noise=24;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_module-2.25_noise-28_1,2stage,1,1,1,0,0,6.775,module=2.25;noise=28;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_module-2.25_noise-32_1,2stage,1,1,1,0,0,5.417,module=2.25;noise=32;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_module-2.25_noise-36_1,2stage,1,1,1,0,0,5.081,module=2.25;noise=36;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_module-2.25_noise-40_1,2stage,1,1,1,0,0,17.200,module=2.25;noise=40;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_module-2.375_noise-0_1,2stage,1,1,1,0,0,1.802,module=2.375;noise=0;sym-DATA_BAR_EXPANDED;modpx-2.38;img-ok
sw_module-2.375_noise-4_1,2stage,1,1,1,0,0,1.451,module=2.375;noise=4;sym-DATA_BAR_EXPANDED;modpx-2.38;img-ok
sw_module-2.375_noise-8_1,2stage,1,1,1,0,0,1.592,module=2.375;noise=8;sym-DATA_BAR_EXPANDED;modpx-2.38;img-ok
