file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_noise-0_1,2stage,1,1,1,0,0,10.387,module=1;noise=0;sym-DATA_BAR;modpx-1.00;img-impossible
sw_module-1_noise-4_1,2stage,1,1,1,0,0,14.110,module=1;noise=4;sym-DATA_BAR;modpx-1.00;img-impossible
sw_module-1_noise-8_1,2stage,1,1,1,0,0,22.508,module=1;noise=8;sym-DATA_BAR;modpx-1.00;img-impossible
sw_module-1_noise-12_1,2stage,1,1,1,0,0,26.516,module=1;noise=12;sym-DATA_BAR;modpx-1.00;img-impossible
sw_module-1_noise-16_1,2stage,1,1,1,0,0,19.460,module=1;noise=16;sym-DATA_BAR;modpx-1.00;img-impossible
sw_module-1_noise-20_1,2stage,1,1,1,0,0,9.305,module=1;noise=20;sym-DATA_BAR;modpx-1.00;img-impossible
sw_module-1_noise-24_1,2stage,1,1,1,0,0,8.409,module=1;noise=24;sym-DATA_BAR;modpx-1.00;img-impossible
sw_module-1_noise-28_1,2stage,1,1,1,0,0,12.150,module=1;noise=28;sym-DATA_BAR;modpx-1.00;img-impossible
sw_module-1_noise-32_1,2stage,1,1,1,0,0,10.080,module=1;noise=32;sym-DATA_BAR;modpx-1.00;img-impossible
sw_module-1_noise-36_1,2stage,1,1,1,0,0,15.660,module=1;noise=36;sym-DATA_BAR;modpx-1.00;img-impossible
sw_module-1_noise-40_1,2stage,1,1,1,0,0,15.741,module=1;noise=40;sym-DATA_BAR;modpx-1.00;img-impossible
sw_module-1.125_noise-0_1,2stage,1,1,1,0,0,10.050,module=1.125;noise=0;sym-DATA_BAR;modpx-1.12;img-impossible
sw_module-1.125_noise-4_1,2stage,1,1,1,0,0,9.529,module=1.125;noise=4;sym-DATA_BAR;modpx-1.12;img-impossible
sw_module-1.125_noise-8_1,2stage,1,1,1,0,0,9.648,module=1.125;noise=8;sym-DATA_BAR;modpx-1.12;img-impossible
sw_module-1.125_noise-12_1,2stage,1,1,1,0,0,10.231,module=1.125;noise=12;sym-DATA_BAR;modpx-1.12;img-impossible
sw_module-1.125_noise-16_1,2stage,1,1,1,0,0,9.817,module=1.125;noise=16;sym-DATA_BAR;modpx-1.12;img-impossible
sw_module-1.125_noise-20_1,2stage,1,1,1,0,0,27.833,module=1.125;noise=20;sym-DATA_BAR;modpx-1.12;img-impossible
sw_module-1.125_noise-24_1,2stage,1,1,1,0,0,45.523,module=1.125;noise=24;sym-DATA_BAR;modpx-1.12;img-impossible
sw_module-1.125_noise-28_1,2stage,1,1,1,0,0,31.357,module=1.125;noise=28;sym-DATA_BAR;modpx-1.12;img-impossible
sw_module-1.125_noise-32_1,2stage,1,1,1,0,0,32.484,module=1.125;noise=32;sym-DATA_BAR;modpx-1.12;img-impossible
sw_module-1.125_noise-36_1,2stage,1,1,1,0,0,33.513,module=1.125;noise=36;sym-DATA_BAR;modpx-1.12;img-impossible
sw_module-1.125_noise-40_1,2stage,1,1,1,0,0,43.547,module=1.125;noise=40;sym-DATA_BAR;modpx-1.12;img-impossible
sw_module-1.25_noise-0_1,2stage,1,1,1,0,0,6.747,module=1.25;noise=0;sym-DATA_BAR;modpx-1.25;img-impossible
sw_module-1.25_noise-4_1,2stage,1,1,1,0,0,9.129,module=1.25;noise=4;sym-DATA_BAR;modpx-1.25;img-impossible
sw_module-1.25_noise-8_1,2stage,1,1,1,0,0,23.673,module=1.25;noise=8;sym-DATA_BAR;modpx-1.25;img-impossible
