file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_noise-0_1,2stage,1,0,0,0,0,186.538,module=1;noise=0;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_module-1_noise-4_1,2stage,1,0,0,0,0,277.026,module=1;noise=4;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_module-1_noise-8_1,2stage,1,0,0,0,0,243.448,module=1;noise=8;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_module-1_noise-12_1,2stage,1,0,0,0,0,64.512,module=1;noise=12;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_module-1_noise-16_1,2stage,1,0,0,0,0,58.901,module=1;noise=16;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_module-1_noise-20_1,2stage,1,0,0,0,0,166.474,module=1;noise=20;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_module-1_noise-24_1,2stage,1,0,0,0,0,182.835,module=1;noise=24;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_module-1_noise-28_1,2stage,1,0,0,0,0,270.149,module=1;noise=28;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_module-1_noise-32_1,2stage,1,0,0,0,0,242.237,module=1;noise=32;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_module-1_noise-36_1,2stage,1,0,0,0,0,194.021,module=1;noise=36;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_module-1_noise-40_1,2stage,1,0,0,0,0,234.553,module=1;noise=40;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_module-1.125_noise-0_1,2stage,1,0,0,0,0,90.269,module=1.125;noise=0;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_module-1.125_noise-4_1,2stage,1,0,0,0,0,249.077,module=1.125;noise=4;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_module-1.125_noise-8_1,2stage,1,0,0,0,0,240.268,module=1.125;noise=8;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_module-1.125_noise-12_1,2stage,1,0,0,0,0,64.307,module=1.125;noise=12;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_module-1.125_noise-16_1,2stage,1,0,0,0,0,70.150,module=1.125;noise=16;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_module-1.125_noise-20_1,2stage,1,0,0,0,0,261.423,module=1.125;noise=20;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_module-1.125_noise-24_1,2stage,1,0,0,0,0,226.614,module=1.125;noise=24;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_module-1.125_noise-28_1,2stage,1,0,0,0,0,183.163,module=1.125;noise=28;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_module-1.125_noise-32_1,2stage,1,0,0,0,0,184.930,module=1.125;noise=32;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_module-1.125_noise-36_1,2stage,1,0,0,0,0,193.572,module=1.125;noise=36;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_module-1.125_noise-40_1,2stage,1,0,0,0,0,253.609,module=1.125;noise=40;sym-DATA_MATRIX;modpx-1.12;img-impossible
sw_module-1.25_noise-0_1,2stage,1,0,0,0,0,90.440,module=1.25;noise=0;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_module-1.25_noise-4_1,2stage,1,0,0,0,0,330.062,module=1.25;noise=4;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_module-1.25_noise-8_1,2stage,1,0,0,0,0,342.566,module=1.25;noise=8;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_module-1.25_noise-12_1,2stage,1,0,0,0,0,61.006,module=1.25;noise=12;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_module-1.25_noise-16_1,2stage,1,0,0,0,0,58.889,module=1.25;noise=16;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_module-1.25_noise-20_1,2stage,1,0,0,0,0,150.140,module=1.25;noise=20;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_module-1.25_noise-24_1,2stage,1,0,0,0,0,171.933,module=1.25;noise=24;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_module-1.25_noise-28_1,2stage,1,0,0,0,0,173.679,module=1.25;noise=28;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_module-1.25_noise-32_1,2stage,1,0,0,0,0,170.886,module=1.25;noise=32;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_module-1.25_noise-36_1,2stage,1,0,0,0,0,386.065,module=1.25;noise=36;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_module-1.25_noise-40_1,2stage,1,0,0,0,0,302.264,module=1.25;noise=40;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_module-1.375_noise-0_1,2stage,1,0,0,0,0,87.242,module=1.375;noise=0;sym-DATA_MATRIX;modpx-1.38;img-borderline
sw_module-1.375_noise-4_1,2stage,1,0,0,0,0,244.685,module=1.375;noise=4;sym-DATA_MATRIX;modpx-1.38;img-borderline
sw_module-1.375_noise-8_1,2stage,1,0,0,0,0,282.394,module=1.375;noise=8;sym-DATA_MATRIX;modpx-1.38;img-borderline
sw_module-1.375_noise-12_1,2stage,1,0,0,0,0,64.574,module=1.375;noise=12;sym-DATA_MATRIX;modpx-1.38;img-borderline
sw_module-1.375_noise-16_1,2stage,1,0,0,0,0,54.923,module=1.375;noise=16;sym-DATA_MATRIX;modpx-1.38;img-borderline
sw_module-1.375_noise-20_1,2stage,1,0,0,0,0,149.921,module=1.375;noise=20;sym-DATA_MATRIX;modpx-1.38;img-borderline
sw_module-1.375_noise-24_1,2stage,1,0,0,0,0,209.863,module=1.375;noise=24;sym-DATA_MATRIX;modpx-1.38;img-borderline
