file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_noise-0_1,2stage,1,1,1,0,0,8.404,module=1;noise=0;sym-EAN_13;modpx-1.00;img-impossible
sw_module-1_noise-4_1,2stage,1,1,1,0,0,4.408,module=1;noise=4;sym-EAN_13;modpx-1.00;img-impossible
sw_module-1_noise-8_1,2stage,1,1,1,0,0,7.873,module=1;noise=8;sym-EAN_13;modpx-1.00;img-impossible
sw_module-1_noise-12_1,2stage,1,0,0,0,0,126.073,module=1;noise=12;sym-EAN_13;modpx-1.00;img-impossible
sw_module-1_noise-16_1,2stage,1,0,0,0,0,77.497,module=1;noise=16;sym-EAN_13;modpx-1.00;img-impossible
sw_module-1_noise-20_1,2stage,1,0,0,0,0,212.063,module=1;noise=20;sym-EAN_13;modpx-1.00;img-impossible
sw_module-1_noise-24_1,2stage,1,0,0,0,0,194.605,module=1;noise=24;sym-EAN_13;modpx-1.00;img-impossible
sw_module-1_noise-28_1,2stage,1,0,0,0,0,345.282,module=1;noise=28;sym-EAN_13;modpx-1.00;img-impossible
sw_module-1_noise-32_1,2stage,1,0,0,0,0,309.643,module=1;noise=32;sym-EAN_13;modpx-1.00;img-impossible
sw_module-1_noise-36_1,2stage,1,0,0,0,0,226.559,module=1;noise=36;sym-EAN_13;modpx-1.00;img-impossible
sw_module-1_noise-40_1,2stage,1,0,0,0,0,226.058,module=1;noise=40;sym-EAN_13;modpx-1.00;img-impossible
sw_module-1.125_noise-0_1,2stage,1,0,0,0,0,89.301,module=1.125;noise=0;sym-EAN_13;modpx-1.12;img-impossible
sw_module-1.125_noise-4_1,2stage,1,0,0,0,0,264.619,module=1.125;noise=4;sym-EAN_13;modpx-1.12;img-impossible
sw_module-1.125_noise-8_1,2stage,1,0,0,0,0,271.883,module=1.125;noise=8;sym-EAN_13;modpx-1.12;img-impossible
sw_module-1.125_noise-12_1,2stage,1,0,0,0,0,64.569,module=1.125;noise=12;sym-EAN_13;modpx-1.12;img-impossible
sw_module-1.125_noise-16_1,2stage,1,0,0,0,0,68.327,module=1.125;noise=16;sym-EAN_13;modpx-1.12;img-impossible
sw_module-1.125_noise-20_1,2stage,1,0,0,0,0,303.620,module=1.125;noise=20;sym-EAN_13;modpx-1.12;img-impossible
sw_module-1.125_noise-24_1,2stage,1,0,0,0,0,190.528,module=1.125;noise=24;sym-EAN_13;modpx-1.12;img-impossible
sw_module-1.125_noise-28_1,2stage,1,0,0,0,0,180.738,module=1.125;noise=28;sym-EAN_13;modpx-1.12;img-impossible
sw_module-1.125_noise-32_1,2stage,1,0,0,0,0,189.207,module=1.125;noise=32;sym-EAN_13;modpx-1.12;img-impossible
sw_module-1.125_noise-36_1,2stage,1,0,0,0,0,228.936,module=1.125;noise=36;sym-EAN_13;modpx-1.12;img-impossible
sw_module-1.125_noise-40_1,2stage,1,0,0,0,0,261.630,module=1.125;noise=40;sym-EAN_13;modpx-1.12;img-impossible
sw_module-1.25_noise-0_1,2stage,1,0,0,0,0,79.297,module=1.25;noise=0;sym-EAN_13;modpx-1.25;img-impossible
sw_module-1.25_noise-4_1,2stage,1,0,0,0,0,421.229,module=1.25;noise=4;sym-EAN_13;modpx-1.25;img-impossible
sw_module-1.25_noise-8_1,2stage,1,0,0,0,0,341.509,module=1.25;noise=8;sym-EAN_13;modpx-1.25;img-impossible
sw_module-1.25_noise-12_1,2stage,1,0,0,0,0,75.361,module=1.25;noise=12;sym-EAN_13;modpx-1.25;img-impossible
sw_module-1.25_noise-16_1,2stage,1,0,0,0,0,63.874,module=1.25;noise=16;sym-EAN_13;modpx-1.25;img-impossible
sw_module-1.25_noise-20_1,2stage,1,0,0,0,0,182.014,module=1.25;noise=20;sym-EAN_13;modpx-1.25;img-impossible
sw_module-1.25_noise-24_1,2stage,1,0,0,0,0,190.732,module=1.25;noise=24;sym-EAN_13;modpx-1.25;img-impossible
sw_module-1.25_noise-28_1,2stage,1,0,0,0,0,176.265,module=1.25;noise=28;sym-EAN_13;modpx-1.25;img-impossible
sw_module-1.25_noise-32_1,2stage,1,0,0,0,0,181.048,module=1.25;noise=32;sym-EAN_13;modpx-1.25;img-impossible
sw_module-1.25_noise-36_1,2stage,1,0,0,0,0,367.290,module=1.25;noise=36;sym-EAN_13;modpx-1.25;img-impossible
sw_module-1.25_noise-40_1,2stage,1,0,0,0,0,323.813,module=1.25;noise=40;sym-EAN_13;modpx-1.25;img-impossible
sw_module-1.375_noise-0_1,2stage,1,1,1,0,0,5.975,module=1.375;noise=0;sym-EAN_13;modpx-1.38;img-borderline
sw_module-1.375_noise-4_1,2stage,1,1,1,0,0,9.336,module=1.375;noise=4;sym-EAN_13;modpx-1.38;img-borderline
sw_module-1.375_noise-8_1,2stage,1,1,1,0,0,3.933,module=1.375;noise=8;sym-EAN_13;modpx-1.38;img-borderline
sw_module-1.375_noise-12_1,2stage,1,0,0,0,0,76.638,module=1.375;noise=12;sym-EAN_13;modpx-1.38;img-borderline
sw_module-1.375_noise-16_1,2stage,1,0,0,0,0,58.968,module=1.375;noise=16;sym-EAN_13;modpx-1.38;img-borderline
sw_module-1.375_noise-20_1,2stage,1,0,0,0,0,159.199,module=1.375;noise=20;sym-EAN_13;modpx-1.38;img-borderline
sw_module-1.375_noise-24_1,2stage,1,0,0,0,0,298.605,module=1.375;noise=24;sym-EAN_13;modpx-1.38;img-borderline
sw_module-1.375_noise-28_1,2stage,1,0,0,0,0,300.946,module=1.375;noise=28;sym-EAN_13;modpx-1.38;img-borderline
sw_module-1.375_noise-32_1,2stage,1,0,0,0,0,189.776,module=1.375;noise=32;sym-EAN_13;modpx-1.38;img-borderline
sw_module-1.375_noise-36_1,2stage,1,0,0,0,0,205.375,module=1.375;noise=36;sym-EAN_13;modpx-1.38;img-borderline
sw_module-1.375_noise-40_1,2stage,1,0,0,0,0,233.370,module=1.375;noise=40;sym-EAN_13;modpx-1.38;img-borderline
sw_module-1.5_noise-0_1,2stage,1,1,1,0,0,6.417,module=1.5;noise=0;sym-EAN_13;modpx-1.50;img-borderline
sw_module-1.5_noise-4_1,2stage,1,1,1,0,0,9.490,module=1.5;noise=4;sym-EAN_13;modpx-1.50;img-borderline
sw_module-1.5_noise-8_1,2stage,1,1,1,0,0,4.134,module=1.5;noise=8;sym-EAN_13;modpx-1.50;img-borderline
sw_module-1.5_noise-12_1,2stage,1,0,0,0,0,139.482,module=1.5;noise=12;sym-EAN_13;modpx-1.50;img-borderline
sw_module-1.5_noise-16_1,2stage,1,0,0,0,0,111.479,module=1.5;noise=16;sym-EAN_13;modpx-1.50;img-borderline
sw_module-1.5_noise-20_1,2stage,1,0,0,0,0,286.658,module=1.5;noise=20;sym-EAN_13;modpx-1.50;img-borderline
sw_module-1.5_noise-24_1,2stage,1,0,0,0,0,192.764,module=1.5;noise=24;sym-EAN_13;modpx-1.50;img-borderline
sw_module-1.5_noise-28_1,2stage,1,0,0,0,0,170.282,module=1.5;noise=28;sym-EAN_13;modpx-1.50;img-borderline
sw_module-1.5_noise-32_1,2stage,1,0,0,0,0,182.452,module=1.5;noise=32;sym-EAN_13;modpx-1.50;img-borderline
sw_module-1.5_noise-36_1,2stage,1,0,0,0,0,206.350,module=1.5;noise=36;sym-EAN_13;modpx-1.50;img-borderline
sw_module-1.5_noise-40_1,2stage,1,0,0,0,0,227.274,module=1.5;noise=40;sym-EAN_13;modpx-1.50;img-borderline
sw_module-1.625_noise-0_1,2stage,1,1,1,0,0,7.471,module=1.625;noise=0;sym-EAN_13;modpx-1.62;img-borderline
sw_module-1.625_noise-4_1,2stage,1,1,1,0,0,11.854,module=1.625;noise=4;sym-EAN_13;modpx-1.62;img-borderline
sw_module-1.625_noise-8_1,2stage,1,1,1,0,0,39.590,module=1.625;noise=8;sym-EAN_13;modpx-1.62;img-borderline
sw_module-1.625_noise-12_1,2stage,1,1,1,0,0,100.178,module=1.625;noise=12;sym-EAN_13;modpx-1.62;img-borderline
sw_module-1.625_noise-16_1,2stage,1,1,1,0,0,37.671,module=1.625;noise=16;sym-EAN_13;modpx-1.62;img-borderline
sw_module-1.625_noise-20_1,2stage,1,0,0,0,0,164.379,module=1.625;noise=20;sym-EAN_13;modpx-1.62;img-borderline
sw_module-1.625_noise-24_1,2stage,1,0,0,0,0,171.976,module=1.625;noise=24;sym-EAN_13;modpx-1.62;img-borderline
sw_module-1.625_noise-28_1,2stage,1,0,0,0,0,204.276,module=1.625;noise=28;sym-EAN_13;modpx-1.62;img-borderline
sw_module-1.625_noise-32_1,2stage,1,0,0,0,0,315.893,module=1.625;noise=32;sym-EAN_13;modpx-1.62;img-borderline
sw_module-1.625_noise-36_1,2stage,1,0,0,0,0,304.175,module=1.625;noise=36;sym-EAN_13;modpx-1.62;img-borderline
sw_module-1.625_noise-40_1,2stage,1,0,0,0,0,270.032,module=1.625;noise=40;sym-EAN_13;modpx-1.62;img-borderline
sw_module-1.75_noise-0_1,2stage,1,1,1,0,0,6.494,module=1.75;noise=0;sym-EAN_13;modpx-1.75;img-borderline
sw_module-1.75_noise-4_1,2stage,1,1,1,0,0,10.387,module=1.75;noise=4;sym-EAN_13;modpx-1.75;img-borderline
sw_module-1.75_noise-8_1,2stage,1,1,1,0,0,9.205,module=1.75;noise=8;sym-EAN_13;modpx-1.75;img-borderline
sw_module-1.75_noise-12_1,2stage,1,1,1,0,0,247.305,module=1.75;noise=12;sym-EAN_13;modpx-1.75;img-borderline
sw_module-1.75_noise-16_1,2stage,1,1,1,0,0,18.226,module=1.75;noise=16;sym-EAN_13;modpx-1.75;img-borderline
sw_module-1.75_noise-20_1,2stage,1,1,1,0,0,131.881,module=1.75;noise=20;sym-EAN_13;modpx-1.75;img-borderline
sw_module-1.75_noise-24_1,2stage,1,0,0,0,0,271.134,module=1.75;noise=24;sym-EAN_13;modpx-1.75;img-borderline
sw_module-1.75_noise-28_1,2stage,1,1,1,0,0,119.017,module=1.75;noise=28;sym-EAN_13;modpx-1.75;img-borderline
sw_module-1.75_noise-32_1,2stage,1,0,0,0,0,198.516,module=1.75;noise=32;sym-EAN_13;modpx-1.75;img-borderline
sw_module-1.75_noise-36_1,2stage,1,0,0,0,0,222.220,module=1.75;noise=36;sym-EAN_13;modpx-1.75;img-borderline
sw_module-1.75_noise-40_1,2stage,1,1,1,0,0,147.508,module=1.75;noise=40;sym-EAN_13;modpx-1.75;img-borderline
sw_module-1.875_noise-0_1,2stage,1,1,1,0,0,6.621,module=1.875;noise=0;sym-EAN_13;modpx-1.88;img-borderline
sw_module-1.875_noise-4_1,2stage,1,1,1,0,0,9.522,module=1.875;noise=4;sym-EAN_13;modpx-1.88;img-borderline
sw_module-1.875_noise-8_1,2stage,1,1,1,0,0,10.238,module=1.875;noise=8;sym-EAN_13;modpx-1.88;img-borderline
sw_module-1.875_noise-12_1,2stage,1,1,1,0,0,19.297,module=1.875;noise=12;sym-EAN_13;modpx-1.88;img-borderline
sw_module-1.875_noise-16_1,2stage,1,1,1,0,0,13.345,module=1.875;noise=16;sym-EAN_13;modpx-1.88;img-borderline
sw_module-1.875_noise-20_1,2stage,1,1,1,0,0,16.069,module=1.875;noise=20;sym-EAN_13;modpx-1.88;img-borderline
sw_module-1.875_noise-24_1,2stage,1,1,1,0,0,55.652,module=1.875;noise=24;sym-EAN_13;modpx-1.88;img-borderline
sw_module-1.875_noise-28_1,2stage,1,1,1,0,0,38.639,module=1.875;noise=28;sym-EAN_13;modpx-1.88;img-borderline
sw_module-1.875_noise-32_1,2stage,1,1,1,0,0,33.531,module=1.875;noise=32;sym-EAN_13;modpx-1.88;img-borderline
sw_module-1.875_noise-36_1,2stage,1,1,1,0,0,12.487,module=1.875;noise=36;sym-EAN_13;modpx-1.88;img-borderline
sw_module-1.875_noise-40_1,2stage,1,1,1,0,0,57.883,module=1.875;noise=40;sym-EAN_13;modpx-1.88;img-borderline
sw_module-2_noise-0_1,2stage,1,1,1,0,0,12.048,module=2;noise=0;sym-EAN_13;modpx-2.00;img-ok
sw_module-2_noise-4_1,2stage,1,1,1,0,0,16.669,module=2;noise=4;sym-EAN_13;modpx-2.00;img-ok
sw_module-2_noise-8_1,2stage,1,1,1,0,0,18.778,module=2;noise=8;sym-EAN_13;modpx-2.00;img-ok
sw_module-2_noise-12_1,2stage,1,1,1,0,0,19.525,module=2;noise=12;sym-EAN_13;modpx-2.00;img-ok
sw_module-2_noise-16_1,2stage,1,1,1,0,0,15.794,module=2;noise=16;sym-EAN_13;modpx-2.00;img-ok
sw_module-2_noise-20_1,2stage,1,1,1,0,0,7.709,module=2;noise=20;sym-EAN_13;modpx-2.00;img-ok
sw_module-2_noise-24_1,2stage,1,1,1,0,0,8.378,module=2;noise=24;sym-EAN_13;modpx-2.00;img-ok
sw_module-2_noise-28_1,2stage,1,1,1,0,0,8.849,module=2;noise=28;sym-EAN_13;modpx-2.00;img-ok
sw_module-2_noise-32_1,2stage,1,1,1,0,0,16.733,module=2;noise=32;sym-EAN_13;modpx-2.00;img-ok
sw_module-2_noise-36_1,2stage,1,1,1,0,0,15.883,module=2;noise=36;sym-EAN_13;modpx-2.00;img-ok
sw_module-2_noise-40_1,2stage,1,1,1,0,0,15.615,module=2;noise=40;sym-EAN_13;modpx-2.00;img-ok
sw_module-2.125_noise-0_1,2stage,1,1,1,0,0,11.490,module=2.125;noise=0;sym-EAN_13;modpx-2.12;img-ok
sw_module-2.125_noise-4_1,2stage,1,1,1,0,0,10.340,module=2.125;noise=4;sym-EAN_13;modpx-2.12;img-ok
sw_module-2.125_noise-8_1,2stage,1,1,1,0,0,9.945,module=2.125;noise=8;sym-EAN_13;modpx-2.12;img-ok
sw_module-2.125_noise-12_1,2stage,1,1,1,0,0,11.101,module=2.125;noise=12;sym-EAN_13;modpx-2.12;img-ok
sw_module-2.125_noise-16_1,2stage,1,1,1,0,0,22.058,module=2.125;noise=16;sym-EAN_13;modpx-2.12;img-ok
sw_module-2.125_noise-20_1,2stage,1,1,1,0,0,66.044,module=2.125;noise=20;sym-EAN_13;modpx-2.12;img-ok
sw_module-2.125_noise-24_1,2stage,1,1,1,0,0,59.014,module=2.125;noise=24;sym-EAN_13;modpx-2.12;img-ok
sw_module-2.125_noise-28_1,2stage,1,1,1,0,0,38.941,module=2.125;noise=28;sym-EAN_13;modpx-2.12;img-ok
sw_module-2.125_noise-32_1,2stage,1,1,1,0,0,31.607,module=2.125;noise=32;sym-EAN_13;modpx-2.12;img-ok
sw_module-2.125_noise-36_1,2stage,1,1,1,0,0,36.155,module=2.125;noise=36;sym-EAN_13;modpx-2.12;img-ok
sw_module-2.125_noise-40_1,2stage,1,1,1,0,0,39.440,module=2.125;noise=40;sym-EAN_13;modpx-2.12;img-ok
sw_module-2.25_noise-0_1,2stage,1,1,1,0,0,6.658,module=2.25;noise=0;sym-EAN_13;modpx-2.25;img-ok
sw_module-2.25_noise-4_1,2stage,1,1,1,0,0,22.048,module=2.25;noise=4;sym-EAN_13;modpx-2.25;img-ok
sw_module-2.25_noise-8_1,2stage,1,1,1,0,0,19.666,module=2.25;noise=8;sym-EAN_13;modpx-2.25;img-ok
sw_module-2.25_noise-12_1,2stage,1,1,1,0,0,11.426,module=2.25;noise=12;sym-EAN_13;modpx-2.25;img-ok
sw_module-2.25_noise-16_1,2stage,1,1,1,0,0,10.266,module=2.25;noise=16;sym-EAN_13;modpx-2.25;img-ok
sw_module-2.25_noise-20_1,2stage,1,1,1,0,0,9.323,module=2.25;noise=20;sym-EAN_13;modpx-2.25;img-ok
sw_module-2.25_noise-24_1,2stage,1,1,1,0,0,17.369,module=2.25;noise=24;sym-EAN_13;modpx-2.25;img-ok
sw_module-2.25_noise-28_1,2stage,1,1,1,0,0,7.834,module=2.25;noise=28;sym-EAN_13;modpx-2.25;img-ok
sw_module-2.25_noise-32_1,2stage,1,1,1,0,0,8.735,module=2.25;noise=32;sym-EAN_13;modpx-2.25;img-ok
sw_module-2.25_noise-36_1,2stage,1,1,1,0,0,8.307,module=2.25;noise=36;sym-EAN_13;modpx-2.25;img-ok
sw_module-2.25_noise-40_1,2stage,1,1,1,0,0,13.163,module=2.25;noise=40;sym-EAN_13;modpx-2.25;img-ok
