file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_noise-0_1,2stage,1,1,1,0,0,11.635,module=1;noise=0;sym-ITF;modpx-1.00;img-impossible
sw_module-1_noise-4_1,2stage,1,1,1,0,0,7.014,module=1;noise=4;sym-ITF;modpx-1.00;img-impossible
sw_module-1_noise-8_1,2stage,1,1,1,0,0,23.529,module=1;noise=8;sym-ITF;modpx-1.00;img-impossible
sw_module-1_noise-12_1,2stage,1,1,1,0,0,28.357,module=1;noise=12;sym-ITF;modpx-1.00;img-impossible
sw_module-1_noise-16_1,2stage,1,1,1,0,0,11.929,module=1;noise=16;sym-ITF;modpx-1.00;img-impossible
sw_module-1_noise-20_1,2stage,1,1,1,0,0,8.534,module=1;noise=20;sym-ITF;modpx-1.00;img-impossible
sw_module-1_noise-24_1,2stage,1,1,1,0,0,8.915,module=1;noise=24;sym-ITF;modpx-1.00;img-impossible
sw_module-1_noise-28_1,2stage,1,1,1,0,0,9.313,module=1;noise=28;sym-ITF;modpx-1.00;img-impossible
sw_module-1_noise-32_1,2stage,1,1,1,0,0,17.914,module=1;noise=32;sym-ITF;modpx-1.00;img-impossible
sw_module-1_noise-36_1,2stage,1,1,1,0,0,19.528,module=1;noise=36;sym-ITF;modpx-1.00;img-impossible
sw_module-1_noise-40_1,2stage,1,1,1,0,0,12.003,module=1;noise=40;sym-ITF;modpx-1.00;img-impossible
sw_module-1.125_noise-0_1,2stage,1,1,1,0,0,9.325,module=1.125;noise=0;sym-ITF;modpx-1.12;img-impossible
sw_module-1.125_noise-4_1,2stage,1,1,1,0,0,8.262,module=1.125;noise=4;sym-ITF;modpx-1.12;img-impossible
sw_module-1.125_noise-8_1,2stage,1,1,1,0,0,9.994,module=1.125;noise=8;sym-ITF;modpx-1.12;img-impossible
sw_module-1.125_noise-12_1,2stage,1,1,1,0,0,12.269,module=1.125;noise=12;sym-ITF;modpx-1.12;img-impossible
sw_module-1.125_noise-16_1,2stage,1,1,1,0,0,8.646,module=1.125;noise=16;sym-ITF;modpx-1.12;img-impossible
sw_module-1.125_noise-20_1,2stage,1,1,1,0,0,9.140,module=1.125;noise=20;sym-ITF;modpx-1.12;img-impossible
sw_module-1.125_noise-24_1,2stage,1,1,1,0,0,16.210,module=1.125;noise=24;sym-ITF;modpx-1.12;img-impossible
sw_module-1.125_noise-28_1,2stage,1,1,1,0,0,16.888,module=1.125;noise=28;sym-ITF;modpx-1.12;img-impossible
sw_module-1.125_noise-32_1,2stage,1,1,1,0,0,19.743,module=1.125;noise=32;sym-ITF;modpx-1.12;img-impossible
sw_module-1.125_noise-36_1,2stage,1,1,1,0,0,9.528,module=1.125;noise=36;sym-ITF;modpx-1.12;img-impossible
sw_module-1.125_noise-40_1,2stage,1,1,1,0,0,8.629,module=1.125;noise=40;sym-ITF;modpx-1.12;img-impossible
sw_module-1.25_noise-0_1,2stage,1,1,1,0,0,6.612,module=1.25;noise=0;sym-ITF;modpx-1.25;img-impossible
sw_module-1.25_noise-4_1,2stage,1,1,1,0,0,9.780,module=1.25;noise=4;sym-ITF;modpx-1.25;img-impossible
sw_module-1.25_noise-8_1,2stage,1,1,1,0,0,14.090,module=1.25;noise=8;sym-ITF;modpx-1.25;img-impossible
sw_module-1.25_noise-12_1,2stage,1,1,1,0,0,18.149,module=1.25;noise=12;sym-ITF;modpx-1.25;img-impossible
sw_module-1.25_noise-16_1,2stage,1,1,1,0,0,12.654,module=1.25;noise=16;sym-ITF;modpx-1.25;img-impossible
