file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_noise-0_1,2stage,1,0,0,0,0,262.391,module=1;noise=0;sym-PDF417;modpx-1.00;img-impossible
sw_module-1_noise-4_1,2stage,1,0,0,0,0,270.073,module=1;noise=4;sym-PDF417;modpx-1.00;img-impossible
sw_module-1_noise-8_1,2stage,1,0,0,0,0,264.317,module=1;noise=8;sym-PDF417;modpx-1.00;img-impossible
sw_module-1_noise-12_1,2stage,1,0,0,0,0,69.611,module=1;noise=12;sym-PDF417;modpx-1.00;img-impossible
sw_module-1_noise-16_1,2stage,1,0,0,0,0,61.854,module=1;noise=16;sym-PDF417;modpx-1.00;img-impossible
sw_module-1_noise-20_1,2stage,1,0,0,0,0,161.728,module=1;noise=20;sym-PDF417;modpx-1.00;img-impossible
sw_module-1_noise-24_1,2stage,1,0,0,0,0,180.985,module=1;noise=24;sym-PDF417;modpx-1.00;img-impossible
sw_module-1_noise-28_1,2stage,1,0,0,0,0,231.150,module=1;noise=28;sym-PDF417;modpx-1.00;img-impossible
sw_module-1_noise-32_1,2stage,1,0,0,0,0,295.098,module=1;noise=32;sym-PDF417;modpx-1.00;img-impossible
sw_module-1_noise-36_1,2stage,1,0,0,0,0,209.145,module=1;noise=36;sym-PDF417;modpx-1.00;img-impossible
sw_module-1_noise-40_1,2stage,1,0,0,0,0,230.452,module=1;noise=40;sym-PDF417;modpx-1.00;img-impossible
sw_module-1.125_noise-0_1,2stage,1,0,0,0,0,176.011,module=1.125;noise=0;sym-PDF417;modpx-1.12;img-impossible
sw_module-1.125_noise-4_1,2stage,1,0,0,0,0,269.778,module=1.125;noise=4;sym-PDF417;modpx-1.12;img-impossible
sw_module-1.125_noise-8_1,2stage,1,0,0,0,0,262.062,module=1.125;noise=8;sym-PDF417;modpx-1.12;img-impossible
sw_module-1.125_noise-12_1,2stage,1,0,0,0,0,71.409,module=1.125;noise=12;sym-PDF417;modpx-1.12;img-impossible
sw_module-1.125_noise-16_1,2stage,1,0,0,0,0,118.238,module=1.125;noise=16;sym-PDF417;modpx-1.12;img-impossible
sw_module-1.125_noise-20_1,2stage,1,0,0,0,0,282.622,module=1.125;noise=20;sym-PDF417;modpx-1.12;img-impossible
sw_module-1.125_noise-24_1,2stage,1,0,0,0,0,193.467,module=1.125;noise=24;sym-PDF417;modpx-1.12;img-impossible
sw_module-1.125_noise-28_1,2stage,1,0,0,0,0,207.710,module=1.125;noise=28;sym-PDF417;modpx-1.12;img-impossible
sw_module-1.125_noise-32_1,2stage,1,0,0,0,0,175.501,module=1.125;noise=32;sym-PDF417;modpx-1.12;img-impossible
sw_module-1.125_noise-36_1,2stage,1,0,0,0,0,204.586,module=1.125;noise=36;sym-PDF417;modpx-1.12;img-impossible
sw_module-1.125_noise-40_1,2stage,1,0,0,0,0,250.737,module=1.125;noise=40;sym-PDF417;modpx-1.12;img-impossible
sw_module-1.25_noise-0_1,2stage,1,0,0,0,0,109.693,module=1.25;noise=0;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.25_noise-4_1,2stage,1,0,0,0,0,385.554,module=1.25;noise=4;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.25_noise-8_1,2stage,1,0,0,0,0,322.385,module=1.25;noise=8;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.25_noise-12_1,2stage,1,0,0,0,0,67.539,module=1.25;noise=12;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.25_noise-16_1,2stage,1,0,0,0,0,62.827,module=1.25;noise=16;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.25_noise-20_1,2stage,1,0,0,0,0,157.977,module=1.25;noise=20;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.25_noise-24_1,2stage,1,0,0,0,0,173.340,module=1.25;noise=24;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.25_noise-28_1,2stage,1,0,0,0,0,174.091,module=1.25;noise=28;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.25_noise-32_1,2stage,1,0,0,0,0,184.325,module=1.25;noise=32;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.25_noise-36_1,2stage,1,0,0,0,0,393.796,module=1.25;noise=36;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.25_noise-40_1,2stage,1,0,0,0,0,351.949,module=1.25;noise=40;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.375_noise-0_1,2stage,1,1,1,0,0,7.537,module=1.375;noise=0;sym-PDF417;modpx-1.38;img-borderline
sw_module-1.375_noise-4_1,2stage,1,0,0,0,0,264.741,module=1.375;noise=4;sym-PDF417;modpx-1.38;img-borderline
sw_module-1.375_noise-8_1,2stage,1,0,0,0,0,263.134,module=1.375;noise=8;sym-PDF417;modpx-1.38;img-borderline
sw_module-1.375_noise-12_1,2stage,1,0,0,0,0,63.205,module=1.375;noise=12;sym-PDF417;modpx-1.38;img-borderline
sw_module-1.375_noise-16_1,2stage,1,0,0,0,0,56.621,module=1.375;noise=16;sym-PDF417;modpx-1.38;img-borderline
sw_module-1.375_noise-20_1,2stage,1,0,0,0,0,161.762,module=1.375;noise=20;sym-PDF417;modpx-1.38;img-borderline
sw_module-1.375_noise-24_1,2stage,1,0,0,0,0,253.987,module=1.375;noise=24;sym-PDF417;modpx-1.38;img-borderline
sw_module-1.375_noise-28_1,2stage,1,0,0,0,0,337.984,module=1.375;noise=28;sym-PDF417;modpx-1.38;img-borderline
sw_module-1.375_noise-32_1,2stage,1,0,0,0,0,184.538,module=1.375;noise=32;sym-PDF417;modpx-1.38;img-borderline
sw_module-1.375_noise-36_1,2stage,1,0,0,0,0,206.522,module=1.375;noise=36;sym-PDF417;modpx-1.38;img-borderline
sw_module-1.375_noise-40_1,2stage,1,0,0,0,0,283.463,module=1.375;noise=40;sym-PDF417;modpx-1.38;img-borderline
sw_module-1.5_noise-0_1,2stage,1,1,1,0,0,7.182,module=1.5;noise=0;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.5_noise-4_1,2stage,1,0,0,0,0,263.616,module=1.5;noise=4;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.5_noise-8_1,2stage,1,0,0,0,0,254.508,module=1.5;noise=8;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.5_noise-12_1,2stage,1,0,0,0,0,101.811,module=1.5;noise=12;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.5_noise-16_1,2stage,1,0,0,0,0,118.778,module=1.5;noise=16;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.5_noise-20_1,2stage,1,0,0,0,0,193.977,module=1.5;noise=20;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.5_noise-24_1,2stage,1,0,0,0,0,168.405,module=1.5;noise=24;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.5_noise-28_1,2stage,1,0,0,0,0,183.141,module=1.5;noise=28;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.5_noise-32_1,2stage,1,0,0,0,0,215.387,module=1.5;noise=32;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.5_noise-36_1,2stage,1,0,0,0,0,201.822,module=1.5;noise=36;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.5_noise-40_1,2stage,1,0,0,0,0,230.478,module=1.5;noise=40;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.625_noise-0_1,2stage,1,1,1,0,0,6.764,module=1.625;noise=0;sym-PDF417;modpx-1.62;img-borderline
sw_module-1.625_noise-4_1,2stage,1,0,0,0,0,401.833,module=1.625;noise=4;sym-PDF417;modpx-1.62;img-borderline
sw_module-1.625_noise-8_1,2stage,1,0,0,0,0,237.155,module=1.625;noise=8;sym-PDF417;modpx-1.62;img-borderline
sw_module-1.625_noise-12_1,2stage,1,0,0,0,0,65.627,module=1.625;noise=12;sym-PDF417;modpx-1.62;img-borderline
sw_module-1.625_noise-16_1,2stage,1,0,0,0,0,58.100,module=1.625;noise=16;sym-PDF417;modpx-1.62;img-borderline
sw_module-1.625_noise-20_1,2stage,1,0,0,0,0,159.661,module=1.625;noise=20;sym-PDF417;modpx-1.62;img-borderline
sw_module-1.625_noise-24_1,2stage,1,0,0,0,0,176.019,module=1.625;noise=24;sym-PDF417;modpx-1.62;img-borderline
sw_module-1.625_noise-28_1,2stage,1,0,0,0,0,197.862,module=1.625;noise=28;sym-PDF417;modpx-1.62;img-borderline
sw_module-1.625_noise-32_1,2stage,1,0,0,0,0,214.196,module=1.625;noise=32;sym-PDF417;modpx-1.62;img-borderline
sw_module-1.625_noise-36_1,2stage,1,0,0,0,0,291.814,module=1.625;noise=36;sym-PDF417;modpx-1.62;img-borderline
sw_module-1.625_noise-40_1,2stage,1,0,0,0,0,235.945,module=1.625;noise=40;sym-PDF417;modpx-1.62;img-borderline
sw_module-1.75_noise-0_1,2stage,1,1,1,0,0,5.852,module=1.75;noise=0;sym-PDF417;modpx-1.75;img-borderline
sw_module-1.75_noise-4_1,2stage,1,0,0,0,0,236.840,module=1.75;noise=4;sym-PDF417;modpx-1.75;img-borderline
sw_module-1.75_noise-8_1,2stage,1,1,1,0,0,8.844,module=1.75;noise=8;sym-PDF417;modpx-1.75;img-borderline
sw_module-1.75_noise-12_1,2stage,1,0,0,0,0,66.375,module=1.75;noise=12;sym-PDF417;modpx-1.75;img-borderline
sw_module-1.75_noise-16_1,2stage,1,0,0,0,0,64.678,module=1.75;noise=16;sym-PDF417;modpx-1.75;img-borderline
sw_module-1.75_noise-20_1,2stage,1,0,0,0,0,259.424,module=1.75;noise=20;sym-PDF417;modpx-1.75;img-borderline
sw_module-1.75_noise-24_1,2stage,1,0,0,0,0,216.876,module=1.75;noise=24;sym-PDF417;modpx-1.75;img-borderline
sw_module-1.75_noise-28_1,2stage,1,0,0,0,0,204.535,module=1.75;noise=28;sym-PDF417;modpx-1.75;img-borderline
sw_module-1.75_noise-32_1,2stage,1,0,0,0,0,178.197,module=1.75;noise=32;sym-PDF417;modpx-1.75;img-borderline
sw_module-1.75_noise-36_1,2stage,1,0,0,0,0,221.343,module=1.75;noise=36;sym-PDF417;modpx-1.75;img-borderline
sw_module-1.75_noise-40_1,2stage,1,0,0,0,0,230.618,module=1.75;noise=40;sym-PDF417;modpx-1.75;img-borderline
sw_module-1.875_noise-0_1,2stage,1,1,1,0,0,5.913,module=1.875;noise=0;sym-PDF417;modpx-1.88;img-borderline
sw_module-1.875_noise-4_1,2stage,1,1,1,0,0,7.112,module=1.875;noise=4;sym-PDF417;modpx-1.88;img-borderline
