file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_noise-0_1,2stage,1,1,1,0,0,19.119,module=1;noise=0;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1_noise-4_1,2stage,1,0,0,0,0,329.487,module=1;noise=4;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1_noise-8_1,2stage,1,0,0,0,0,284.947,module=1;noise=8;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1_noise-12_1,2stage,1,0,0,0,0,74.463,module=1;noise=12;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1_noise-16_1,2stage,1,0,0,0,0,65.676,module=1;noise=16;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1_noise-20_1,2stage,1,0,0,0,0,179.488,module=1;noise=20;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1_noise-24_1,2stage,1,0,0,0,0,198.837,module=1;noise=24;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1_noise-28_1,2stage,1,0,0,0,0,287.692,module=1;noise=28;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1_noise-32_1,2stage,1,0,0,0,0,308.844,module=1;noise=32;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1_noise-36_1,2stage,1,0,0,0,0,250.521,module=1;noise=36;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1_noise-40_1,2stage,1,0,0,0,0,235.950,module=1;noise=40;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1.125_noise-0_1,2stage,1,0,0,0,0,96.257,module=1.125;noise=0;sym-QR_CODE;modpx-1.12;img-impossible
sw_module-1.125_noise-4_1,2stage,1,0,0,0,0,261.178,module=1.125;noise=4;sym-QR_CODE;modpx-1.12;img-impossible
sw_module-1.125_noise-8_1,2stage,1,0,0,0,0,251.013,module=1.125;noise=8;sym-QR_CODE;modpx-1.12;img-impossible
sw_module-1.125_noise-12_1,2stage,1,0,0,0,0,68.789,module=1.125;noise=12;sym-QR_CODE;modpx-1.12;img-impossible
sw_module-1.125_noise-16_1,2stage,1,0,0,0,0,126.641,module=1.125;noise=16;sym-QR_CODE;modpx-1.12;img-impossible
sw_module-1.125_noise-20_1,2stage,1,0,0,0,0,306.828,module=1.125;noise=20;sym-QR_CODE;modpx-1.12;img-impossible
sw_module-1.125_noise-24_1,2stage,1,0,0,0,0,195.394,module=1.125;noise=24;sym-QR_CODE;modpx-1.12;img-impossible
sw_module-1.125_noise-28_1,2stage,1,0,0,0,0,191.058,module=1.125;noise=28;sym-QR_CODE;modpx-1.12;img-impossible
sw_module-1.125_noise-32_1,2stage,1,0,0,0,0,190.862,module=1.125;noise=32;sym-QR_CODE;modpx-1.12;img-impossible
sw_module-1.125_noise-36_1,2stage,1,0,0,0,0,211.193,module=1.125;noise=36;sym-QR_CODE;modpx-1.12;img-impossible
sw_module-1.125_noise-40_1,2stage,1,0,0,0,0,287.468,module=1.125;noise=40;sym-QR_CODE;modpx-1.12;img-impossible
sw_module-1.25_noise-0_1,2stage,1,0,0,0,0,102.171,module=1.25;noise=0;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.25_noise-4_1,2stage,1,0,0,0,0,448.433,module=1.25;noise=4;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.25_noise-8_1,2stage,1,0,0,0,0,406.016,module=1.25;noise=8;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.25_noise-12_1,2stage,1,0,0,0,0,68.815,module=1.25;noise=12;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.25_noise-16_1,2stage,1,0,0,0,0,60.945,module=1.25;noise=16;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.25_noise-20_1,2stage,1,0,0,0,0,154.778,module=1.25;noise=20;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.25_noise-24_1,2stage,1,0,0,0,0,180.074,module=1.25;noise=24;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.25_noise-28_1,2stage,1,0,0,0,0,183.792,module=1.25;noise=28;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.25_noise-32_1,2stage,1,0,0,0,0,178.362,module=1.25;noise=32;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.25_noise-36_1,2stage,1,0,0,0,0,335.981,module=1.25;noise=36;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.25_noise-40_1,2stage,1,0,0,0,0,399.787,module=1.25;noise=40;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.375_noise-0_1,2stage,1,0,0,0,0,89.285,module=1.375;noise=0;sym-QR_CODE;modpx-1.38;img-borderline
sw_module-1.375_noise-4_1,2stage,1,0,0,0,0,241.086,module=1.375;noise=4;sym-QR_CODE;modpx-1.38;img-borderline
sw_module-1.375_noise-8_1,2stage,1,0,0,0,0,252.851,module=1.375;noise=8;sym-QR_CODE;modpx-1.38;img-borderline
sw_module-1.375_noise-12_1,2stage,1,0,0,0,0,64.747,module=1.375;noise=12;sym-QR_CODE;modpx-1.38;img-borderline
sw_module-1.375_noise-16_1,2stage,1,0,0,0,0,59.862,module=1.375;noise=16;sym-QR_CODE;modpx-1.38;img-borderline
sw_module-1.375_noise-20_1,2stage,1,0,0,0,0,170.133,module=1.375;noise=20;sym-QR_CODE;modpx-1.38;img-borderline
sw_module-1.375_noise-24_1,2stage,1,0,0,0,0,363.233,module=1.375;noise=24;sym-QR_CODE;modpx-1.38;img-borderline
sw_module-1.375_noise-28_1,2stage,1,0,0,0,0,267.148,module=1.375;noise=28;sym-QR_CODE;modpx-1.38;img-borderline
sw_module-1.375_noise-32_1,2stage,1,0,0,0,0,186.339,module=1.375;noise=32;sym-QR_CODE;modpx-1.38;img-borderline
sw_module-1.375_noise-36_1,2stage,1,0,0,0,0,196.158,module=1.375;noise=36;sym-QR_CODE;modpx-1.38;img-borderline
