file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_noise-0_1,2stage,1,1,1,0,0,10.075,module=1;noise=0;sym-UPC_A;modpx-1.00;img-impossible
sw_module-1_noise-4_1,2stage,1,1,1,0,0,8.510,module=1;noise=4;sym-UPC_A;modpx-1.00;img-impossible
sw_module-1_noise-8_1,2stage,1,1,1,0,0,4.015,module=1;noise=8;sym-UPC_A;modpx-1.00;img-impossible
sw_module-1_noise-12_1,2stage,1,0,0,0,0,111.215,module=1;noise=12;sym-UPC_A;modpx-1.00;img-impossible
sw_module-1_noise-16_1,2stage,1,0,0,0,0,62.681,module=1;noise=16;sym-UPC_A;modpx-1.00;img-impossible
sw_module-1_noise-20_1,2stage,1,0,0,0,0,160.188,module=1;noise=20;sym-UPC_A;modpx-1.00;img-impossible
sw_module-1_noise-24_1,2stage,1,0,0,0,0,183.682,module=1;noise=24;sym-UPC_A;modpx-1.00;img-impossible
sw_module-1_noise-28_1,2stage,1,0,0,0,0,245.937,module=1;noise=28;sym-UPC_A;modpx-1.00;img-impossible
sw_module-1_noise-32_1,2stage,1,0,0,0,0,284.449,module=1;noise=32;sym-UPC_A;modpx-1.00;img-impossible
sw_module-1_noise-36_1,2stage,1,0,0,0,0,196.457,module=1;noise=36;sym-UPC_A;modpx-1.00;img-impossible
sw_module-1_noise-40_1,2stage,1,0,0,0,0,221.830,module=1;noise=40;sym-UPC_A;modpx-1.00;img-impossible
sw_module-1.125_noise-0_1,2stage,1,0,0,0,0,74.178,module=1.125;noise=0;sym-UPC_A;modpx-1.12;img-impossible
sw_module-1.125_noise-4_1,2stage,1,0,0,0,0,232.256,module=1.125;noise=4;sym-UPC_A;modpx-1.12;img-impossible
sw_module-1.125_noise-8_1,2stage,1,0,0,0,0,263.434,module=1.125;noise=8;sym-UPC_A;modpx-1.12;img-impossible
sw_module-1.125_noise-12_1,2stage,1,0,0,0,0,66.189,module=1.125;noise=12;sym-UPC_A;modpx-1.12;img-impossible
sw_module-1.125_noise-16_1,2stage,1,0,0,0,0,81.426,module=1.125;noise=16;sym-UPC_A;modpx-1.12;img-impossible
sw_module-1.125_noise-20_1,2stage,1,0,0,0,0,272.362,module=1.125;noise=20;sym-UPC_A;modpx-1.12;img-impossible
sw_module-1.125_noise-24_1,2stage,1,0,0,0,0,192.776,module=1.125;noise=24;sym-UPC_A;modpx-1.12;img-impossible
sw_module-1.125_noise-28_1,2stage,1,0,0,0,0,178.071,module=1.125;noise=28;sym-UPC_A;modpx-1.12;img-impossible
sw_module-1.125_noise-32_1,2stage,1,0,0,0,0,172.429,module=1.125;noise=32;sym-UPC_A;modpx-1.12;img-impossible
sw_module-1.125_noise-36_1,2stage,1,0,0,0,0,196.111,module=1.125;noise=36;sym-UPC_A;modpx-1.12;img-impossible
sw_module-1.125_noise-40_1,2stage,1,0,0,0,0,242.583,module=1.125;noise=40;sym-UPC_A;modpx-1.12;img-impossible
sw_module-1.25_noise-0_1,2stage,1,1,1,0,0,11.790,module=1.25;noise=0;sym-UPC_A;modpx-1.25;img-impossible
sw_module-1.25_noise-4_1,2stage,1,1,1,0,0,18.623,module=1.25;noise=4;sym-UPC_A;modpx-1.25;img-impossible
sw_module-1.25_noise-8_1,2stage,1,0,0,0,0,360.801,module=1.25;noise=8;sym-UPC_A;modpx-1.25;img-impossible
sw_module-1.25_noise-12_1,2stage,1,0,0,0,0,68.806,module=1.25;noise=12;sym-UPC_A;modpx-1.25;img-impossible
sw_module-1.25_noise-16_1,2stage,1,0,0,0,0,62.777,module=1.25;noise=16;sym-UPC_A;modpx-1.25;img-impossible
sw_module-1.25_noise-20_1,2stage,1,0,0,0,0,174.058,module=1.25;noise=20;sym-UPC_A;modpx-1.25;img-impossible
sw_module-1.25_noise-24_1,2stage,1,0,0,0,0,173.858,module=1.25;noise=24;sym-UPC_A;modpx-1.25;img-impossible
sw_module-1.25_noise-28_1,2stage,1,0,0,0,0,179.306,module=1.25;noise=28;sym-UPC_A;modpx-1.25;img-impossible
sw_module-1.25_noise-32_1,2stage,1,0,0,0,0,173.918,module=1.25;noise=32;sym-UPC_A;modpx-1.25;img-impossible
sw_module-1.25_noise-36_1,2stage,1,0,0,0,0,327.205,module=1.25;noise=36;sym-UPC_A;modpx-1.25;img-impossible
sw_module-1.25_noise-40_1,2stage,1,0,0,0,0,389.634,module=1.25;noise=40;sym-UPC_A;modpx-1.25;img-impossible
sw_module-1.375_noise-0_1,2stage,1,1,1,0,0,6.726,module=1.375;noise=0;sym-UPC_A;modpx-1.38;img-borderline
sw_module-1.375_noise-4_1,2stage,1,1,1,0,0,10.945,module=1.375;noise=4;sym-UPC_A;modpx-1.38;img-borderline
sw_module-1.375_noise-8_1,2stage,1,1,1,0,0,38.080,module=1.375;noise=8;sym-UPC_A;modpx-1.38;img-borderline
sw_module-1.375_noise-12_1,2stage,1,0,0,0,0,69.960,module=1.375;noise=12;sym-UPC_A;modpx-1.38;img-borderline
sw_module-1.375_noise-16_1,2stage,1,0,0,0,0,70.549,module=1.375;noise=16;sym-UPC_A;modpx-1.38;img-borderline
sw_module-1.375_noise-20_1,2stage,1,0,0,0,0,170.958,module=1.375;noise=20;sym-UPC_A;modpx-1.38;img-borderline
sw_module-1.375_noise-24_1,2stage,1,0,0,0,0,316.040,module=1.375;noise=24;sym-UPC_A;modpx-1.38;img-borderline
sw_module-1.375_noise-28_1,2stage,1,0,0,0,0,317.044,module=1.375;noise=28;sym-UPC_A;modpx-1.38;img-borderline
