file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_noise-0_1,2stage,1,1,1,0,0,10.260,module=1;noise=0;sym-UPC_E;modpx-1.00;img-impossible
sw_module-1_noise-4_1,2stage,1,1,1,0,0,13.731,module=1;noise=4;sym-UPC_E;modpx-1.00;img-impossible
sw_module-1_noise-8_1,2stage,1,1,1,0,0,8.368,module=1;noise=8;sym-UPC_E;modpx-1.00;img-impossible
sw_module-1_noise-12_1,2stage,1,1,1,0,0,12.906,module=1;noise=12;sym-UPC_E;modpx-1.00;img-impossible
sw_module-1_noise-16_1,2stage,1,1,1,0,0,12.334,module=1;noise=16;sym-UPC_E;modpx-1.00;img-impossible
sw_module-1_noise-20_1,2stage,1,1,1,0,0,7.700,module=1;noise=20;sym-UPC_E;modpx-1.00;img-impossible
sw_module-1_noise-24_1,2stage,1,1,1,0,0,7.525,module=1;noise=24;sym-UPC_E;modpx-1.00;img-impossible
sw_module-1_noise-28_1,2stage,1,1,1,0,0,7.351,module=1;noise=28;sym-UPC_E;modpx-1.00;img-impossible
sw_module-1_noise-32_1,2stage,1,1,1,0,0,18.294,module=1;noise=32;sym-UPC_E;modpx-1.00;img-impossible
sw_module-1_noise-36_1,2stage,1,1,1,0,0,17.771,module=1;noise=36;sym-UPC_E;modpx-1.00;img-impossible
sw_module-1_noise-40_1,2stage,1,1,1,0,0,13.166,module=1;noise=40;sym-UPC_E;modpx-1.00;img-impossible
sw_module-1.125_noise-0_1,2stage,1,1,1,0,0,10.781,module=1.125;noise=0;sym-UPC_E;modpx-1.12;img-impossible
sw_module-1.125_noise-4_1,2stage,1,1,1,0,0,13.216,module=1.125;noise=4;sym-UPC_E;modpx-1.12;img-impossible
sw_module-1.125_noise-8_1,2stage,1,1,1,0,0,5.029,module=1.125;noise=8;sym-UPC_E;modpx-1.12;img-impossible
sw_module-1.125_noise-12_1,2stage,1,1,1,0,0,8.738,module=1.125;noise=12;sym-UPC_E;modpx-1.12;img-impossible
sw_module-1.125_noise-16_1,2stage,1,1,1,0,0,7.641,module=1.125;noise=16;sym-UPC_E;modpx-1.12;img-impossible
sw_module-1.125_noise-20_1,2stage,1,1,1,0,0,17.853,module=1.125;noise=20;sym-UPC_E;modpx-1.12;img-impossible
sw_module-1.125_noise-24_1,2stage,1,1,1,0,0,12.576,module=1.125;noise=24;sym-UPC_E;modpx-1.12;img-impossible
sw_module-1.125_noise-28_1,2stage,1,1,1,0,0,11.826,module=1.125;noise=28;sym-UPC_E;modpx-1.12;img-impossible
sw_module-1.125_noise-32_1,2stage,1,1,1,0,0,15.764,module=1.125;noise=32;sym-UPC_E;modpx-1.12;img-impossible
sw_module-1.125_noise-36_1,2stage,1,1,1,0,0,14.228,module=1.125;noise=36;sym-UPC_E;modpx-1.12;img-impossible
sw_module-1.125_noise-40_1,2stage,1,1,1,0,0,10.125,module=1.125;noise=40;sym-UPC_E;modpx-1.12;img-impossible
sw_module-1.25_noise-0_1,2stage,1,1,1,0,0,6.179,module=1.25;noise=0;sym-UPC_E;modpx-1.25;img-impossible
sw_module-1.25_noise-4_1,2stage,1,1,1,0,0,17.167,module=1.25;noise=4;sym-UPC_E;modpx-1.25;img-impossible
sw_module-1.25_noise-8_1,2stage,1,1,1,0,0,18.470,module=1.25;noise=8;sym-UPC_E;modpx-1.25;img-impossible
sw_module-1.25_noise-12_1,2stage,1,1,1,0,0,9.158,module=1.25;noise=12;sym-UPC_E;modpx-1.25;img-impossible
sw_module-1.25_noise-16_1,2stage,1,1,1,0,0,7.819,module=1.25;noise=16;sym-UPC_E;modpx-1.25;img-impossible
sw_module-1.25_noise-20_1,2stage,1,1,1,0,0,7.776,module=1.25;noise=20;sym-UPC_E;modpx-1.25;img-impossible
sw_module-1.25_noise-24_1,2stage,1,1,1,0,0,9.376,module=1.25;noise=24;sym-UPC_E;modpx-1.25;img-impossible
sw_module-1.25_noise-28_1,2stage,1,1,1,0,0,7.774,module=1.25;noise=28;sym-UPC_E;modpx-1.25;img-impossible
