file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_count-1_module-1.5_1,2stage,1,0,0,0,0,144.541,count=1;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-2_module-1.5_2,2stage,2,0,0,0,0,95.094,count=2;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-3_module-1.5_3,2stage,3,0,0,0,0,102.077,count=3;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-4_module-1.5_4,2stage,4,0,0,0,0,96.169,count=4;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-5_module-1.5_5,2stage,5,0,0,0,0,114.446,count=5;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-6_module-1.5_6,2stage,6,0,0,0,0,97.686,count=6;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-7_module-1.5_7,2stage,7,0,0,0,0,112.007,count=7;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-8_module-1.5_8,2stage,8,0,0,0,0,166.493,count=8;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-9_module-1.5_9,2stage,9,0,0,0,0,177.982,count=9;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-10_module-1.5_10,2stage,10,0,0,0,0,102.192,count=10;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-11_module-1.5_11,2stage,11,0,0,0,0,98.180,count=11;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-12_module-1.5_12,2stage,12,0,0,0,0,87.743,count=12;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-13_module-1.5_13,2stage,13,0,0,0,0,99.132,count=13;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-14_module-1.5_14,2stage,14,0,0,0,0,96.455,count=14;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-15_module-1.5_15,2stage,15,0,0,0,0,94.041,count=15;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-16_module-1.5_16,2stage,16,0,0,0,0,160.232,count=16;module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_count-1_module-2_1,2stage,1,1,1,0,0,26.966,count=1;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_count-2_module-2_2,2stage,2,1,1,0,0,109.111,count=2;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_count-3_module-2_3,2stage,3,1,1,0,0,79.818,count=3;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_count-4_module-2_4,2stage,4,1,1,0,0,70.352,count=4;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_count-5_module-2_5,2stage,5,1,1,0,0,70.473,count=5;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_count-6_module-2_6,2stage,6,1,1,0,0,61.135,count=6;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_count-7_module-2_7,2stage,7,1,1,0,0,58.650,count=7;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_count-8_module-2_8,2stage,8,1,1,0,0,71.273,count=8;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_count-9_module-2_9,2stage,9,1,1,0,0,193.436,count=9;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_count-10_module-2_10,2stage,10,1,1,0,0,140.140,count=10;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_count-11_module-2_11,2stage,11,1,1,0,0,85.213,count=11;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
