file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_count-1_module-1.5_1,2stage,1,1,1,0,0,29.768,count=1;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-2_module-1.5_2,2stage,2,0,0,0,0,166.979,count=2;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-3_module-1.5_3,2stage,3,2,2,0,0,68.743,count=3;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-4_module-1.5_4,2stage,4,1,1,0,0,61.144,count=4;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-5_module-1.5_5,2stage,5,2,2,0,0,56.033,count=5;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-6_module-1.5_6,2stage,6,2,2,0,0,59.440,count=6;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-7_module-1.5_7,2stage,7,1,1,0,0,64.190,count=7;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-8_module-1.5_8,2stage,8,2,2,0,0,85.210,count=8;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-9_module-1.5_9,2stage,9,1,1,0,0,90.243,count=9;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-10_module-1.5_10,2stage,10,4,4,0,0,71.784,count=10;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-11_module-1.5_11,2stage,11,0,0,0,0,107.210,count=11;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-12_module-1.5_12,2stage,12,4,4,0,0,73.971,count=12;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-13_module-1.5_13,2stage,13,0,0,0,0,99.323,count=13;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-14_module-1.5_14,2stage,14,3,3,0,0,65.481,count=14;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-15_module-1.5_15,2stage,15,3,3,0,0,62.623,count=15;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-16_module-1.5_16,2stage,16,5,5,0,0,92.463,count=16;module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_count-1_module-2_1,2stage,1,1,1,0,0,41.791,count=1;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-2_module-2_2,2stage,2,2,2,0,0,26.235,count=2;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-3_module-2_3,2stage,3,3,3,0,0,31.251,count=3;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-4_module-2_4,2stage,4,4,4,0,0,30.414,count=4;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-5_module-2_5,2stage,5,5,5,0,0,16.161,count=5;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-6_module-2_6,2stage,6,6,6,0,0,15.370,count=6;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-7_module-2_7,2stage,7,7,7,0,0,14.619,count=7;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-8_module-2_8,2stage,8,8,8,0,0,36.151,count=8;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-9_module-2_9,2stage,9,9,9,0,0,27.251,count=9;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-10_module-2_10,2stage,10,10,10,0,0,32.330,count=10;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-11_module-2_11,2stage,11,11,11,0,0,26.394,count=11;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-12_module-2_12,2stage,12,12,12,0,0,22.761,count=12;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-13_module-2_13,2stage,13,13,13,0,0,21.004,count=13;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-14_module-2_14,2stage,14,14,14,0,0,15.812,count=14;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-15_module-2_15,2stage,15,15,15,0,0,16.363,count=15;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-16_module-2_16,2stage,16,16,16,0,0,16.311,count=16;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_count-1_module-2.5_1,2stage,1,1,1,0,0,22.634,count=1;module=2.5;sym-QR_CODE;modpx-2.50;img-ok
sw_count-2_module-2.5_2,2stage,2,2,2,0,0,25.809,count=2;module=2.5;sym-QR_CODE;modpx-2.50;img-ok
sw_count-3_module-2.5_3,2stage,3,3,3,0,0,31.002,count=3;module=2.5;sym-QR_CODE;modpx-2.50;img-ok
sw_count-4_module-2.5_4,2stage,4,4,4,0,0,10.646,count=4;module=2.5;sym-QR_CODE;modpx-2.50;img-ok
