file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_1,2stage,1,1,1,0,0,0.739,module=1;sym-CODE_128;modpx-1.00;img-impossible
sw_module-1.25_1,2stage,1,0,0,0,0,70.128,module=1.25;sym-CODE_128;modpx-1.25;img-impossible
sw_module-1.5_1,2stage,1,1,1,0,0,0.439,module=1.5;sym-CODE_128;modpx-1.50;img-borderline
sw_module-1.75_1,2stage,1,1,1,0,0,0.457,module=1.75;sym-CODE_128;modpx-1.75;img-borderline
sw_module-2_1,2stage,1,1,1,0,0,0.333,module=2;sym-CODE_128;modpx-2.00;img-ok
sw_module-2.25_1,2stage,1,1,1,0,0,0.869,module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_module-2.5_1,2stage,1,1,1,0,0,1.322,module=2.5;sym-CODE_128;modpx-2.33;img-ok
sw_module-2.75_1,2stage,1,1,1,0,0,1.291,module=2.75;sym-CODE_128;modpx-2.33;img-ok
sw_module-3_1,2stage,1,1,1,0,0,1.463,module=3;sym-CODE_128;modpx-2.33;img-ok
sw_module-3.25_1,2stage,1,1,1,0,0,1.306,module=3.25;sym-CODE_128;modpx-2.33;img-ok
sw_module-3.5_1,2stage,1,1,1,0,0,1.417,module=3.5;sym-CODE_128;modpx-2.33;img-ok
sw_module-3.75_1,2stage,1,1,1,0,0,1.335,module=3.75;sym-CODE_128;modpx-2.33;img-ok
sw_module-4_1,2stage,1,1,1,0,0,2.003,module=4;sym-CODE_128;modpx-2.33;img-ok
sw_module-4.25_1,2stage,1,1,1,0,0,1.366,module=4.25;sym-CODE_128;modpx-2.33;img-ok
sw_module-4.5_1,2stage,1,1,1,0,0,1.430,module=4.5;sym-CODE_128;modpx-2.33;img-ok
sw_module-4.75_1,2stage,1,1,1,0,0,5.406,module=4.75;sym-CODE_128;modpx-2.33;img-ok
sw_module-5_1,2stage,1,1,1,0,0,1.584,module=5;sym-CODE_128;modpx-2.33;img-ok
sw_module-5.25_1,2stage,1,1,1,0,0,1.375,module=5.25;sym-CODE_128;modpx-2.33;img-ok
sw_module-5.5_1,2stage,1,1,1,0,0,1.374,module=5.5;sym-CODE_128;modpx-2.33;img-ok
sw_module-5.75_1,2stage,1,1,1,0,0,1.280,module=5.75;sym-CODE_128;modpx-2.33;img-ok
sw_module-6_1,2stage,1,1,1,0,0,1.464,module=6;sym-CODE_128;modpx-2.33;img-ok
