file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_1,2stage,1,0,0,0,0,205.711,module=1;sym-DATA_MATRIX;modpx-1.00;img-impossible
sw_module-1.25_1,2stage,1,0,0,0,0,159.615,module=1.25;sym-DATA_MATRIX;modpx-1.25;img-impossible
sw_module-1.5_1,2stage,1,0,0,0,0,165.483,module=1.5;sym-DATA_MATRIX;modpx-1.50;img-borderline
sw_module-1.75_1,2stage,1,0,0,0,0,131.860,module=1.75;sym-DATA_MATRIX;modpx-1.75;img-borderline
sw_module-2_1,2stage,1,1,1,0,0,7.577,module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_module-2.25_1,2stage,1,1,1,0,0,6.079,module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_module-2.5_1,2stage,1,1,1,0,0,9.171,module=2.5;sym-DATA_MATRIX;modpx-2.50;img-ok
sw_module-2.75_1,2stage,1,1,1,0,0,6.009,module=2.75;sym-DATA_MATRIX;modpx-2.75;img-ok
sw_module-3_1,2stage,1,1,1,0,0,7.658,module=3;sym-DATA_MATRIX;modpx-3.00;img-ok
sw_module-3.25_1,2stage,1,1,1,0,0,14.405,module=3.25;sym-DATA_MATRIX;modpx-3.25;img-ok
sw_module-3.5_1,2stage,1,1,1,0,0,10.024,module=3.5;sym-DATA_MATRIX;modpx-3.50;img-ok
sw_module-3.75_1,2stage,1,1,1,0,0,10.129,module=3.75;sym-DATA_MATRIX;modpx-3.75;img-ok
sw_module-4_1,2stage,1,1,1,0,0,11.428,module=4;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_module-4.25_1,2stage,1,1,1,0,0,6.965,module=4.25;sym-DATA_MATRIX;modpx-4.25;img-ok
sw_module-4.5_1,2stage,1,1,1,0,0,7.054,module=4.5;sym-DATA_MATRIX;modpx-4.50;img-ok
sw_module-4.75_1,2stage,1,1,1,0,0,14.653,module=4.75;sym-DATA_MATRIX;modpx-4.75;img-ok
sw_module-5_1,2stage,1,1,1,0,0,8.521,module=5;sym-DATA_MATRIX;modpx-5.00;img-ok
sw_module-5.25_1,2stage,1,1,1,0,0,7.314,module=5.25;sym-DATA_MATRIX;modpx-5.25;img-ok
sw_module-5.5_1,2stage,1,1,1,0,0,6.093,module=5.5;sym-DATA_MATRIX;modpx-5.50;img-ok
sw_module-5.75_1,2stage,1,1,1,0,0,6.154,module=5.75;sym-DATA_MATRIX;modpx-5.75;img-ok
sw_module-6_1,2stage,1,1,1,0,0,8.722,module=6;sym-DATA_MATRIX;modpx-6.00;img-ok
