file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_1,2stage,1,0,0,0,0,65.602,module=1;sym-PDF417;modpx-1.00;img-impossible
sw_module-1.25_1,2stage,1,0,0,0,0,238.186,module=1.25;sym-PDF417;modpx-1.25;img-impossible
sw_module-1.5_1,2stage,1,0,0,0,0,35.148,module=1.5;sym-PDF417;modpx-1.50;img-borderline
sw_module-1.75_1,2stage,1,1,1,0,0,3.415,module=1.75;sym-PDF417;modpx-1.75;img-borderline
sw_module-2_1,2stage,1,1,1,0,0,3.026,module=2;sym-PDF417;modpx-2.00;img-ok
sw_module-2.25_1,2stage,1,1,1,0,0,3.664,module=2.25;sym-PDF417;modpx-2.25;img-ok
sw_module-2.5_1,2stage,1,1,1,0,0,3.805,module=2.5;sym-PDF417;modpx-2.50;img-ok
sw_module-2.75_1,2stage,1,1,1,0,0,3.343,module=2.75;sym-PDF417;modpx-2.75;img-ok
sw_module-3_1,2stage,1,1,1,0,0,3.626,module=3;sym-PDF417;modpx-2.78;img-ok
sw_module-3.25_1,2stage,1,1,1,0,0,3.569,module=3.25;sym-PDF417;modpx-2.78;img-ok
sw_module-3.5_1,2stage,1,1,1,0,0,11.145,module=3.5;sym-PDF417;modpx-2.78;img-ok
sw_module-3.75_1,2stage,1,1,1,0,0,6.881,module=3.75;sym-PDF417;modpx-2.78;img-ok
sw_module-4_1,2stage,1,1,1,0,0,7.606,module=4;sym-PDF417;modpx-2.78;img-ok
sw_module-4.25_1,2stage,1,1,1,0,0,3.394,module=4.25;sym-PDF417;modpx-2.78;img-ok
sw_module-4.5_1,2stage,1,1,1,0,0,3.299,module=4.5;sym-PDF417;modpx-2.78;img-ok
sw_module-4.75_1,2stage,1,1,1,0,0,3.273,module=4.75;sym-PDF417;modpx-2.78;img-ok
sw_module-5_1,2stage,1,1,1,0,0,3.421,module=5;sym-PDF417;modpx-2.78;img-ok
sw_module-5.25_1,2stage,1,1,1,0,0,3.260,module=5.25;sym-PDF417;modpx-2.78;img-ok
sw_module-5.5_1,2stage,1,1,1,0,0,3.699,module=5.5;sym-PDF417;modpx-2.78;img-ok
sw_module-5.75_1,2stage,1,1,1,0,0,3.335,module=5.75;sym-PDF417;modpx-2.78;img-ok
sw_module-6_1,2stage,1,1,1,0,0,3.410,module=6;sym-PDF417;modpx-2.78;img-ok
