file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_module-1_1,2stage,1,0,0,0,0,203.586,module=1;sym-QR_CODE;modpx-1.00;img-impossible
sw_module-1.25_1,2stage,1,0,0,0,0,106.539,module=1.25;sym-QR_CODE;modpx-1.25;img-impossible
sw_module-1.5_1,2stage,1,0,0,0,0,92.256,module=1.5;sym-QR_CODE;modpx-1.50;img-borderline
sw_module-1.75_1,2stage,1,0,0,0,0,86.071,module=1.75;sym-QR_CODE;modpx-1.75;img-borderline
sw_module-2_1,2stage,1,1,1,0,0,13.939,module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_module-2.25_1,2stage,1,1,1,0,0,14.681,module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_module-2.5_1,2stage,1,1,1,0,0,14.255,module=2.5;sym-QR_CODE;modpx-2.50;img-ok
sw_module-2.75_1,2stage,1,1,1,0,0,23.579,module=2.75;sym-QR_CODE;modpx-2.75;img-ok
sw_module-3_1,2stage,1,1,1,0,0,9.642,module=3;sym-QR_CODE;modpx-3.00;img-ok
sw_module-3.25_1,2stage,1,1,1,0,0,9.577,module=3.25;sym-QR_CODE;modpx-3.25;img-ok
sw_module-3.5_1,2stage,1,1,1,0,0,5.496,module=3.5;sym-QR_CODE;modpx-3.50;img-ok
sw_module-3.75_1,2stage,1,1,1,0,0,9.377,module=3.75;sym-QR_CODE;modpx-3.75;img-ok
sw_module-4_1,2stage,1,1,1,0,0,6.430,module=4;sym-QR_CODE;modpx-4.00;img-ok
sw_module-4.25_1,2stage,1,1,1,0,0,6.168,module=4.25;sym-QR_CODE;modpx-4.25;img-ok
sw_module-4.5_1,2stage,1,1,1,0,0,5.712,module=4.5;sym-QR_CODE;modpx-4.50;img-ok
sw_module-4.75_1,2stage,1,1,1,0,0,6.509,module=4.75;sym-QR_CODE;modpx-4.75;img-ok
sw_module-5_1,2stage,1,1,1,0,0,6.965,module=5;sym-QR_CODE;modpx-5.00;img-ok
sw_module-5.25_1,2stage,1,1,1,0,0,6.336,module=5.25;sym-QR_CODE;modpx-5.25;img-ok
sw_module-5.5_1,2stage,1,1,1,0,0,5.648,module=5.5;sym-QR_CODE;modpx-5.50;img-ok
sw_module-5.75_1,2stage,1,1,1,0,0,6.644,module=5.75;sym-QR_CODE;modpx-5.75;img-ok
sw_module-6_1,2stage,1,1,1,0,0,6.143,module=6;sym-QR_CODE;modpx-6.00;img-ok
