grid	sym	module	frames	codes_found	codes_total	rate	misdec	dup	mean_ms_x86	p95_ms_x86
A_contrast_bright	CODABAR	4	320	308	320	96.2	0	0	22.85	112.22
A_contrast_bright	CODABAR	8	320	308	320	96.2	0	0	65.71	380.22
A_contrast_bright	CODE128	4	320	305	320	95.3	0	0	19.80	86.74
A_contrast_bright	CODE128	8	320	313	320	97.8	0	0	43.84	165.79
A_contrast_bright	CODE39	4	320	304	320	95.0	0	0	25.79	147.10
A_contrast_bright	CODE39	8	320	311	320	97.2	0	0	70.65	311.81
A_contrast_bright	CODE93	4	320	314	320	98.1	0	0	38.25	117.88
A_contrast_bright	CODE93	8	320	308	320	96.2	0	0	71.79	469.62
A_contrast_bright	DATABAR	4	320	308	320	96.2	0	0	25.49	111.37
A_contrast_bright	DATABAR	8	320	310	320	96.9	0	0	131.70	635.97
A_contrast_bright	DATABAREXP	4	320	304	320	95.0	0	0	32.67	185.29
A_contrast_bright	DATABAREXP	8	320	303	320	94.7	0	0	89.85	621.17
A_contrast_bright	DATAMATRIX	4	320	284	320	88.8	0	0	30.73	137.29
A_contrast_bright	DATAMATRIX	8	320	307	320	95.9	0	0	24.15	60.29
A_contrast_bright	EAN13	4	320	306	320	95.6	0	0	15.50	82.87
A_contrast_bright	EAN13	8	320	309	320	96.6	0	0	21.95	118.08
A_contrast_bright	EAN8	4	320	296	320	92.5	0	0	29.79	115.29
A_contrast_bright	EAN8	8	320	313	320	97.8	0	0	16.59	62.13
A_contrast_bright	ITF	4	320	312	320	97.5	0	0	13.62	56.61
A_contrast_bright	ITF	8	320	312	320	97.5	0	0	33.79	167.66
A_contrast_bright	PDF417	4	320	294	320	91.9	0	0	27.55	111.42
A_contrast_bright	PDF417	8	320	312	320	97.5	0	0	32.00	117.10
A_contrast_bright	QR	4	320	268	320	83.8	0	0	32.94	145.14
A_contrast_bright	QR	8	320	313	320	97.8	0	0	16.06	45.32
A_contrast_bright	UPCA	4	320	306	320	95.6	0	0	16.02	102.35
A_contrast_bright	UPCA	8	320	310	320	96.9	0	0	25.26	96.86
A_contrast_bright	UPCE	4	320	314	320	98.1	0	0	14.18	39.57
A_contrast_bright	UPCE	8	320	301	320	94.1	0	0	23.82	153.16
B_module_angle	CODABAR	8	475	475	475	100.0	0	0	28.56	71.04
B_module_angle	CODE128	8	475	475	475	100.0	0	0	22.80	54.51
B_module_angle	CODE39	8	475	475	475	100.0	0	0	41.52	109.47
B_module_angle	CODE93	8	475	475	475	100.0	0	0	48.65	125.73
B_module_angle	DATABAR	8	475	475	475	100.0	0	0	26.29	66.16
B_module_angle	DATABAREXP	8	475	475	475	100.0	0	0	37.49	112.87
B_module_angle	DATAMATRIX	8	475	436	475	91.8	0	0	30.07	96.89
B_module_angle	EAN13	8	475	474	475	99.8	0	0	13.05	28.09
B_module_angle	EAN8	8	475	474	475	99.8	0	0	10.66	23.40
B_module_angle	ITF	8	475	475	475	100.0	0	0	16.84	40.74
B_module_angle	PDF417	8	475	289	475	60.8	0	0	82.69	257.16
B_module_angle	QR	8	475	456	475	96.0	0	0	15.59	73.78
B_module_angle	UPCA	8	475	474	475	99.8	0	0	12.97	29.31
B_module_angle	UPCE	8	475	475	475	100.0	0	0	12.25	27.68
C_noise_blur	CODABAR	4	221	221	221	100.0	0	0	6.76	15.70
C_noise_blur	CODABAR	8	221	221	221	100.0	0	0	29.07	68.68
C_noise_blur	CODE128	4	221	124	221	56.1	0	0	130.98	371.35
C_noise_blur	CODE128	8	221	221	221	100.0	0	0	18.83	45.16
C_noise_blur	CODE39	4	221	124	221	56.1	0	0	127.27	352.66
C_noise_blur	CODE39	8	221	221	221	100.0	0	0	31.11	56.73
C_noise_blur	CODE93	4	221	221	221	100.0	0	0	16.83	48.24
C_noise_blur	CODE93	8	221	221	221	100.0	0	0	39.35	93.83
C_noise_blur	DATABAR	4	221	221	221	100.0	0	0	9.44	25.94
C_noise_blur	DATABAR	8	221	221	221	100.0	0	0	25.39	59.57
C_noise_blur	DATABAREXP	4	221	221	221	100.0	0	0	14.10	40.91
C_noise_blur	DATABAREXP	8	221	221	221	100.0	0	0	33.36	77.04
C_noise_blur	DATAMATRIX	4	221	80	221	36.2	0	0	161.30	368.39
C_noise_blur	DATAMATRIX	8	221	184	221	83.3	0	0	73.81	299.80
C_noise_blur	EAN13	4	221	126	221	56.6	1	0	121.36	348.98
C_noise_blur	EAN13	8	221	221	221	100.0	0	0	9.11	28.34
C_noise_blur	EAN8	4	221	138	221	62.4	0	0	113.35	315.01
C_noise_blur	EAN8	8	221	221	221	100.0	0	0	9.78	30.89
C_noise_blur	ITF	4	221	221	221	100.0	0	0	8.35	25.26
C_noise_blur	ITF	8	221	221	221	100.0	0	0	16.01	37.12
C_noise_blur	PDF417	4	221	62	221	28.1	0	0	183.23	354.26
C_noise_blur	PDF417	8	221	217	221	98.2	0	0	67.63	119.88
C_noise_blur	QR	4	221	90	221	40.7	0	0	154.29	377.39
C_noise_blur	QR	8	221	210	221	95.0	0	0	36.51	210.32
C_noise_blur	UPCA	4	221	129	221	58.4	0	0	126.27	360.56
C_noise_blur	UPCA	8	221	221	221	100.0	0	0	8.28	18.29
C_noise_blur	UPCE	4	221	221	221	100.0	0	0	9.72	26.76
C_noise_blur	UPCE	8	221	221	221	100.0	0	0	7.67	15.92
D_persp_curve	CODABAR	8	361	161	361	44.6	0	0	336.28	823.13
D_persp_curve	CODE128	8	361	190	361	52.6	0	0	193.89	523.83
D_persp_curve	CODE39	8	361	162	361	44.9	0	0	462.86	1058.52
D_persp_curve	CODE93	8	361	171	361	47.4	0	0	396.16	1000.03
D_persp_curve	DATABAR	8	361	110	361	30.5	0	0	417.20	852.41
D_persp_curve	DATABAREXP	8	361	102	361	28.3	0	0	603.09	1190.34
D_persp_curve	DATAMATRIX	8	361	361	361	100.0	0	0	8.93	18.14
D_persp_curve	EAN13	8	361	300	361	83.1	0	0	44.77	225.24
D_persp_curve	EAN8	8	361	343	361	95.0	0	0	26.58	96.55
D_persp_curve	ITF	8	361	235	361	65.1	0	0	140.82	468.87
D_persp_curve	PDF417	8	361	105	361	29.1	0	0	324.19	695.15
D_persp_curve	QR	8	361	316	361	87.5	0	0	31.72	150.23
D_persp_curve	UPCA	8	361	304	361	84.2	0	0	39.02	198.07
D_persp_curve	UPCE	8	361	276	361	76.5	0	0	87.15	371.37
E_glare_shadow	CODABAR	4	357	357	357	100.0	0	0	107.21	330.43
E_glare_shadow	CODABAR	8	357	275	357	77.0	0	0	342.85	1056.64
E_glare_shadow	CODE128	4	357	342	357	95.8	0	0	108.04	328.34
E_glare_shadow	CODE128	8	357	357	357	100.0	0	0	255.18	764.90
E_glare_shadow	CODE39	4	357	345	357	96.6	0	0	95.08	326.80
E_glare_shadow	CODE39	8	357	357	357	100.0	0	0	402.41	1234.73
E_glare_shadow	CODE93	4	357	357	357	100.0	0	0	186.46	676.32
E_glare_shadow	CODE93	8	357	351	357	98.3	0	0	451.69	1392.10
E_glare_shadow	DATABAR	4	357	357	357	100.0	0	0	135.92	456.71
E_glare_shadow	DATABAR	8	357	210	357	58.8	0	0	342.38	1087.52
E_glare_shadow	DATABAREXP	4	357	357	357	100.0	0	0	185.50	613.22
E_glare_shadow	DATABAREXP	8	357	357	357	100.0	0	0	496.93	1521.57
E_glare_shadow	DATAMATRIX	4	357	357	357	100.0	0	0	14.68	42.40
E_glare_shadow	DATAMATRIX	8	357	356	357	99.7	0	0	34.83	193.44
E_glare_shadow	EAN13	4	357	357	357	100.0	0	0	97.54	335.50
E_glare_shadow	EAN13	8	357	357	357	100.0	0	0	144.21	438.95
E_glare_shadow	EAN8	4	357	357	357	100.0	0	0	98.59	297.14
E_glare_shadow	EAN8	8	357	357	357	100.0	0	0	103.67	334.76
E_glare_shadow	ITF	4	357	357	357	100.0	0	0	107.73	332.01
E_glare_shadow	ITF	8	357	345	357	96.6	0	0	235.29	711.22
E_glare_shadow	PDF417	4	357	357	357	100.0	0	0	31.65	188.90
E_glare_shadow	PDF417	8	357	357	357	100.0	0	0	28.23	86.36
E_glare_shadow	QR	4	357	357	357	100.0	0	0	11.28	18.29
E_glare_shadow	QR	8	357	357	357	100.0	0	0	9.61	16.00
E_glare_shadow	UPCA	4	357	357	357	100.0	0	0	88.04	323.84
E_glare_shadow	UPCA	8	357	357	357	100.0	0	0	126.64	392.06
E_glare_shadow	UPCE	4	357	357	357	100.0	0	0	110.90	378.02
E_glare_shadow	UPCE	8	357	357	357	100.0	0	0	134.82	447.81
F_dirty_damaged	CODABAR	4	441	441	441	100.0	0	0	4.17	22.26
F_dirty_damaged	CODABAR	8	441	441	441	100.0	0	0	27.47	97.92
F_dirty_damaged	CODE128	4	441	327	441	74.1	0	0	76.77	225.72
F_dirty_damaged	CODE128	8	441	408	441	92.5	0	0	97.91	476.47
F_dirty_damaged	CODE39	4	441	399	441	90.5	0	0	36.58	218.78
F_dirty_damaged	CODE39	8	441	369	441	83.7	0	0	154.28	834.45
F_dirty_damaged	CODE93	4	441	315	441	71.4	0	0	132.73	560.39
F_dirty_damaged	CODE93	8	441	277	441	62.8	0	0	473.33	1266.06
F_dirty_damaged	DATABAR	4	441	354	441	80.3	0	0	112.42	318.76
F_dirty_damaged	DATABAR	8	441	189	441	42.9	0	0	425.56	880.47
F_dirty_damaged	DATABAREXP	4	441	420	441	95.2	0	0	26.54	53.03
F_dirty_damaged	DATABAREXP	8	441	420	441	95.2	0	0	68.07	177.20
F_dirty_damaged	DATAMATRIX	4	441	71	441	16.1	0	0	91.64	150.09
F_dirty_damaged	DATAMATRIX	8	441	60	441	13.6	0	0	103.62	193.01
F_dirty_damaged	EAN13	4	441	342	441	77.6	0	0	49.58	187.22
F_dirty_damaged	EAN13	8	441	355	441	80.5	0	0	61.80	236.33
F_dirty_damaged	EAN8	4	441	309	441	70.1	0	0	48.88	155.08
F_dirty_damaged	EAN8	8	441	315	441	71.4	0	0	52.57	220.44
F_dirty_damaged	ITF	4	441	417	441	94.6	0	0	38.96	191.67
F_dirty_damaged	ITF	8	441	418	441	94.8	0	0	63.95	317.48
F_dirty_damaged	PDF417	4	441	293	441	66.4	0	0	69.02	192.70
F_dirty_damaged	PDF417	8	441	240	441	54.4	0	0	139.86	386.69
F_dirty_damaged	QR	4	441	65	441	14.7	0	0	89.69	153.98
F_dirty_damaged	QR	8	441	64	441	14.5	0	0	110.49	205.42
F_dirty_damaged	UPCA	4	441	319	441	72.3	0	0	76.32	233.07
F_dirty_damaged	UPCA	8	441	371	441	84.1	0	0	70.55	241.70
F_dirty_damaged	UPCE	4	441	378	441	85.7	0	0	58.97	224.47
F_dirty_damaged	UPCE	8	441	400	441	90.7	0	0	67.19	305.43
G_zone_print	CODABAR	4	100	99	100	99.0	0	0	105.30	249.56
G_zone_print	CODABAR	8	100	100	100	100.0	0	0	462.37	1042.29
G_zone_print	CODE128	4	100	75	100	75.0	0	0	97.83	250.68
G_zone_print	CODE128	8	100	96	100	96.0	0	0	113.57	293.77
G_zone_print	CODE39	4	100	100	100	100.0	0	0	138.64	374.44
G_zone_print	CODE39	8	100	100	100	100.0	0	0	512.70	1200.46
G_zone_print	CODE93	4	100	100	100	100.0	0	0	62.92	140.82
G_zone_print	CODE93	8	100	50	100	50.0	0	0	575.27	1444.25
G_zone_print	DATABAR	4	100	100	100	100.0	0	0	36.96	113.74
G_zone_print	DATABAR	8	100	84	100	84.0	0	0	235.81	905.20
G_zone_print	DATABAREXP	4	100	80	100	80.0	0	0	120.50	502.39
G_zone_print	DATABAREXP	8	100	55	100	55.0	0	0	576.70	1437.64
G_zone_print	DATAMATRIX	4	100	100	100	100.0	0	0	68.20	170.27
G_zone_print	DATAMATRIX	8	100	100	100	100.0	0	0	20.67	78.15
G_zone_print	EAN13	4	100	76	100	76.0	0	0	59.76	202.91
G_zone_print	EAN13	8	100	76	100	76.0	0	0	114.64	477.59
