file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-0.3_contrast-0.05_1,2stage,1,0,0,0,0,501.382,bright=0.3;contrast=0.05;sym-CODABAR;img-impossible
sw_bright-0.4_contrast-0.05_1,2stage,1,0,0,0,0,215.379,bright=0.4;contrast=0.05;sym-CODABAR;img-impossible
sw_bright-0.5_contrast-0.05_1,2stage,1,0,0,0,0,211.387,bright=0.5;contrast=0.05;sym-CODABAR;img-ok
sw_bright-0.6_contrast-0.05_1,2stage,1,0,0,0,0,176.410,bright=0.6;contrast=0.05;sym-CODABAR;img-ok
sw_bright-0.7_contrast-0.05_1,2stage,1,0,0,0,0,169.014,bright=0.7;contrast=0.05;sym-CODABAR;img-ok
sw_bright-0.8_contrast-0.05_1,2stage,1,0,0,0,0,156.037,bright=0.8;contrast=0.05;sym-CODABAR;img-ok
sw_bright-0.9_contrast-0.05_1,2stage,1,1,1,0,0,253.028,bright=0.9;contrast=0.05;sym-CODABAR;img-ok
sw_bright-1_contrast-0.05_1,2stage,1,1,1,0,0,217.241,bright=1;contrast=0.05;sym-CODABAR;img-ok
sw_bright-1.1_contrast-0.05_1,2stage,1,1,1,0,0,281.878,bright=1.1;contrast=0.05;sym-CODABAR;img-ok
sw_bright-1.2_contrast-0.05_1,2stage,1,1,1,0,0,232.199,bright=1.2;contrast=0.05;sym-CODABAR;img-ok
sw_bright-1.3_contrast-0.05_1,2stage,1,1,1,0,0,169.787,bright=1.3;contrast=0.05;sym-CODABAR;img-ok
sw_bright-1.4_contrast-0.05_1,2stage,1,1,1,0,0,45.438,bright=1.4;contrast=0.05;sym-CODABAR;img-ok
sw_bright-1.5_contrast-0.05_1,2stage,1,1,1,0,0,47.342,bright=1.5;contrast=0.05;sym-CODABAR;img-ok
sw_bright-1.6_contrast-0.05_1,2stage,1,1,1,0,0,47.996,bright=1.6;contrast=0.05;sym-CODABAR;img-ok
sw_bright-1.7_contrast-0.05_1,2stage,1,1,1,0,0,19.040,bright=1.7;contrast=0.05;sym-CODABAR;img-ok
sw_bright-1.8_contrast-0.05_1,2stage,1,1,1,0,0,20.087,bright=1.8;contrast=0.05;sym-CODABAR;img-ok
sw_bright-0.3_contrast-0.1_1,2stage,1,0,0,0,0,276.717,bright=0.3;contrast=0.1;sym-CODABAR;img-ok
sw_bright-0.4_contrast-0.1_1,2stage,1,1,1,0,0,125.966,bright=0.4;contrast=0.1;sym-CODABAR;img-ok
sw_bright-0.5_contrast-0.1_1,2stage,1,1,1,0,0,56.562,bright=0.5;contrast=0.1;sym-CODABAR;img-ok
sw_bright-0.6_contrast-0.1_1,2stage,1,1,1,0,0,49.438,bright=0.6;contrast=0.1;sym-CODABAR;img-ok
sw_bright-0.7_contrast-0.1_1,2stage,1,1,1,0,0,55.280,bright=0.7;contrast=0.1;sym-CODABAR;img-ok
sw_bright-0.8_contrast-0.1_1,2stage,1,1,1,0,0,167.939,bright=0.8;contrast=0.1;sym-CODABAR;img-ok
sw_bright-0.9_contrast-0.1_1,2stage,1,1,1,0,0,169.063,bright=0.9;contrast=0.1;sym-CODABAR;img-ok
sw_bright-1_contrast-0.1_1,2stage,1,1,1,0,0,162.003,bright=1;contrast=0.1;sym-CODABAR;img-ok
sw_bright-1.1_contrast-0.1_1,2stage,1,1,1,0,0,246.466,bright=1.1;contrast=0.1;sym-CODABAR;img-ok
sw_bright-1.2_contrast-0.1_1,2stage,1,1,1,0,0,69.125,bright=1.2;contrast=0.1;sym-CODABAR;img-ok
