file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0_noise-0_1,2stage,1,1,1,0,0,2.311,blur=0;noise=0;sym-CODABAR;img-ok
sw_blur-0.25_noise-0_1,2stage,1,1,1,0,0,2.131,blur=0.25;noise=0;sym-CODABAR;img-ok
sw_blur-0.5_noise-0_1,2stage,1,1,1,0,0,2.991,blur=0.5;noise=0;sym-CODABAR;img-ok
sw_blur-0.75_noise-0_1,2stage,1,1,1,0,0,2.079,blur=0.75;noise=0;sym-CODABAR;img-ok
sw_blur-1_noise-0_1,2stage,1,1,1,0,0,1.958,blur=1;noise=0;sym-CODABAR;img-ok
sw_blur-1.25_noise-0_1,2stage,1,1,1,0,0,1.820,blur=1.25;noise=0;sym-CODABAR;img-ok
sw_blur-1.5_noise-0_1,2stage,1,1,1,0,0,2.036,blur=1.5;noise=0;sym-CODABAR;img-ok
sw_blur-1.75_noise-0_1,2stage,1,1,1,0,0,2.130,blur=1.75;noise=0;sym-CODABAR;img-ok
sw_blur-2_noise-0_1,2stage,1,1,1,0,0,2.388,blur=2;noise=0;sym-CODABAR;img-borderline
sw_blur-2.25_noise-0_1,2stage,1,1,1,0,0,2.176,blur=2.25;noise=0;sym-CODABAR;img-borderline
sw_blur-2.5_noise-0_1,2stage,1,1,1,0,0,2.104,blur=2.5;noise=0;sym-CODABAR;img-borderline
sw_blur-2.75_noise-0_1,2stage,1,1,1,0,0,1.895,blur=2.75;noise=0;sym-CODABAR;img-borderline
sw_blur-3_noise-0_1,2stage,1,1,1,0,0,2.478,blur=3;noise=0;sym-CODABAR;img-impossible
sw_blur-3.25_noise-0_1,2stage,1,1,1,0,0,1.969,blur=3.25;noise=0;sym-CODABAR;img-impossible
sw_blur-3.5_noise-0_1,2stage,1,1,1,0,0,2.187,blur=3.5;noise=0;sym-CODABAR;img-impossible
sw_blur-3.75_noise-0_1,2stage,1,1,1,0,0,2.135,blur=3.75;noise=0;sym-CODABAR;img-impossible
sw_blur-4_noise-0_1,2stage,1,1,1,0,0,6.282,blur=4;noise=0;sym-CODABAR;img-impossible
