file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0_shadow-0.2_1,2stage,1,1,1,0,0,589.061,glare=0;shadow=0.2;sym-CODABAR;img-ok
sw_glare-0_shadow-0.25_1,2stage,1,1,1,0,0,285.019,glare=0;shadow=0.25;sym-CODABAR;img-ok
sw_glare-0_shadow-0.3_1,2stage,1,1,1,0,0,250.771,glare=0;shadow=0.3;sym-CODABAR;img-ok
sw_glare-0_shadow-0.35_1,2stage,1,1,1,0,0,277.318,glare=0;shadow=0.35;sym-CODABAR;img-ok
sw_glare-0_shadow-0.4_1,2stage,1,1,1,0,0,302.923,glare=0;shadow=0.4;sym-CODABAR;img-ok
sw_glare-0_shadow-0.45_1,2stage,1,1,1,0,0,357.678,glare=0;shadow=0.45;sym-CODABAR;img-ok
sw_glare-0_shadow-0.5_1,2stage,1,1,1,0,0,365.552,glare=0;shadow=0.5;sym-CODABAR;img-ok
sw_glare-0_shadow-0.55_1,2stage,1,1,1,0,0,1.698,glare=0;shadow=0.55;sym-CODABAR;img-ok
sw_glare-0_shadow-0.6_1,2stage,1,1,1,0,0,1.936,glare=0;shadow=0.6;sym-CODABAR;img-ok
sw_glare-0_shadow-0.65_1,2stage,1,1,1,0,0,1.632,glare=0;shadow=0.65;sym-CODABAR;img-ok
sw_glare-0_shadow-0.7_1,2stage,1,1,1,0,0,1.724,glare=0;shadow=0.7;sym-CODABAR;img-ok
sw_glare-0_shadow-0.75_1,2stage,1,1,1,0,0,1.694,glare=0;shadow=0.75;sym-CODABAR;img-ok
sw_glare-0_shadow-0.8_1,2stage,1,1,1,0,0,2.008,glare=0;shadow=0.8;sym-CODABAR;img-ok
sw_glare-0_shadow-0.85_1,2stage,1,1,1,0,0,1.869,glare=0;shadow=0.85;sym-CODABAR;img-ok
sw_glare-0_shadow-0.9_1,2stage,1,1,1,0,0,2.897,glare=0;shadow=0.9;sym-CODABAR;img-ok
sw_glare-0_shadow-0.95_1,2stage,1,1,1,0,0,1.821,glare=0;shadow=0.95;sym-CODABAR;img-ok
sw_glare-0_shadow-1_1,2stage,1,1,1,0,0,1.790,glare=0;shadow=1;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.2_1,2stage,1,1,1,0,0,465.082,glare=0.05;shadow=0.2;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.25_1,2stage,1,1,1,0,0,278.693,glare=0.05;shadow=0.25;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.3_1,2stage,1,1,1,0,0,270.543,glare=0.05;shadow=0.3;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.35_1,2stage,1,1,1,0,0,259.762,glare=0.05;shadow=0.35;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.4_1,2stage,1,1,1,0,0,319.228,glare=0.05;shadow=0.4;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.45_1,2stage,1,1,1,0,0,319.311,glare=0.05;shadow=0.45;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.5_1,2stage,1,1,1,0,0,539.022,glare=0.05;shadow=0.5;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.55_1,2stage,1,1,1,0,0,1.833,glare=0.05;shadow=0.55;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.6_1,2stage,1,1,1,0,0,1.727,glare=0.05;shadow=0.6;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.65_1,2stage,1,1,1,0,0,1.794,glare=0.05;shadow=0.65;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.7_1,2stage,1,1,1,0,0,1.741,glare=0.05;shadow=0.7;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.75_1,2stage,1,1,1,0,0,1.928,glare=0.05;shadow=0.75;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.8_1,2stage,1,1,1,0,0,5.997,glare=0.05;shadow=0.8;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.85_1,2stage,1,1,1,0,0,2.020,glare=0.05;shadow=0.85;sym-CODABAR;img-ok
sw_glare-0.05_shadow-0.9_1,2stage,1,1,1,0,0,2.002,glare=0.05;shadow=0.9;sym-CODABAR;img-ok
