file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_damaged-0_dirty-0_1,2stage,1,1,1,0,0,2.373,damaged=0;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.05_dirty-0_1,2stage,1,1,1,0,0,2.081,damaged=0.05;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.1_dirty-0_1,2stage,1,1,1,0,0,1.743,damaged=0.1;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.15_dirty-0_1,2stage,1,1,1,0,0,1.657,damaged=0.15;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.2_dirty-0_1,2stage,1,1,1,0,0,1.784,damaged=0.2;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.25_dirty-0_1,2stage,1,1,1,0,0,1.663,damaged=0.25;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.3_dirty-0_1,2stage,1,1,1,0,0,1.726,damaged=0.3;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.35_dirty-0_1,2stage,1,1,1,0,0,1.811,damaged=0.35;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.4_dirty-0_1,2stage,1,1,1,0,0,6.917,damaged=0.4;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.45_dirty-0_1,2stage,1,1,1,0,0,3.120,damaged=0.45;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.5_dirty-0_1,2stage,1,1,1,0,0,2.344,damaged=0.5;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.55_dirty-0_1,2stage,1,1,1,0,0,1.860,damaged=0.55;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.6_dirty-0_1,2stage,1,1,1,0,0,6.214,damaged=0.6;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.65_dirty-0_1,2stage,1,1,1,0,0,2.081,damaged=0.65;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.7_dirty-0_1,2stage,1,1,1,0,0,2.089,damaged=0.7;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.75_dirty-0_1,2stage,1,1,1,0,0,6.548,damaged=0.75;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.8_dirty-0_1,2stage,1,1,1,0,0,5.891,damaged=0.8;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.85_dirty-0_1,2stage,1,1,1,0,0,8.749,damaged=0.85;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.9_dirty-0_1,2stage,1,1,1,0,0,1.810,damaged=0.9;dirty=0;sym-CODABAR;img-ok
sw_damaged-0.95_dirty-0_1,2stage,1,1,1,0,0,1.726,damaged=0.95;dirty=0;sym-CODABAR;img-ok
sw_damaged-1_dirty-0_1,2stage,1,1,1,0,0,21.711,damaged=1;dirty=0;sym-CODABAR;img-ok
sw_damaged-0_dirty-0.05_1,2stage,1,1,1,0,0,2.331,damaged=0;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.05_dirty-0.05_1,2stage,1,1,1,0,0,2.079,damaged=0.05;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.1_dirty-0.05_1,2stage,1,1,1,0,0,1.678,damaged=0.1;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.15_dirty-0.05_1,2stage,1,1,1,0,0,1.896,damaged=0.15;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.2_dirty-0.05_1,2stage,1,1,1,0,0,1.872,damaged=0.2;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.25_dirty-0.05_1,2stage,1,1,1,0,0,1.652,damaged=0.25;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.3_dirty-0.05_1,2stage,1,1,1,0,0,1.796,damaged=0.3;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.35_dirty-0.05_1,2stage,1,1,1,0,0,1.938,damaged=0.35;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.4_dirty-0.05_1,2stage,1,1,1,0,0,1.727,damaged=0.4;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.45_dirty-0.05_1,2stage,1,1,1,0,0,1.760,damaged=0.45;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.5_dirty-0.05_1,2stage,1,1,1,0,0,1.852,damaged=0.5;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.55_dirty-0.05_1,2stage,1,1,1,0,0,4.490,damaged=0.55;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.6_dirty-0.05_1,2stage,1,1,1,0,0,5.761,damaged=0.6;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.65_dirty-0.05_1,2stage,1,1,1,0,0,1.795,damaged=0.65;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.7_dirty-0.05_1,2stage,1,1,1,0,0,1.608,damaged=0.7;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.75_dirty-0.05_1,2stage,1,1,1,0,0,5.344,damaged=0.75;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.8_dirty-0.05_1,2stage,1,1,1,0,0,4.069,damaged=0.8;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.85_dirty-0.05_1,2stage,1,1,1,0,0,4.603,damaged=0.85;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.9_dirty-0.05_1,2stage,1,1,1,0,0,1.650,damaged=0.9;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0.95_dirty-0.05_1,2stage,1,1,1,0,0,1.867,damaged=0.95;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-1_dirty-0.05_1,2stage,1,1,1,0,0,23.864,damaged=1;dirty=0.05;sym-CODABAR;img-ok
sw_damaged-0_dirty-0.1_1,2stage,1,1,1,0,0,1.791,damaged=0;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.05_dirty-0.1_1,2stage,1,1,1,0,0,1.699,damaged=0.05;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.1_dirty-0.1_1,2stage,1,1,1,0,0,1.870,damaged=0.1;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.15_dirty-0.1_1,2stage,1,1,1,0,0,1.808,damaged=0.15;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.2_dirty-0.1_1,2stage,1,1,1,0,0,1.815,damaged=0.2;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.25_dirty-0.1_1,2stage,1,1,1,0,0,1.827,damaged=0.25;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.3_dirty-0.1_1,2stage,1,1,1,0,0,1.866,damaged=0.3;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.35_dirty-0.1_1,2stage,1,1,1,0,0,1.734,damaged=0.35;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.4_dirty-0.1_1,2stage,1,1,1,0,0,1.717,damaged=0.4;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.45_dirty-0.1_1,2stage,1,1,1,0,0,1.908,damaged=0.45;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.5_dirty-0.1_1,2stage,1,1,1,0,0,1.855,damaged=0.5;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.55_dirty-0.1_1,2stage,1,1,1,0,0,1.667,damaged=0.55;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.6_dirty-0.1_1,2stage,1,1,1,0,0,1.914,damaged=0.6;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.65_dirty-0.1_1,2stage,1,1,1,0,0,1.875,damaged=0.65;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.7_dirty-0.1_1,2stage,1,1,1,0,0,1.925,damaged=0.7;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.75_dirty-0.1_1,2stage,1,1,1,0,0,5.200,damaged=0.75;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.8_dirty-0.1_1,2stage,1,1,1,0,0,4.752,damaged=0.8;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.85_dirty-0.1_1,2stage,1,1,1,0,0,9.838,damaged=0.85;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.9_dirty-0.1_1,2stage,1,1,1,0,0,1.859,damaged=0.9;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0.95_dirty-0.1_1,2stage,1,1,1,0,0,1.977,damaged=0.95;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-1_dirty-0.1_1,2stage,1,1,1,0,0,19.437,damaged=1;dirty=0.1;sym-CODABAR;img-ok
sw_damaged-0_dirty-0.15_1,2stage,1,1,1,0,0,3.376,damaged=0;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.05_dirty-0.15_1,2stage,1,1,1,0,0,1.909,damaged=0.05;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.1_dirty-0.15_1,2stage,1,1,1,0,0,1.676,damaged=0.1;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.15_dirty-0.15_1,2stage,1,1,1,0,0,1.653,damaged=0.15;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.2_dirty-0.15_1,2stage,1,1,1,0,0,1.701,damaged=0.2;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.25_dirty-0.15_1,2stage,1,1,1,0,0,1.629,damaged=0.25;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.3_dirty-0.15_1,2stage,1,1,1,0,0,1.649,damaged=0.3;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.35_dirty-0.15_1,2stage,1,1,1,0,0,1.606,damaged=0.35;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.4_dirty-0.15_1,2stage,1,1,1,0,0,1.877,damaged=0.4;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.45_dirty-0.15_1,2stage,1,1,1,0,0,6.601,damaged=0.45;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.5_dirty-0.15_1,2stage,1,1,1,0,0,1.922,damaged=0.5;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.55_dirty-0.15_1,2stage,1,1,1,0,0,1.755,damaged=0.55;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.6_dirty-0.15_1,2stage,1,1,1,0,0,1.954,damaged=0.6;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.65_dirty-0.15_1,2stage,1,1,1,0,0,2.031,damaged=0.65;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.7_dirty-0.15_1,2stage,1,1,1,0,0,2.192,damaged=0.7;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.75_dirty-0.15_1,2stage,1,1,1,0,0,4.811,damaged=0.75;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.8_dirty-0.15_1,2stage,1,1,1,0,0,8.522,damaged=0.8;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.85_dirty-0.15_1,2stage,1,1,1,0,0,8.872,damaged=0.85;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.9_dirty-0.15_1,2stage,1,1,1,0,0,1.741,damaged=0.9;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0.95_dirty-0.15_1,2stage,1,1,1,0,0,1.774,damaged=0.95;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-1_dirty-0.15_1,2stage,1,1,1,0,0,47.300,damaged=1;dirty=0.15;sym-CODABAR;img-ok
sw_damaged-0_dirty-0.2_1,2stage,1,1,1,0,0,2.050,damaged=0;dirty=0.2;sym-CODABAR;img-ok
sw_damaged-0.05_dirty-0.2_1,2stage,1,1,1,0,0,1.873,damaged=0.05;dirty=0.2;sym-CODABAR;img-ok
sw_damaged-0.1_dirty-0.2_1,2stage,1,1,1,0,0,1.676,damaged=0.1;dirty=0.2;sym-CODABAR;img-ok
sw_damaged-0.15_dirty-0.2_1,2stage,1,1,1,0,0,2.019,damaged=0.15;dirty=0.2;sym-CODABAR;img-ok
sw_damaged-0.2_dirty-0.2_1,2stage,1,1,1,0,0,1.840,damaged=0.2;dirty=0.2;sym-CODABAR;img-ok
sw_damaged-0.25_dirty-0.2_1,2stage,1,1,1,0,0,1.919,damaged=0.25;dirty=0.2;sym-CODABAR;img-ok
sw_damaged-0.3_dirty-0.2_1,2stage,1,1,1,0,0,1.708,damaged=0.3;dirty=0.2;sym-CODABAR;img-ok
sw_damaged-0.35_dirty-0.2_1,2stage,1,1,1,0,0,1.683,damaged=0.35;dirty=0.2;sym-CODABAR;img-ok
