file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_dpm-0_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,6.606,dpm=0;invert=0;printdefect=0;quietzone=0;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,51.034,dpm=1;invert=0;printdefect=0;quietzone=0;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,56.294,dpm=0;invert=1;printdefect=0;quietzone=0;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0_quietzone-0_1,2stage,1,1,1,0,0,67.125,dpm=1;invert=1;printdefect=0;quietzone=0;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,1.844,dpm=0;invert=0;printdefect=0.25;quietzone=0;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,24.471,dpm=1;invert=0;printdefect=0.25;quietzone=0;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,29.148,dpm=0;invert=1;printdefect=0.25;quietzone=0;sym-CODABAR;img-ok
sw_dpm-1_invert-1_printdefect-0.25_quietzone-0_1,2stage,1,1,1,0,0,131.910,dpm=1;invert=1;printdefect=0.25;quietzone=0;sym-CODABAR;img-ok
sw_dpm-0_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,2.052,dpm=0;invert=0;printdefect=0.5;quietzone=0;sym-CODABAR;img-ok
sw_dpm-1_invert-0_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,48.336,dpm=1;invert=0;printdefect=0.5;quietzone=0;sym-CODABAR;img-ok
sw_dpm-0_invert-1_printdefect-0.5_quietzone-0_1,2stage,1,1,1,0,0,58.213,dpm=0;invert=1;printdefect=0.5;quietzone=0;sym-CODABAR;img-ok
